tile_id,n_observed_edges,n_boundary_nodes,n_interior_nodes,harmonics,D_mode,D_mean,D_median,D_ci95_low,D_ci95_high,W95_decades,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_width_decades,prior_to_posterior_width_ratio,identified,cholesky_attempts,cholesky_jitter_uses,cholesky_failures,cholesky_max_jitter
1,193,17,149,H1,0.00039810717055349735,0.004744842701426697,0.0005801315114054406,1.871101985932322e-05,0.03837556376334753,3.3119573088975014,0.0048668871549484355,0.0043266218053348805,3.9199999999999995,1.1835901354975213,True,560511,0,0,0.0
3,208,25,156,H1,0.001584893192461114,0.006397100563279282,0.0012020116438931066,2.16496148663827e-05,0.04610402750813603,3.328288690776086,0.003927277229758717,0.005416389920034213,3.9199999999999995,1.1777824474372562,True,560511,0,0,0.0
7,59,28,41,H1,0.001584893192461114,0.004767505682610283,0.0010468053201253798,2.073828747527465e-05,0.030183125034301372,3.16299131240147,0.004196072168216161,0.0021180388344943647,3.9199999999999995,1.2393331542298098,True,560511,0,0,0.0
8,141,26,122,H1,0.000630957344480193,0.0015002365309097158,0.00038490338208052377,1.5592224765151477e-05,0.008105688981943021,2.715881849097992,0.006863818345746934,0.0006100867036236751,3.9199999999999995,1.4433617579137044,True,560511,0,0,0.0
2,281,35,214,H1,0.001584893192461114,0.00756748559243579,0.0013441955072712153,2.2056724113170355e-05,0.051763395304404984,3.3704817441315824,0.003817502766671961,0.006940314536826303,3.9199999999999995,1.1630384905140623,True,560511,0,0,0.0
4,324,38,248,H1,0.001,0.005207262641327093,0.0009243857287124125,1.9995946741800103e-05,0.036534697133734424,3.2617635401101164,0.004453847326977455,0.0032306417646389687,3.9199999999999995,1.201803856041527,True,560511,0,0,0.0
6,212,50,159,H1,0.001584893192461114,0.007422503791485095,0.001272087244210138,2.1716423604271062e-05,0.05383047185947516,3.3942398822203526,0.003906862860137708,0.007880882090417065,3.9199999999999995,1.1548977491348429,True,621693,67980,6798,1.536327090074668e-05
9,212,37,180,H1,0.002511886431509582,0.0031802618208674215,0.001087948133575245,2.207438794124408e-05,0.01654668684597299,2.874822377055659,0.003807438580121457,0.00020904212196608734,3.9199999999999995,1.3635625043432396,True,560511,0,0,0.0
10,253,29,209,H1,0.000630957344480193,0.008698044517505207,0.001016582933995452,1.8718963431265795e-05,0.061902742412604586,3.5194280936729094,0.004962052245789564,0.01328740975513866,3.9199999999999995,1.113817329311891,True,560511,0,0,0.0
11,248,42,190,H1,0.000630957344480193,0.0009840444278060138,0.0004152765652047912,1.673463750541124e-05,0.004532839106306788,2.432753994597671,0.005971660967366912,3.6073410962586726e-06,3.9199999999999995,1.611342539650537,True,560511,0,0,0.0
