edge_u,edge_v,flow_sign,geometry_source,length_m,radius_m,tile_id
3765,3776,1.0,radius_adapted_m+length_true,0.0001696656103356735,4.859008146586256e-06,1
3765,3967,-1.0,radius_adapted_m+length_true,0.0001307047649135119,4.5655497494488695e-06,1
3774,3831,-1.0,radius_adapted_m+length_true,0.0001536135187448811,2.4304486205749133e-06,1
3774,3963,1.0,radius_adapted_m+length_true,6.309675121228471e-05,4.179023691531384e-06,1
3776,3869,1.0,radius_adapted_m+length_true,7.52919396137658e-05,6.189059376049625e-06,1
3829,3839,-1.0,radius_adapted_m+length_true,7.211237163529836e-05,2.4547247259552043e-06,1
3831,3841,-1.0,radius_adapted_m+length_true,5.076537448597531e-05,3.6199912631116316e-06,1
3839,3841,1.0,radius_adapted_m+length_true,5.6473639196342956e-05,2.004728438358145e-06,1
3839,3971,-1.0,radius_adapted_m+length_true,2.829949140926564e-05,1.6677202987573356e-06,1
3863,3869,-1.0,radius_adapted_m+length_true,4.5591925871702194e-05,4.241633315959745e-06,1
3897,3904,-1.0,radius_adapted_m+length_true,5.5136232613680707e-05,1.6384233066461325e-06,1
3897,4239,1.0,radius_adapted_m+length_true,4.123527399328094e-05,2.224918025690745e-06,1
3904,4239,1.0,radius_adapted_m+length_true,3.619316599381882e-05,3.1719129762559553e-06,1
3932,4084,-1.0,radius_adapted_m+length_true,0.00013385900768761965,2.7143888762204917e-06,1
3932,3949,-1.0,radius_adapted_m+length_true,9.737627255298995e-05,1.9662152869792303e-06,1
3932,3958,1.0,radius_adapted_m+length_true,3.705121489171945e-05,2.828767850600668e-06,1
3949,4254,1.0,radius_adapted_m+length_true,3.619391238464316e-05,3.660071689826258e-06,1
3958,4426,-1.0,radius_adapted_m+length_true,5.7260325218770646e-05,2.2527834158344998e-06,1
3966,4034,-1.0,radius_adapted_m+length_true,9.15652655201684e-05,5.976918921220215e-06,1
3966,4008,-1.0,radius_adapted_m+length_true,0.00010379007483838937,3.92395347205975e-06,1
3967,3971,-1.0,radius_adapted_m+length_true,7.165855745455411e-05,3.3545350552883944e-06,1
3971,4016,1.0,radius_adapted_m+length_true,8.026988727770717e-05,1.366604183484866e-06,1
4008,4034,-1.0,radius_adapted_m+length_true,0.00010630662087585062,3.0556829646495924e-06,1
4011,4056,-1.0,radius_adapted_m+length_true,4.985691929589442e-05,3.2516560624874118e-06,1
4011,4131,1.0,radius_adapted_m+length_true,0.00010833996536365998,2.6622201337907635e-06,1
4016,4084,1.0,radius_adapted_m+length_true,5.659585936088657e-05,3.3371198624380156e-06,1
4034,4045,-1.0,radius_adapted_m+length_true,8.549162411251277e-05,4.880801223894829e-06,1
4045,4691,-1.0,radius_adapted_m+length_true,0.00013259199032403197,4.9624807439478e-06,1
4045,4680,-1.0,radius_adapted_m+length_true,0.00013385092592256982,2.6282848935961838e-06,1
4056,4072,-1.0,radius_adapted_m+length_true,9.975482586699554e-05,2.21310872004257e-06,1
4072,4131,1.0,radius_adapted_m+length_true,0.00013122622441340625,2.0373236457145223e-06,1
4131,4153,1.0,radius_adapted_m+length_true,7.744735610216614e-05,2.892353140660509e-06,1
4153,4476,1.0,radius_adapted_m+length_true,5.122170061459578e-05,2.6240437662184777e-06,1
4254,4413,1.0,radius_adapted_m+length_true,4.572813822912129e-05,1.6831604374136619e-06,1
4254,4465,1.0,radius_adapted_m+length_true,3.2822146020686e-05,2.8948748684498138e-06,1
4262,4373,1.0,radius_adapted_m+length_true,5.887179697499163e-05,2.75178613134488e-06,1
4373,4465,-1.0,radius_adapted_m+length_true,6.780009411382953e-05,2.943755291913409e-06,1
4373,4524,1.0,radius_adapted_m+length_true,9.082143231389028e-05,3.9187036771310165e-06,1
4413,4426,1.0,radius_adapted_m+length_true,4.179977310276762e-05,1.603773600076164e-06,1
4426,4466,-1.0,radius_adapted_m+length_true,6.26075339231647e-05,2.6717062508729443e-06,1
4449,4465,-1.0,radius_adapted_m+length_true,8.851597319003213e-05,1.913129790449829e-06,1
4449,4466,1.0,radius_adapted_m+length_true,8.226069371606296e-05,2.891871274675806e-06,1
4466,4590,1.0,radius_adapted_m+length_true,0.0001258000651619371,2.4504305880635244e-06,1
4476,4483,-1.0,radius_adapted_m+length_true,6.723365477658613e-05,1.926007519965187e-06,1
4476,4489,1.0,radius_adapted_m+length_true,4.6602897895197164e-05,3.0790613191261536e-06,1
4483,5169,1.0,radius_adapted_m+length_true,3.9528789269614345e-05,2.57679697637296e-06,1
4483,5072,-1.0,radius_adapted_m+length_true,6.444108064779271e-05,2.197387446339236e-06,1
4489,4512,1.0,radius_adapted_m+length_true,5.640683368507918e-05,3.050985215905497e-06,1
4512,5169,-1.0,radius_adapted_m+length_true,7.80705646741884e-05,1.9672928435293983e-06,1
4512,4587,1.0,radius_adapted_m+length_true,4.4332237101636246e-05,2.6929433767273915e-06,1
4526,4554,1.0,radius_adapted_m+length_true,5.796609394547906e-05,2.8542840282551064e-06,1
4554,4569,-1.0,radius_adapted_m+length_true,0.00011289074617230297,2.300215411556104e-06,1
4569,4603,1.0,radius_adapted_m+length_true,7.014982362571127e-05,5.439216766721164e-06,1
4587,4621,1.0,radius_adapted_m+length_true,6.698160138147453e-05,1.5003441515150373e-06,1
4590,4603,1.0,radius_adapted_m+length_true,5.258296542937172e-05,5.178661589170166e-06,1
4603,4632,1.0,radius_adapted_m+length_true,7.754468016865179e-05,4.947286587753044e-06,1
4621,5197,1.0,radius_adapted_m+length_true,3.207882630444231e-05,2.7073295218268695e-06,1
4621,4632,1.0,radius_adapted_m+length_true,8.101020814163121e-05,2.144136893265907e-06,1
4685,4776,1.0,radius_adapted_m+length_true,0.00010967074042263306,3.231148726379423e-06,1
4685,4763,1.0,radius_adapted_m+length_true,5.236209428119085e-05,3.787214040628645e-06,1
4691,4717,1.0,radius_adapted_m+length_true,0.00010154878634047316,5.038571449054419e-06,1
4691,4705,-1.0,radius_adapted_m+length_true,7.856026683280804e-05,6.294558885951949e-06,1
4705,4878,-1.0,radius_adapted_m+length_true,0.00013835097178127543,2.9877846284709107e-06,1
4735,4740,1.0,radius_adapted_m+length_true,5.6454339162049484e-05,3.041342968360505e-06,1
4740,4946,-1.0,radius_adapted_m+length_true,0.00018455694142774807,2.3864406385871602e-06,1
4740,4825,1.0,radius_adapted_m+length_true,3.855487299783307e-05,3.486262385103871e-06,1
4763,4771,1.0,radius_adapted_m+length_true,2.957418902389263e-05,2.9154086068755603e-06,1
4763,4776,1.0,radius_adapted_m+length_true,9.511359803632056e-05,1.9302819301023473e-06,1
4771,4795,1.0,radius_adapted_m+length_true,6.531435390500333e-05,2.5958996540440324e-06,1
4771,4810,-1.0,radius_adapted_m+length_true,3.584540237097076e-05,2.739665471701478e-06,1
4795,4799,1.0,radius_adapted_m+length_true,3.444553790444374e-05,2.578349801109226e-06,1
4795,4835,-1.0,radius_adapted_m+length_true,4.822088922884304e-05,1.0907889806027036e-06,1
4799,5072,1.0,radius_adapted_m+length_true,0.00013597171898581484,2.1546116503754853e-06,1
4799,5138,1.0,radius_adapted_m+length_true,4.621213605422529e-05,2.920207641296816e-06,1
4810,4825,-1.0,radius_adapted_m+length_true,3.95620804294244e-05,2.486813575490616e-06,1
4810,4835,1.0,radius_adapted_m+length_true,4.139992595856143e-05,1.334332665935105e-06,1
4825,4836,1.0,radius_adapted_m+length_true,5.276874331402388e-05,2.383786624959921e-06,1
4835,4836,-1.0,radius_adapted_m+length_true,6.91263033734128e-05,1.2700681722549166e-06,1
4850,4983,-1.0,radius_adapted_m+length_true,5.7073872824868364e-05,2.092381149957723e-06,1
4850,5006,-1.0,radius_adapted_m+length_true,5.707147566335955e-05,1.3889893464171066e-06,1
4850,5138,1.0,radius_adapted_m+length_true,8.991299024778568e-05,2.2529802363197593e-06,1
4878,4924,-1.0,radius_adapted_m+length_true,0.00012576479418358624,5.412675433321933e-06,1
4924,14880,-1.0,radius_adapted_m+length_true,8.83804620568678e-05,5.1152632710103374e-06,1
4946,14844,-1.0,radius_adapted_m+length_true,5.0763912303672e-05,2.8978781279790974e-06,1
4946,5034,1.0,radius_adapted_m+length_true,4.631251249119642e-05,4.029478472201905e-06,1
4983,5000,-1.0,radius_adapted_m+length_true,5.0695000687967405e-05,2.2718062921357975e-06,1
5000,5029,-1.0,radius_adapted_m+length_true,8.772795688618019e-05,2.283453536377619e-06,1
5000,5061,-1.0,radius_adapted_m+length_true,3.661967850938098e-05,1.8483654472248844e-06,1
5006,5061,-1.0,radius_adapted_m+length_true,3.294719398543637e-05,2.0722871264270733e-06,1
5029,5034,-1.0,radius_adapted_m+length_true,5.1349428595368633e-05,4.366365470273659e-06,1
5029,5053,1.0,radius_adapted_m+length_true,6.506715079999741e-05,2.9285604889156914e-06,1
5034,14871,-1.0,radius_adapted_m+length_true,9.307981518604818e-05,2.414008562401795e-06,1
5053,5061,1.0,radius_adapted_m+length_true,0.00011189206571249562,1.5773055359673931e-06,1
5053,14966,-1.0,radius_adapted_m+length_true,7.719300606834409e-05,3.195826087784636e-06,1
5072,5149,-1.0,radius_adapted_m+length_true,5.926661615826168e-05,3.1408095048269437e-06,1
5138,5149,1.0,radius_adapted_m+length_true,0.00012056130044876938,3.771345669290848e-06,1
5158,5237,-1.0,radius_adapted_m+length_true,8.944556446549702e-05,2.269247321831277e-06,1
5158,5192,1.0,radius_adapted_m+length_true,5.429416408518812e-05,2.7460845022325416e-06,1
5169,5192,1.0,radius_adapted_m+length_true,8.946976711555716e-05,1.9066844168738056e-06,1
5192,5257,1.0,radius_adapted_m+length_true,6.765563845735066e-05,2.5802768971872392e-06,1
5197,5202,1.0,radius_adapted_m+length_true,3.429598840936741e-05,3.3631177307814817e-06,1
5202,5257,-1.0,radius_adapted_m+length_true,8.583988570510334e-05,1.4504746196021384e-06,1
5202,6498,1.0,radius_adapted_m+length_true,9.195887078395635e-05,2.8952008689625915e-06,1
5237,5325,-1.0,radius_adapted_m+length_true,0.00010581278017845039,2.435883897974822e-06,1
5237,5259,1.0,radius_adapted_m+length_true,0.00012440264004829225,1.5845239674468533e-06,1
5257,5259,1.0,radius_adapted_m+length_true,2.7512184218427978e-05,1.935655351619349e-06,1
5259,6510,1.0,radius_adapted_m+length_true,0.00015867743749710666,4.756003805919995e-06,1
5325,5348,-1.0,radius_adapted_m+length_true,8.87854162899085e-05,2.4118896901099366e-06,1
5325,5402,1.0,radius_adapted_m+length_true,7.103135130692611e-05,2.3730272756190844e-06,1
5348,14966,-1.0,radius_adapted_m+length_true,0.00011950056276777268,3.000240368406658e-06,1
5348,5450,1.0,radius_adapted_m+length_true,9.550433916380682e-05,1.995660603899422e-06,1
5402,5414,1.0,radius_adapted_m+length_true,0.00011371128345416045,2.510236425135168e-06,1
5402,5441,-1.0,radius_adapted_m+length_true,5.2056720598739605e-05,2.9933258439233392e-06,1
5414,6627,-1.0,radius_adapted_m+length_true,9.128225992505374e-05,1.7858021017545857e-06,1
5414,5431,1.0,radius_adapted_m+length_true,6.116678460659537e-05,3.1451822488736352e-06,1
5431,5475,-1.0,radius_adapted_m+length_true,8.198945860544625e-05,3.059446579483772e-06,1
5441,5476,1.0,radius_adapted_m+length_true,4.481680802021644e-05,1.8104400814575722e-06,1
5441,5450,-1.0,radius_adapted_m+length_true,4.160155880837701e-05,2.762613410387132e-06,1
5450,15253,-1.0,radius_adapted_m+length_true,6.0927122555899295e-05,2.3766241016684724e-06,1
5475,5476,-1.0,radius_adapted_m+length_true,4.352837920294481e-05,2.6818152760531e-06,1
5475,5487,-1.0,radius_adapted_m+length_true,3.1242700478042585e-05,3.1972602931392066e-06,1
5476,15235,-1.0,radius_adapted_m+length_true,9.034067560658525e-05,1.6759090828035444e-06,1
5487,6699,1.0,radius_adapted_m+length_true,5.17775870605979e-05,2.252572737459986e-06,1
5487,15347,-1.0,radius_adapted_m+length_true,5.046559679339683e-05,2.6254080323330748e-06,1
6498,6510,1.0,radius_adapted_m+length_true,0.00011669088516839238,7.378757013276975e-06,1
6627,6662,1.0,radius_adapted_m+length_true,8.979354810472302e-05,3.289753925043034e-06,1
6627,6634,-1.0,radius_adapted_m+length_true,4.7309864510758334e-05,2.934432813445924e-06,1
6648,6665,-1.0,radius_adapted_m+length_true,6.542002072052268e-05,3.8578615558829034e-06,1
6648,6671,1.0,radius_adapted_m+length_true,6.634833617541201e-05,4.903026109442155e-06,1
6665,6718,-1.0,radius_adapted_m+length_true,4.509837249130063e-05,2.431304165673211e-06,1
6665,6691,-1.0,radius_adapted_m+length_true,4.440256101480776e-05,2.8627368094070893e-06,1
6691,6699,-1.0,radius_adapted_m+length_true,6.40680178207604e-05,2.0189009268272077e-06,1
6699,6706,1.0,radius_adapted_m+length_true,2.7222724647311477e-05,2.635641573018185e-06,1
6706,6718,1.0,radius_adapted_m+length_true,6.42922853688142e-05,2.449925766004631e-06,1
6706,15358,-1.0,radius_adapted_m+length_true,5.5110505605693976e-05,2.5712848821999344e-06,1
6718,6741,1.0,radius_adapted_m+length_true,3.695801576574982e-05,3.4224354732640543e-06,1
6741,15406,-1.0,radius_adapted_m+length_true,7.162995043993871e-05,2.967415528656844e-06,1
14844,14914,-1.0,radius_adapted_m+length_true,0.0001299792918180467,2.64535652743487e-06,1
14880,15093,-1.0,radius_adapted_m+length,0.00019500143996772923,4.7246069697973755e-06,1
14896,14914,-1.0,radius_adapted_m+length_true,5.1518581791467985e-05,2.943050041436304e-06,1
14896,14978,1.0,radius_adapted_m+length_true,8.291650066184578e-05,2.567777679729397e-06,1
14914,15093,-1.0,radius_adapted_m+length,0.00021658053296727493,2.872611365885018e-06,1
14955,14992,-1.0,radius_adapted_m+length_true,9.33503759738047e-05,3.927758039548842e-06,1
14961,15007,-1.0,radius_adapted_m+length_true,7.426264704526526e-05,2.7482215867451594e-06,1
14961,15253,1.0,radius_adapted_m+length_true,4.509380172999137e-05,2.4704856232658264e-06,1
14961,15293,-1.0,radius_adapted_m+length_true,4.806372870050471e-05,1.662227168943361e-06,1
14992,15025,-1.0,radius_adapted_m+length,4.192861153793653e-05,3.0492597590917404e-06,1
14992,15135,-1.0,radius_adapted_m+length,7.395067929150661e-05,2.955091621076761e-06,1
15007,15012,-1.0,radius_adapted_m+length_true,7.240643109157557e-05,2.593949148161399e-06,1
15012,15166,-1.0,radius_adapted_m+length,9.873844758802371e-05,2.32340707285556e-06,1
15012,15293,1.0,radius_adapted_m+length,7.312296124328229e-05,1.7452982382289467e-06,1
15025,15135,-1.0,radius_adapted_m+length,6.577792277542861e-05,2.349375611543711e-06,1
15135,15174,-1.0,radius_adapted_m+length,5.944997252174082e-05,3.1935118937944303e-06,1
15166,15174,-1.0,radius_adapted_m+length,8.32822882989774e-05,2.3358934068944193e-06,1
15201,15483,1.0,radius_adapted_m+length,9.725707700305142e-05,2.368367100971475e-06,1
15235,15248,-1.0,radius_adapted_m+length_true,3.156159177513242e-05,2.55342970579487e-06,1
15235,15331,1.0,radius_adapted_m+length_true,8.721998111238072e-05,2.2917588045803593e-06,1
15248,15253,-1.0,radius_adapted_m+length_true,3.9118100642307e-05,2.046038810804328e-06,1
15248,15316,-1.0,radius_adapted_m+length_true,4.514632569232336e-05,2.1036161985039526e-06,1
15293,15316,1.0,radius_adapted_m+length_true,5.3654722571057483e-05,1.1488674375833885e-06,1
15317,15345,-1.0,radius_adapted_m+length,3.4576620732470235e-05,2.3544010876827053e-06,1
15317,15483,-1.0,radius_adapted_m+length,6.305032473441442e-05,2.0662964018433462e-06,1
15331,15347,1.0,radius_adapted_m+length_true,5.777146294000555e-05,2.682098244711331e-06,1
15331,15440,-1.0,radius_adapted_m+length_true,4.437925629969832e-05,2.9734206347907703e-06,1
15345,15503,-1.0,radius_adapted_m+length,6.784358499206006e-05,1.5871513185458024e-06,1
15347,15369,1.0,radius_adapted_m+length_true,3.395001844517574e-05,2.6241645972513304e-06,1
15358,15393,1.0,radius_adapted_m+length_true,5.629964341581879e-05,2.3667209122611803e-06,1
15369,15417,-1.0,radius_adapted_m+length_true,5.7327718268917415e-05,1.6197334144444697e-06,1
15389,15406,-1.0,radius_adapted_m+length_true,6.894511426363571e-05,2.5638046247466754e-06,1
15393,15449,-1.0,radius_adapted_m+length_true,3.4252181434864315e-05,3.0020519961454707e-06,1
15417,15440,-1.0,radius_adapted_m+length_true,4.972054165729106e-05,2.298363411010479e-06,1
15417,15420,1.0,radius_adapted_m+length_true,1.623884625963969e-05,2.2918253190956095e-06,1
15420,15437,-1.0,radius_adapted_m+length_true,4.360216512970568e-05,1.5857944007122202e-06,1
15420,15449,1.0,radius_adapted_m+length_true,6.144332608057566e-05,1.7934736060804834e-06,1
15437,15610,-1.0,radius_adapted_m+length,4.891701706340752e-05,1.3783467292395236e-06,1
15437,15638,-1.0,radius_adapted_m+length_true,3.6763928329710806e-05,2.2235651815970324e-06,1
15440,15599,-1.0,radius_adapted_m+length,5.4436420324973203e-05,2.624655671209959e-06,1
15449,15462,-1.0,radius_adapted_m+length_true,4.337181942811333e-05,2.5940714031239938e-06,1
15462,16668,1.0,radius_adapted_m+length_true,7.16671993652879e-05,2.6116067477769233e-06,1
15462,15724,-1.0,radius_adapted_m+length_true,3.9509549673520836e-05,3.1314779281558634e-06,1
15483,15503,1.0,radius_adapted_m+length,4.111566802643759e-05,2.1404509513992013e-06,1
15503,15547,-1.0,radius_adapted_m+length,2.4662607227223485e-05,2.3891933021841606e-06,1
15530,15569,-1.0,radius_adapted_m+length,3.474270558171209e-05,3.368299745094763e-06,1
15530,15599,1.0,radius_adapted_m+length,6.223008928402522e-05,2.610825617148217e-06,1
15530,15615,-1.0,radius_adapted_m+length_true,6.147572052086731e-05,2.5543659838370774e-06,1
15547,15569,1.0,radius_adapted_m+length_true,6.657419373414505e-05,2.04161588579113e-06,1
15547,15556,-1.0,radius_adapted_m+length_true,7.146630015713378e-05,2.269352497442208e-06,1
15599,15610,1.0,radius_adapted_m+length,3.867933790705094e-05,1.490853741978515e-06,1
15610,15615,-1.0,radius_adapted_m+length,7.199657019859775e-05,1.1879201581593902e-06,1
15638,15655,-1.0,radius_adapted_m+length_true,6.035930828067307e-05,2.629367005279035e-06,1
15655,15666,-1.0,radius_adapted_m+length_true,9.85168660525431e-05,2.635627005521523e-06,1
15657,15724,1.0,radius_adapted_m+length_true,8.653637378551805e-05,2.3135709253337704e-06,1
15722,16716,1.0,radius_adapted_m+length_true,0.00010436102724140844,3.128755722071558e-06,1
15792,15803,-1.0,radius_adapted_m+length,6.688887761218999e-05,6.402317868897097e-06,3
15901,15927,1.0,radius_adapted_m+length,8.734718714421456e-05,2.6734025593680343e-06,3
15915,16046,-1.0,radius_adapted_m+length,5.093117321087712e-05,3.4027703069563683e-06,3
15915,16082,1.0,radius_adapted_m+length,8.408116756676959e-05,2.773331131219547e-06,3
15928,16220,-1.0,radius_adapted_m+length,9.306646996359534e-05,2.2605415388579265e-06,3
15928,16082,-1.0,radius_adapted_m+length,5.2341847773429677e-05,2.6453196853394743e-06,3
15962,16012,-1.0,radius_adapted_m+length,7.563259085432246e-05,4.56711458964487e-06,3
16009,16030,-1.0,radius_adapted_m+length,9.328629405269361e-05,7.061418239077795e-06,3
16009,16012,1.0,radius_adapted_m+length,6.224560677946883e-05,5.877350759811864e-06,3
16009,16046,-1.0,radius_adapted_m+length,0.00016734938411023807,2.5793890785419162e-06,3
16030,16104,-1.0,radius_adapted_m+length,0.000118087335984482,4.185904199048582e-06,3
16046,16115,-1.0,radius_adapted_m+length,8.432631893858056e-05,2.3604783852954357e-06,3
16082,16097,-1.0,radius_adapted_m+length,4.8143421607092536e-05,2.7597869293579986e-06,3
16096,16097,1.0,radius_adapted_m+length,3.708578903591761e-05,2.9925309812387034e-06,3
16096,16404,1.0,radius_adapted_m+length_true,5.5845627493345057e-05,2.2820459527924863e-06,3
16096,16099,-1.0,radius_adapted_m+length,3.452874147265673e-05,3.330887851503172e-06,3
16097,16115,-1.0,radius_adapted_m+length,8.679243101484296e-05,1.968488855495757e-06,3
16099,16413,1.0,radius_adapted_m+length_true,5.617796392445496e-05,2.361692019610536e-06,3
16104,16115,1.0,radius_adapted_m+length,4.210813469392627e-05,3.383482696002877e-06,3
16104,16125,-1.0,radius_adapted_m+length,7.271494757538924e-05,2.1116352262474365e-06,3
16125,18673,-1.0,radius_adapted_m+length,3.867704979780817e-05,3.0229570978792784e-06,3
16125,16138,1.0,radius_adapted_m+length,9.533733440776248e-05,2.2289821460399605e-06,3
16138,16481,-1.0,radius_adapted_m+length_true,8.588795148108785e-05,2.3101307461588895e-06,3
16168,16226,1.0,radius_adapted_m+length_true,6.022022752789097e-05,2.864236443146991e-06,3
16194,16260,-1.0,radius_adapted_m+length_true,6.625687660153468e-05,3.347527524148763e-06,3
16206,16314,-1.0,radius_adapted_m+length_true,8.086941316504458e-05,2.5017139972266736e-06,3
16220,16226,1.0,radius_adapted_m+length_true,7.003264076782097e-05,2.730887437359249e-06,3
16226,16260,1.0,radius_adapted_m+length_true,4.656055766023399e-05,3.3565805866519937e-06,3
16239,16447,-1.0,radius_adapted_m+length_true,0.00010542889989513567,1.4707310986602977e-06,3
16260,16272,-1.0,radius_adapted_m+length_true,0.00010412472516840736,2.4618378466923255e-06,3
16272,16447,-1.0,radius_adapted_m+length_true,4.9069438397453614e-05,3.372104834094044e-06,3
16272,16367,1.0,radius_adapted_m+length_true,6.586902070285409e-05,3.02565357711622e-06,3
16303,16341,-1.0,radius_adapted_m+length_true,8.733417838018846e-05,3.4530536981421613e-06,3
16303,16378,-1.0,radius_adapted_m+length_true,5.808676240568868e-05,2.987214222627894e-06,3
16314,16341,-1.0,radius_adapted_m+length_true,3.339213035179131e-05,3.143663845958983e-06,3
