C_dimensionless,conductance_m3_per_Pa_s,edge_u,edge_v,geometry_source,harmonic,length_m,radius_m
0.0024498579672808806,1.463525735608353e-16,6662,6627,radius_adapted_m+length_true,2,8.979354810472302e-05,3.289753925043034e-06
6.799956246839164e-05,6.144231108509896e-15,6662,6648,radius_adapted_m+length_true,2,2.860954824605645e-05,6.291390980963517e-06
0.0009455958263189624,3.798986214218487e-16,6665,6648,radius_adapted_m+length_true,2,6.542002072052268e-05,3.8578615558829034e-06
0.0011314115791198948,8.693369692303999e-17,6665,6718,radius_adapted_m+length_true,2,4.509837249130063e-05,2.431304165673211e-06
0.0007910986869623747,1.6971081170580075e-16,6665,6691,radius_adapted_m+length_true,2,4.440256101480776e-05,2.8627368094070893e-06
0.000550396107312977,1.567170020712439e-16,15369,15347,radius_adapted_m+length_true,2,3.395001844517574e-05,2.6241645972513304e-06
0.00024704211843265853,3.389664138212483e-16,15369,15358,radius_adapted_m+length_true,2,2.5738543373807947e-05,2.9695264511096383e-06
0.004119264684918806,1.3471046995458336e-17,15369,15417,radius_adapted_m+length_true,2,5.7327718268917415e-05,1.6197334144444697e-06
0.006554004602844412,8.487892563425154e-18,4621,4587,radius_adapted_m+length_true,2,6.698160138147453e-05,1.5003441515150373e-06
0.00046167054889532965,1.879047883968832e-16,4621,5197,radius_adapted_m+length_true,2,3.207882630444231e-05,2.7073295218268695e-06
0.0046940957661270235,2.9272656178253417e-17,4621,4632,radius_adapted_m+length_true,2,8.101020814163121e-05,2.144136893265907e-06
0.0006021561549144516,9.772791394986291e-16,6671,6648,radius_adapted_m+length_true,2,6.634833617541201e-05,4.903026109442155e-06
0.0008234971286807746,1.7655935363269054e-16,5138,4799,radius_adapted_m+length_true,2,4.621213605422529e-05,2.920207641296816e-06
0.005237301636497068,3.215132889290703e-17,5138,4850,radius_adapted_m+length_true,2,8.991299024778568e-05,2.2529802363197593e-06
0.0033604747462160356,1.882648655397717e-16,5138,5149,radius_adapted_m+length_true,2,0.00012056130044876938,3.771345669290848e-06
0.004888896925689247,4.093469452442566e-17,14871,5034,radius_adapted_m+length_true,2,9.307981518604818e-05,2.414008562401795e-06
0.0001646737245454905,4.89183581266474e-16,14871,14896,radius_adapted_m+length_true,2,2.2195140745081564e-05,3.136421942521194e-06
0.0008078809153406311,8.667784561498451e-16,4632,4603,radius_adapted_m+length_true,2,7.754468016865179e-05,4.947286587753044e-06
0.00018153934551355167,2.4868895523648852e-15,4632,6498,radius_adapted_m+length_true,2,4.072712465958903e-05,5.481344543664153e-06
0.002378015094182998,7.03117734423891e-17,15389,15406,radius_adapted_m+length_true,2,6.894511426363571e-05,2.5638046247466754e-06
0.00021230607558300938,8.862197349287686e-16,15389,16668,radius_adapted_m+length_true,2,3.205087037688372e-05,3.988846746730853e-06
0.0011708858004907676,1.8422480084042863e-16,5149,5072,radius_adapted_m+length_true,2,5.926661615826168e-05,3.1408095048269437e-06
0.0001719962882067146,7.98488527661341e-16,5149,5158,radius_adapted_m+length_true,2,2.690213103575509e-05,3.7197682293870015e-06
0.0009816440141208946,8.691756213365124e-16,14880,4924,radius_adapted_m+length_true,2,8.83804620568678e-05,5.1152632710103374e-06
0.005601724333090999,2.8669278807866406e-16,14880,15093,radius_adapted_m+length,2,0.00019500143996772923,4.7246069697973755e-06
0.001860778419638902,6.252797873521558e-17,15393,15358,radius_adapted_m+length_true,2,5.629964341581879e-05,2.3667209122611803e-06
0.0004280726885621764,2.6605807571276855e-16,15393,15449,radius_adapted_m+length_true,2,3.4252181434864315e-05,3.0020519961454707e-06
8.735754211441119e-05,8.71933449536109e-16,15393,15406,radius_adapted_m+length_true,2,1.7635148622213487e-05,3.421508752803573e-06
0.005445865691863277,5.202103676229436e-17,4131,4011,radius_adapted_m+length_true,2,0.00010833996536365998,2.6622201337907635e-06
0.01364264833704599,1.473029046359926e-17,4131,4072,radius_adapted_m+length_true,2,0.00013122622441340625,2.0373236457145223e-06
0.0023576972005527044,1.0138892360836502e-16,4131,4153,radius_adapted_m+length_true,2,7.744735610216614e-05,2.892353140660509e-06
0.00022612166789488154,6.582803832111606e-16,6691,6634,radius_adapted_m+length_true,2,3.0272584371719967e-05,3.6506243188648377e-06
0.0033115401837558868,2.909447891103301e-17,6691,6699,radius_adapted_m+length_true,2,6.40680178207604e-05,2.0189009268272077e-06
0.005108947311854028,3.326291901932985e-17,5158,5237,radius_adapted_m+length_true,2,8.944556446549702e-05,2.269247321831277e-06
0.0012854523323895853,1.175152635584506e-16,5158,5192,radius_adapted_m+length_true,2,5.429416408518812e-05,2.7460845022325416e-06
0.0017374144799375238,5.579115189863254e-17,6699,5487,radius_adapted_m+length_true,2,5.17775870605979e-05,2.252572737459986e-06
0.0003508067579622216,1.9888665697016924e-16,6699,6706,radius_adapted_m+length_true,2,2.7222724647311477e-05,2.635641573018185e-06
0.001916064127080629,1.2145367232651143e-16,15406,6741,radius_adapted_m+length_true,2,7.162995043993871e-05,2.967415528656844e-06
0.0010076506143591108,1.633873874389025e-16,14896,14914,radius_adapted_m+length_true,2,5.1518581791467985e-05,2.943050041436304e-06
0.003428819000090639,5.882752187040746e-17,14896,14978,radius_adapted_m+length_true,2,8.291650066184578e-05,2.567777679729397e-06
0.0007738273750754091,1.251408607043818e-16,5169,4483,radius_adapted_m+length_true,2,3.9528789269614345e-05,2.57679697637296e-06
0.005178620493817441,2.1526854192583852e-17,5169,4512,radius_adapted_m+length_true,2,7.80705646741884e-05,1.9672928435293983e-06
0.007240564860521179,1.6574132369185962e-17,5169,5192,radius_adapted_m+length_true,2,8.946976711555716e-05,1.9066844168738056e-06
0.0022645887511493165,6.287017634798603e-17,6706,6718,radius_adapted_m+length_true,2,6.42922853688142e-05,2.449925766004631e-06
0.001510587431073243,8.899348856474451e-17,6706,15358,radius_adapted_m+length_true,2,5.5110505605693976e-05,2.5712848821999344e-06
0.0012529775997400679,1.0385374100631311e-16,4153,4476,radius_adapted_m+length_true,2,5.122170061459578e-05,2.6240437662184777e-06
0.0015389048652557423,6.296957862643532e-17,15417,15440,radius_adapted_m+length_true,2,4.972054165729106e-05,2.298363411010479e-06
0.00016509152644723815,1.906174797569763e-16,15417,15420,radius_adapted_m+length_true,2,1.623884625963969e-05,2.2918253190956095e-06
0.002485992529809198,1.6273137959030728e-17,15420,15437,radius_adapted_m+length_true,2,4.360216512970568e-05,1.5857944007122202e-06
0.00385955223972008,1.8892832883982192e-17,15420,15449,radius_adapted_m+length_true,2,6.144332608057566e-05,1.7934736060804834e-06
0.0003834636697734264,4.1650888444825164e-16,6718,6741,radius_adapted_m+length_true,2,3.695801576574982e-05,3.4224354732640543e-06
0.007938845992339082,4.2272168204298996e-17,14914,14844,radius_adapted_m+length_true,2,0.0001299792918180467,2.64535652743487e-06
0.01869229196899056,3.5276047701931185e-17,14914,15093,radius_adapted_m+length,2,0.00021658053296727493,2.872611365885018e-06
0.008528552957851527,4.000002079895421e-17,4680,4045,radius_adapted_m+length_true,2,0.00013385092592256982,2.6282848935961838e-06
0.0001894321995385799,2.5647946765323867e-15,4680,4717,radius_adapted_m+length_true,2,4.2332229593142045e-05,5.577415204738619e-06
4.9724466653327674e-05,4.498222321059184e-15,4680,4685,radius_adapted_m+length_true,2,2.0928822828816723e-05,5.3820591830819305e-06
0.0022607515356450904,7.351113024737872e-17,5192,5257,radius_adapted_m+length_true,2,6.765563845735066e-05,2.5802768971872392e-06
0.0003419636743290797,4.18520562513428e-16,5197,5202,radius_adapted_m+length_true,2,3.429598840936741e-05,3.3631177307814817e-06
0.0037883066176296115,1.1151386288069612e-16,4685,4776,radius_adapted_m+length_true,2,0.00010967074042263306,3.231148726379423e-06
