D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,55303.429742064065,0.0,weighted_least_squares,all,sigma
1.333521432163324e-06,55303.48377490885,0.05403284478234127,weighted_least_squares,all,sigma
1.778279410038923e-06,55303.55580104739,0.1260589833254926,weighted_least_squares,all,sigma
2.3713737056616552e-06,55303.65180277113,0.2220607070630649,weighted_least_squares,all,sigma
3.162277660168379e-06,55303.77974920536,0.35000714129273547,weighted_least_squares,all,sigma
4.216965034285822e-06,55303.95022986368,0.5204877996147843,weighted_least_squares,all,sigma
5.623413251903491e-06,55304.17732240998,0.7475803459165036,weighted_least_squares,all,sigma
7.498942093324558e-06,55304.47972011795,1.0499780538884806,weighted_least_squares,all,sigma
1e-05,55304.88219760376,1.4524555396928918,weighted_least_squares,all,sigma
1.333521432163324e-05,55305.41752981122,1.9877877471517422,weighted_least_squares,all,sigma
1.778279410038923e-05,55306.12895222964,2.6992101655778242,weighted_least_squares,all,sigma
2.3713737056616554e-05,55307.073283813304,3.6435417492393753,weighted_least_squares,all,sigma
3.1622776601683795e-05,55308.32480818333,4.895066119264811,weighted_least_squares,all,sigma
4.216965034285822e-05,55309.97994749135,6.5502054272874375,weighted_least_squares,all,sigma
5.623413251903491e-05,55312.1626160262,8.732873962137091,weighted_least_squares,all,sigma
7.498942093324559e-05,55315.029834596106,11.600092532040435,weighted_least_squares,all,sigma
0.0001,55318.77663707822,15.346895014154143,weighted_least_squares,all,sigma
0.0001333521432163324,55323.63844544494,20.208703380878433,weighted_least_squares,all,sigma
0.00017782794100389227,55329.88814684734,26.45840478327591,weighted_least_squares,all,sigma
0.00023713737056616554,55337.825414724684,34.39567266061931,weighted_least_squares,all,sigma
0.00031622776601683794,55347.76235367135,44.3326116072858,weighted_least_squares,all,sigma
0.00042169650342858224,55360.037578901465,56.6078368374001,weighted_least_squares,all,sigma
0.0005623413251903491,55375.18050361722,71.75076155315764,weighted_least_squares,all,sigma
0.0007498942093324559,55394.58680221717,91.1570601531057,weighted_least_squares,all,sigma
0.001,55422.58795093584,119.15820887177688,weighted_least_squares,all,sigma
0.001333521432163324,55471.55531175461,168.12556969054276,weighted_least_squares,all,sigma
0.0017782794100389228,55571.50362322199,268.07388115792855,weighted_least_squares,all,sigma
0.0023713737056616554,55781.60533777287,478.1755957088026,weighted_least_squares,all,sigma
0.0031622776601683794,56194.29773066898,890.867988604914,weighted_least_squares,all,sigma
0.004216965034285823,56926.16284654346,1622.7331044793973,weighted_least_squares,all,sigma
0.005623413251903491,58103.96626546451,2800.536523400442,weighted_least_squares,all,sigma
0.007498942093324558,59850.19818102165,4546.768438957588,weighted_least_squares,all,sigma
0.01,62255.82425429263,6952.394512228566,weighted_least_squares,all,sigma
0.01333521432163324,65343.514926907126,10040.085184843061,weighted_least_squares,all,sigma
0.01778279410038923,69053.70637263742,13750.276630573353,weighted_least_squares,all,sigma
0.023713737056616554,73263.57933192309,17960.149589859022,weighted_least_squares,all,sigma
0.03162277660168379,77803.62455701848,22500.19481495442,weighted_least_squares,all,sigma
0.042169650342858224,82448.10731048057,27144.677568416504,weighted_least_squares,all,sigma
0.05623413251903491,86911.11272011219,31607.68297804812,weighted_least_squares,all,sigma
0.07498942093324558,90914.10082507093,35610.67108300686,weighted_least_squares,all,sigma
0.1,94321.36771211567,39017.9379700516,weighted_least_squares,all,sigma
