D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,18364.434601248355,0.0,ordinary_least_squares,all,constant_average_sigma
1.333521432163324e-06,18364.43779986607,0.0031986177164071705,ordinary_least_squares,all,constant_average_sigma
1.778279410038923e-06,18364.44206340455,0.007462156194378622,ordinary_least_squares,all,constant_average_sigma
2.3713737056616552e-06,18364.447746062906,0.01314481455119676,ordinary_least_squares,all,constant_average_sigma
3.162277660168379e-06,18364.45532021568,0.02071896732377354,ordinary_least_squares,all,constant_average_sigma
4.216965034285822e-06,18364.465412781225,0.030811532869847724,ordinary_least_squares,all,constant_average_sigma
5.623413251903491e-06,18364.478857630664,0.044256382308958564,ordinary_least_squares,all,constant_average_sigma
7.498942093324558e-06,18364.496763001564,0.06216175320878392,ordinary_least_squares,all,constant_average_sigma
1e-05,18364.520598098512,0.0859968501572439,ordinary_least_squares,all,constant_average_sigma
1.333521432163324e-05,18364.552308988677,0.11770774032265763,ordinary_least_squares,all,constant_average_sigma
1.778279410038923e-05,18364.594467435956,0.15986618760143756,ordinary_least_squares,all,constant_average_sigma
2.3713737056616554e-05,18364.650463552356,0.2158623040013481,ordinary_least_squares,all,constant_average_sigma
3.1622776601683795e-05,18364.724753201786,0.29015195343163214,ordinary_least_squares,all,constant_average_sigma
4.216965034285822e-05,18364.823175543937,0.3885742955826572,ordinary_least_squares,all,constant_average_sigma
5.623413251903491e-05,18364.95336676673,0.5187655183763127,ordinary_least_squares,all,constant_average_sigma
7.498942093324559e-05,18365.125325598623,0.6907243502682832,ordinary_least_squares,all,constant_average_sigma
0.0001,18365.352274824105,0.9176735757500865,ordinary_least_squares,all,constant_average_sigma
0.0001333521432163324,18365.652220322234,1.2176190738791774,ordinary_least_squares,all,constant_average_sigma
0.00017782794100389227,18366.051332665753,1.616731417398114,ordinary_least_squares,all,constant_average_sigma
0.00023713737056616554,18366.592226885685,2.1576256373300566,ordinary_least_squares,all,constant_average_sigma
0.00031622776601683794,18367.35514335388,2.9205421055266925,ordinary_least_squares,all,constant_average_sigma
0.00042169650342858224,18368.511262224398,4.076660976043058,ordinary_least_squares,all,constant_average_sigma
0.0005623413251903491,18370.44901025824,6.0144090098838205,ordinary_least_squares,all,constant_average_sigma
0.0007498942093324559,18374.046659415886,9.612058167531359,ordinary_least_squares,all,constant_average_sigma
0.001,18381.20483430212,16.77023305376497,ordinary_least_squares,all,constant_average_sigma
0.001333521432163324,18395.819568377676,31.384967129321012,ordinary_least_squares,all,constant_average_sigma
0.0017782794100389228,18425.426544177397,60.991942929042125,ordinary_least_squares,all,constant_average_sigma
0.0023713737056616554,18483.276062882724,118.8414616343689,ordinary_least_squares,all,constant_average_sigma
0.0031622776601683794,18589.30530608669,224.87070483833668,ordinary_least_squares,all,constant_average_sigma
0.004216965034285823,18768.435214314493,404.0006130661386,ordinary_least_squares,all,constant_average_sigma
0.005623413251903491,19046.838577037353,682.4039757889987,ordinary_least_squares,all,constant_average_sigma
0.007498942093324558,19447.11659376094,1082.6819925125856,ordinary_least_squares,all,constant_average_sigma
0.01,19981.95262286088,1617.5180216125264,ordinary_least_squares,all,constant_average_sigma
0.01333521432163324,20648.11075290733,2283.676151658976,ordinary_least_squares,all,constant_average_sigma
0.01778279410038923,21425.475634901406,3061.0410336530513,ordinary_least_squares,all,constant_average_sigma
0.023713737056616554,22282.027703530905,3917.59310228255,ordinary_least_squares,all,constant_average_sigma
0.03162277660168379,23179.52607327232,4815.091472023967,ordinary_least_squares,all,constant_average_sigma
0.042169650342858224,24075.58985408446,5711.155252836106,ordinary_least_squares,all,constant_average_sigma
0.05623413251903491,24924.347979276896,6559.913378028541,ordinary_least_squares,all,constant_average_sigma
0.07498942093324558,25684.14653310793,7319.711931859576,ordinary_least_squares,all,constant_average_sigma
0.1,26335.55149717281,7971.116895924457,ordinary_least_squares,all,constant_average_sigma
