D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,55294.410982032015,0.0,weighted_least_squares,interior,sigma
1.333521432163324e-06,55294.469554480835,0.058572448819177225,weighted_least_squares,interior,sigma
1.778279410038923e-06,55294.54763204259,0.13665001057233894,weighted_least_squares,interior,sigma
2.3713737056616552e-06,55294.6516994451,0.24071741308580386,weighted_least_squares,interior,sigma
3.162277660168379e-06,55294.79039449221,0.3794124601918156,weighted_least_squares,interior,sigma
4.216965034285822e-06,55294.97519595354,0.5642139215269708,weighted_least_squares,interior,sigma
5.623413251903491e-06,55295.221362991746,0.8103809597305371,weighted_least_squares,interior,sigma
7.498942093324558e-06,55295.54915674401,1.1381747119958163,weighted_least_squares,interior,sigma
1e-05,55295.985428877495,1.5744468454795424,weighted_least_squares,interior,sigma
1.333521432163324e-05,55296.56569972348,2.1547176914609736,weighted_least_squares,interior,sigma
1.778279410038923e-05,55297.33682232808,2.9258402960622334,weighted_least_squares,interior,sigma
2.3713737056616554e-05,55298.36036232675,3.9493802947326913,weighted_least_squares,interior,sigma
3.1622776601683795e-05,55299.7167951669,5.305813134888012,weighted_least_squares,interior,sigma
4.216965034285822e-05,55301.51055391738,7.0995718853664584,weighted_least_squares,interior,sigma
5.623413251903491e-05,55303.87579654369,9.464814511673467,weighted_least_squares,interior,sigma
7.498942093324559e-05,55306.98241971175,12.571437679733208,weighted_least_squares,interior,sigma
0.0001,55311.04122485065,16.630242818631814,weighted_least_squares,interior,sigma
0.0001333521432163324,55316.30614854683,21.895166514812445,weighted_least_squares,interior,sigma
0.00017782794100389227,55323.07026453394,28.65928250192519,weighted_least_squares,interior,sigma
0.00023713737056616554,55331.6520868036,37.24110477158683,weighted_least_squares,interior,sigma
0.00031622776601683794,55342.37435942062,47.96337738860166,weighted_least_squares,interior,sigma
0.00042169650342858224,55355.56400482321,61.15302279119351,weighted_least_squares,interior,sigma
0.0005623413251903491,55371.689025154075,77.2780431220599,weighted_least_squares,interior,sigma
0.0007498942093324559,55391.98368910174,97.57270706972486,weighted_least_squares,interior,sigma
0.001,55420.43153984768,126.02055781566742,weighted_least_squares,interior,sigma
0.001333521432163324,55468.73388204593,174.32290001391812,weighted_least_squares,interior,sigma
0.0017782794100389228,55565.73068482413,271.31970279211237,weighted_least_squares,interior,sigma
0.0023713737056616554,55768.72951174101,474.3185297089949,weighted_least_squares,interior,sigma
0.0031622776601683794,56167.53681533012,873.1258332981015,weighted_least_squares,interior,sigma
0.004216965034285823,56875.52323281145,1581.1122507794353,weighted_least_squares,interior,sigma
0.005623413251903491,58016.15511554228,2721.744133510263,weighted_least_squares,interior,sigma
0.007498942093324558,59709.22569539006,4414.814713358042,weighted_least_squares,interior,sigma
0.01,62044.509280772465,6750.0982987404495,weighted_least_squares,interior,sigma
0.01333521432163324,65045.9574604413,9751.546478409284,weighted_least_squares,interior,sigma
0.01778279410038923,68657.6360774936,13363.225095461588,weighted_least_squares,interior,sigma
0.023713737056616554,72760.72790825563,17466.31692622362,weighted_least_squares,interior,sigma
0.03162277660168379,77188.03054582943,21893.619563797416,weighted_least_squares,interior,sigma
0.042169650342858224,81714.16106536012,26419.75008332811,weighted_least_squares,interior,sigma
0.05623413251903491,86052.23776029858,30757.826778266564,weighted_least_squares,interior,sigma
0.07498942093324558,89921.83430469899,34627.423322666975,weighted_least_squares,interior,sigma
0.1,93185.25748215792,37890.8465001259,weighted_least_squares,interior,sigma
