D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001,0.001333521432163324,0.0023713737056616554,0.00017782794100389227,1e-06,mosaic_flow_free_boundary,0.1251010101381151,0.0001121982153705068,6.260774338330627e-15,6.105189745941e-14,0.061051897459410004,6.100000008567454e-14,0.06100000008567454,1115,0.02179584449017918,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.007111656581877435,3e-14,0.03,3e-14,0.03,H1+H2,periphery,49.60101841361666,238,238,238,1190,75,weighted_least_squares,False,1,sigma,0.875,3.375
0.001,0.0017782794100389228,0.0023713737056616554,0.00023713737056616554,1e-06,mosaic_flow_free_boundary,0.12097851135905824,7.054140604026719e-05,4.5736184259948687e-08,6.122438055946645e-14,0.06122438055946645,6.10000000195976e-14,0.06100000001959759,1715,0.017145528705255233,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.005589445183169331,3e-14,0.03,3e-14,0.03,H1+H2,periphery,57.61591549802971,372,372,372,1860,145,weighted_least_squares,False,2,sigma,0.875,3.375
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.03206185328824258,2.5048322881439513e-05,5.760695108433321e-08,6.147978042285516e-14,0.061479780422855165,6.10000000195976e-14,0.06100000001959759,1280,0.01042029569600726,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0024339384731406778,3e-14,0.03,3e-14,0.03,H1+H2,periphery,33.1848144130577,280,280,280,1400,120,weighted_least_squares,False,3,sigma,3.5,3.75
0.001,0.0023713737056616554,0.004216965034285823,1e-06,1e-06,mosaic_flow_free_boundary,0.02984576465517671,1.4523486450207645e-05,5.853884756401426e-15,6.162915071765217e-14,0.061629150717652174,6.100000003449075e-14,0.06100000003449074,2055,0.007854421303308306,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0022199271116764415,3e-14,0.03,3e-14,0.03,H1+H2,periphery,45.509406602964155,448,448,448,2240,185,weighted_least_squares,False,4,sigma,3.375,3.625
1e-06,3.1622776601683795e-05,0.0001,1e-06,1e-06,mosaic_flow_free_boundary,8179.094267571199,2.9850709005734304,0.20702396235051923,1.573086138773076e-13,0.1573086138773076,6.100000001096381e-14,0.06100000001096381,2740,3.584949496549733,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.9476030676454873,3e-14,0.03,3e-14,0.03,H1+H2,interior,2969.4103840389052,593,593,593,2965,225,weighted_least_squares,False,5,sigma,1.5,2.0
1e-06,0.00017782794100389227,0.00042169650342858224,1e-06,1e-06,mosaic_flow_free_boundary,8060.081244649777,5.355535710730749,0.2757699556679007,1.573086138773076e-13,0.1573086138773076,6.100000001096381e-14,0.06100000001096381,1505,4.7469133396017185,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.2629255056081141,3e-14,0.03,3e-14,0.03,H1+H2,interior,4170.702342680321,333,333,333,1665,160,weighted_least_squares,False,6,sigma,2.25,2.625
0.001,0.001,0.001333521432163324,0.0007498942093324559,0.00031622776601683794,mosaic_flow_free_boundary,1.5644345269541906,0.003911086317385477,2.7914063814477537e-14,7.960218852542613e-14,0.07960218852542612,6.100000004838953e-14,0.06100000004838953,400,0.11684172026848184,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0392007287229769,3e-14,0.03,3e-14,0.03,H1+H2,interior,2905.368766596321,103,103,103,515,115,weighted_least_squares,False,7,sigma,0.12499999999999999,0.625
0.001333521432163324,0.0023713737056616554,0.0031622776601683794,1e-06,1e-06,mosaic_flow_free_boundary,1.4800236129919768,0.0014653699138534424,1.0533806119954432e-13,6.384436142754926e-14,0.06384436142754926,6.100000004838953e-14,0.06100000004838953,1010,0.07983243446532946,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.02114634059751138,3e-14,0.03,3e-14,0.03,H1+H2,periphery,320.3768135205045,217,217,217,1085,75,weighted_least_squares,False,8,sigma,3.375,3.5
0.0007498942093324559,0.001,0.001333521432163324,0.0005623413251903491,0.00031622776601683794,mosaic_flow_free_boundary,1.8182476870948623,0.0012583028976435034,4.9507597033101284e-14,7.644743864206377e-14,0.07644743864206377,6.100000004838953e-14,0.06100000004838953,1445,0.07184691283535471,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.02357501088737458,3e-14,0.03,3e-14,0.03,H1+H2,interior,3660.151555008695,318,318,318,1590,145,weighted_least_squares,False,9,sigma,0.25,0.625
0.001,0.0017782794100389228,0.0031622776601683794,1e-06,1e-06,mosaic_flow_free_boundary,0.11530351099824492,7.095600676815071e-05,4.143534893248691e-14,6.239112737627253e-14,0.06239112737627253,6.100000038033642e-14,0.061000000380336414,1625,0.0175920657052902,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.004252765785862503,3e-14,0.03,3e-14,0.03,H1+H2,periphery,118.75674008095392,352,352,352,1760,135,weighted_least_squares,False,10,sigma,3.25,3.5
