D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001,0.0023713737056616554,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.032239072983672214,2.8913966801499744e-05,1.3180156186561615e-14,2.90007820315413e-14,0.029000782031541297,2.90007820315413e-14,0.029000782031541297,1115,0.009018726929421688,2.90007820315413e-14,0.029000782031541297,2.90007820315413e-14,0.029000782031541297,0.0073566877342922665,2.90007820315413e-14,0.029000782031541297,2.90007820315413e-14,0.029000782031541297,H1+H2,periphery,10.970928319374774,238,238,238,1190,75,ordinary_least_squares,False,1,constant_average_sigma,3.375,3.75
0.001,0.0023713737056616554,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.03115803772270928,1.816795202490337e-05,9.621176591824061e-08,2.90017802016321e-14,0.0290017802016321,2.90017802016321e-14,0.0290017802016321,1715,0.007094266042726695,2.90017802016321e-14,0.0290017802016321,2.90017802016321e-14,0.0290017802016321,0.005781829747321692,2.90017802016321e-14,0.0290017802016321,2.90017802016321e-14,0.0290017802016321,H1+H2,periphery,12.277910024843589,372,372,372,1860,145,ordinary_least_squares,False,2,constant_average_sigma,3.375,3.75
0.001,0.005623413251903491,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.006978607816881952,5.452037356939025e-06,1.2122639813137965e-07,2.900469866167101e-14,0.02900469866167101,2.900469866167101e-14,0.02900469866167101,1280,0.004311147990560884,2.900469866167101e-14,0.02900469866167101,2.900469866167101e-14,0.02900469866167101,0.002517459500129613,2.900469866167101e-14,0.02900469866167101,2.900469866167101e-14,0.02900469866167101,H1+H2,periphery,6.614157875693653,280,280,280,1400,120,ordinary_least_squares,False,3,constant_average_sigma,3.75,4.25
0.001,0.004216965034285823,0.01,1e-06,1e-06,mosaic_flow_free_boundary,0.007092090434079488,3.4511388973622813e-06,1.2321683780709957e-14,2.900588840236161e-14,0.029005888402361613,2.900588840236161e-14,0.029005888402361613,2055,0.0032494455723006076,2.900588840236161e-14,0.029005888402361613,2.900588840236161e-14,0.029005888402361613,0.0022960101213404293,2.900588840236161e-14,0.029005888402361613,2.900588840236161e-14,0.029005888402361613,H1+H2,periphery,9.05258269683,448,448,448,2240,185,ordinary_least_squares,False,4,constant_average_sigma,3.625,4.0
1e-06,7.498942093324559e-05,0.00023713737056616554,1e-06,1e-06,mosaic_flow_free_boundary,2392.323353578909,0.8731107129850033,0.941890950780502,2.9073954081271496e-14,0.029073954081271496,2.9073954081271496e-14,0.029073954081271496,2740,1.479654051813669,2.9073954081271496e-14,0.029073954081271496,2.9073954081271496e-14,0.029073954081271496,0.9777855447490487,2.9073954081271496e-14,0.029073954081271496,2.9073954081271496e-14,0.029073954081271496,H1+H2,interior,788.9689826079689,593,593,593,2965,225,ordinary_least_squares,False,5,constant_average_sigma,1.875,2.375
1e-06,0.0001333521432163324,0.00042169650342858224,1e-06,1e-06,mosaic_flow_free_boundary,2358.9283373677213,1.5673942440981536,1.2498492465569726,2.912898009530212e-14,0.02912898009530212,2.912898009530212e-14,0.02912898009530212,1505,1.95554255208569,2.912898009530212e-14,0.02912898009530212,2.912898009530212e-14,0.02912898009530212,1.3006897270101632,2.912898009530212e-14,0.02912898009530212,2.912898009530212e-14,0.02912898009530212,H1+H2,interior,1021.5310821060989,333,333,333,1665,160,ordinary_least_squares,False,6,constant_average_sigma,2.125,2.625
0.001,0.001333521432163324,0.0017782794100389228,0.00042169650342858224,1e-06,mosaic_flow_free_boundary,0.40448248189884106,0.0010112062047471027,6.339012365366636e-14,2.920254672621016e-14,0.02920254672621016,2.920254672621016e-14,0.02920254672621016,400,0.048012957786430416,2.920254672621016e-14,0.02920254672621016,2.920254672621016e-14,0.02920254672621016,0.04027120897075031,2.920254672621016e-14,0.02920254672621016,2.920254672621016e-14,0.02920254672621016,H1+H2,interior,663.1541902562756,103,103,103,515,115,ordinary_least_squares,False,7,constant_average_sigma,0.5,3.25
0.001333521432163324,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.34000853043384677,0.00033664210934044236,2.222333310662331e-13,2.902711570363204e-14,0.029027115703632037,2.902711570363204e-14,0.029027115703632037,1010,0.033003251971882475,2.902711570363204e-14,0.029027115703632037,2.902711570363204e-14,0.029027115703632037,0.02185508971688713,2.902711570363204e-14,0.029027115703632037,2.902711570363204e-14,0.029027115703632037,H1+H2,periphery,77.34607653224575,217,217,217,1085,75,ordinary_least_squares,False,8,constant_average_sigma,3.5,3.75
0.001,0.001333521432163324,0.0017782794100389228,0.00042169650342858224,1e-06,mosaic_flow_free_boundary,0.4667465306924345,0.00032300797971794777,1.0489735339042251e-13,2.907054495196841e-14,0.02907054495196841,2.907054495196841e-14,0.02907054495196841,1445,0.029673150443273972,2.907054495196841e-14,0.02907054495196841,2.907054495196841e-14,0.02907054495196841,0.02423345886571076,2.907054495196841e-14,0.02907054495196841,2.907054495196841e-14,0.02907054495196841,H1+H2,interior,818.2501398726066,318,318,318,1590,145,ordinary_least_squares,False,9,constant_average_sigma,0.5,3.25
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.0254307114304939,1.564966857261163e-05,8.806071005739375e-14,2.9019914351862e-14,0.029019914351862,2.9019914351862e-14,0.029019914351862,1625,0.00727448006578758,2.9019914351862e-14,0.029019914351862,2.9019914351862e-14,0.029019914351862,0.004396393870393664,2.9019914351862e-14,0.029019914351862,2.9019914351862e-14,0.029019914351862,H1+H2,periphery,23.883103641124833,352,352,352,1760,135,ordinary_least_squares,False,10,constant_average_sigma,3.5,3.75
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.02018785226452261,1.2656960667412296e-05,5.946353366701351e-14,2.9024263235291777e-14,0.029024263235291777,2.9024263235291777e-14,0.029024263235291777,1595,0.006350487383670968,2.9024263235291777e-14,0.029024263235291777,2.9024263235291777e-14,0.029024263235291777,0.004106177440814307,2.9024263235291777e-14,0.029024263235291777,2.9024263235291777e-14,0.029024263235291777,H1+H2,periphery,30.671143593617074,353,353,353,1765,170,ordinary_least_squares,False,11,constant_average_sigma,3.5,3.75
0.001,0.0017782794100389228,0.0023713737056616554,0.0001333521432163324,1e-06,mosaic_flow_free_boundary,0.07174447600632305,3.796004021498574e-05,9.206681210736495e-14,2.90396846851902e-14,0.029039684685190203,2.90396846851902e-14,0.029039684685190203,1890,0.009600282258722235,2.90396846851902e-14,0.029039684685190203,2.90396846851902e-14,0.029039684685190203,0.008914711602757239,2.90396846851902e-14,0.029039684685190203,2.90396846851902e-14,0.029039684685190203,H1+H2,interior,128.2293610002033,418,418,418,2090,200,ordinary_least_squares,False,12,constant_average_sigma,1.125,3.375
1e-06,5.623413251903491e-05,0.00017782794100389227,1e-06,1e-06,mosaic_flow_free_boundary,4649.881134611456,3.1957945942346777,1.9887106497361868,2.938191961049584e-14,0.029381919610495837,2.938191961049584e-14,0.029381919610495837,1455,2.7039886485516336,2.938191961049584e-14,0.029381919610495837,2.938191961049584e-14,0.029381919610495837,1.8032234477806224,2.938191961049584e-14,0.029381919610495837,2.938191961049584e-14,0.029381919610495837,H1+H2,interior,632.8966177468637,320,320,320,1600,145,ordinary_least_squares,False,13,constant_average_sigma,1.75,2.25
0.004216965034285823,0.004216965034285823,0.004216965034285823,0.004216965034285823,0.004216965034285823,mosaic_flow_free_boundary,5812.193361690241,7.4515299508849235,3.06712952686197,3.051595081013202e-14,0.030515950810132017,3.051595081013202e-14,0.030515950810132017,780,3.8027205810988964,3.051595081013202e-14,0.030515950810132017,3.051595081013202e-14,0.030515950810132017,2.496456590039132,3.051595081013202e-14,0.030515950810132017,3.051595081013202e-14,0.030515950810132017,H1+H2,interior,767.1798844324849,193,193,193,965,185,ordinary_least_squares,False,14,constant_average_sigma,0.0,0.0
0.001,0.0017782794100389228,0.0031622776601683794,1e-06,1e-06,mosaic_flow_free_boundary,0.04220210789878335,2.364263747831e-05,3.8270208276308587e-13,2.9093165824159045e-14,0.029093165824159044,2.9093165824159045e-14,0.029093165824159044,1785,0.006415170167391959,2.9093165824159045e-14,0.029093165824159044,2.9093165824159045e-14,0.029093165824159044,0.008021898869367688,2.9093165824159045e-14,0.029093165824159044,2.9093165824159045e-14,0.029093165824159044,H1+H2,interior,61.91381523546385,400,400,400,2000,215,ordinary_least_squares,False,15,constant_average_sigma,3.25,3.5
