ablation,x,y,pearson_r,spearman_r,n
h1h2_free_boundary,dist_heart_tile_px,log10_D_hat,-0.20251866056854423,-0.25967247145162003,13
h1h2_free_boundary,dist_heart_tile_px,width_decades_dchi1,0.3764550160805365,0.2981060649567535,13
h1h2_free_boundary,dist_heart_tile_px,width_decades_dchi384,0.4072067604100204,0.5065884445118164,13
h1h2_free_boundary,dist_heart_tile_px,chi2_red,-0.07010333032065548,-0.10989010989010989,13
h1h2_free_boundary,dist_heart_tile_px,max_delta_chi2,-0.08734281529817871,-0.23076923076923078,13
h1h2_free_boundary,dist_source_centroid_px,log10_D_hat,-0.193082909566502,-0.25967247145162003,13
h1h2_free_boundary,dist_source_centroid_px,width_decades_dchi1,0.36768000155437414,0.2981060649567535,13
h1h2_free_boundary,dist_source_centroid_px,width_decades_dchi384,0.3976370026977009,0.5065884445118164,13
h1h2_free_boundary,dist_source_centroid_px,chi2_red,-0.06466184022171817,-0.10989010989010989,13
h1h2_free_boundary,dist_source_centroid_px,max_delta_chi2,-0.08132027045867143,-0.23076923076923078,13
h1h2_free_boundary,graph_x,log10_D_hat,-0.3212645261693688,-0.39227118027797914,13
h1h2_free_boundary,graph_x,width_decades_dchi1,0.4619885407669992,0.4801076625092978,13
h1h2_free_boundary,graph_x,width_decades_dchi384,0.5129584004101604,0.5999818448966764,13
h1h2_free_boundary,graph_x,chi2_red,-0.45875767438600407,-0.2967032967032967,13
h1h2_free_boundary,graph_x,max_delta_chi2,-0.493087596036991,-0.5549450549450549,13
h1h2_free_boundary,graph_y,log10_D_hat,-0.20417255970938514,-0.10497397782086768,13
h1h2_free_boundary,graph_y,width_decades_dchi1,0.33771521903070295,0.4706937867738214,13
h1h2_free_boundary,graph_y,width_decades_dchi384,0.33044653361658743,0.2943307163644073,13
h1h2_free_boundary,graph_y,chi2_red,0.123866295763065,0.18131868131868134,13
h1h2_free_boundary,graph_y,max_delta_chi2,0.12451397217837917,-0.005494505494505494,13
