ablation,D,chi2,delta_chi2
dc_only,1e-06,238.82717535195172,0.0
dc_only,1.4677992676220705e-06,238.82717535195172,0.0
dc_only,2.1544346900318822e-06,238.82717535195172,0.0
dc_only,3.162277660168379e-06,238.82717535195172,0.0
dc_only,4.641588833612782e-06,238.82717535195172,0.0
dc_only,6.8129206905796085e-06,238.82717535195172,0.0
dc_only,1e-05,238.82717535195172,0.0
dc_only,1.4677992676220675e-05,238.82717535195172,0.0
dc_only,2.1544346900318823e-05,238.82717535195172,0.0
dc_only,3.1622776601683795e-05,238.82717535195172,0.0
dc_only,4.641588833612772e-05,238.82717535195172,0.0
dc_only,6.812920690579608e-05,238.82717535195172,0.0
dc_only,0.0001,238.82717535195172,0.0
dc_only,0.0001467799267622069,238.82717535195172,0.0
dc_only,0.00021544346900318823,238.82717535195172,0.0
dc_only,0.00031622776601683794,238.82717535195172,0.0
dc_only,0.00046415888336127773,238.82717535195172,0.0
dc_only,0.0006812920690579609,238.82717535195172,0.0
dc_only,0.001,238.82717535195172,0.0
dc_only,0.0014677992676220691,238.82717535195172,0.0
dc_only,0.002154434690031882,238.82717535195172,0.0
dc_only,0.0031622776601683794,238.82717535195172,0.0
dc_only,0.004641588833612777,238.82717535195172,0.0
dc_only,0.006812920690579608,238.82717535195172,0.0
dc_only,0.01,238.82717535195172,0.0
dc_only,0.014677992676220676,238.82717535195172,0.0
dc_only,0.021544346900318822,238.82717535195172,0.0
dc_only,0.03162277660168379,238.82717535195172,0.0
dc_only,0.046415888336127725,238.82717535195172,0.0
dc_only,0.06812920690579609,238.82717535195172,0.0
dc_only,0.1,238.82717535195172,0.0
h1_free_boundary,1e-06,2424.904858229973,93.98634295731563
h1_free_boundary,1.4677992676220705e-06,2424.8870346357835,93.96851936312623
h1_free_boundary,2.1544346900318822e-06,2424.86087509311,93.94235982045257
h1_free_boundary,3.162277660168379e-06,2424.8224822319794,93.90396695932213
h1_free_boundary,4.641588833612782e-06,2424.7661380587183,93.84762278606104
h1_free_boundary,6.8129206905796085e-06,2424.68345524089,93.76493996823274
h1_free_boundary,1e-05,2424.562134663313,93.64361939065566
h1_free_boundary,1.4677992676220675e-05,2424.3841493442073,93.46563407155008
h1_free_boundary,2.1544346900318823e-05,2424.1230948620164,93.20457958935913
h1_free_boundary,3.1622776601683795e-05,2423.7403353807968,92.82182010813949
h1_free_boundary,4.641588833612772e-05,2423.1794239431188,92.2609086704615
h1_free_boundary,6.812920690579608e-05,2422.358082678014,91.43956740535668
h1_free_boundary,0.0001,2421.156811572763,90.23829630010596
h1_free_boundary,0.0001467799267622069,2419.4030290798355,88.48451380717825
h1_free_boundary,0.00021544346900318823,2416.849778917376,85.93126364471891
h1_free_boundary,0.00031622776601683794,2413.1491566083273,82.23064133567004
h1_free_boundary,0.00046415888336127773,2407.8246110145174,76.9060957418601
h1_free_boundary,0.0006812920690579609,2400.258185438605,69.33967016594761
h1_free_boundary,0.001,2389.7411659963905,58.822650723733204
h1_free_boundary,0.0014677992676220691,2375.7163180608145,44.79780278815724
h1_free_boundary,0.002154434690031882,2358.4980339405115,27.579518667854245
h1_free_boundary,0.0031622776601683794,2340.9101505182794,9.991635245622092
h1_free_boundary,0.004641588833612777,2330.9185152726573,0.0
h1_free_boundary,0.006812920690579608,2343.7956112722895,12.877095999632274
h1_free_boundary,0.01,2400.179202827979,69.26068755532197
h1_free_boundary,0.014677992676220676,2514.8694710332993,183.95095576064205
h1_free_boundary,0.021544346900318822,2680.8057287570355,349.8872134843782
