D,chi2_h1_red,chi2_h2_red,cluster,delta_chi2,harmonics,location,location_cluster,log_likelihood,log_posterior,log_prior,n_h1,n_h2,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,sigma_h2_nL_s,tile_id,weight_mode
1e-05,1.0000000002384024,nan,proximal,21.757345086090936,H1,interior,interior_proximal,8395.210297382573,8392.842610798703,-2.3676865838692702,147,0,21.757345086090936,bayes_h1_marginal_boundary,measured_graph,1.7680174090087727e-05,0.1630618965914466,nan,14,h1_z
0.0001,1.00000005556845,nan,proximal,17.922462649883528,H1,interior,interior_proximal,8395.45164734162,8394.760052016807,-0.6915953248135883,147,0,17.922462649883528,bayes_h1_marginal_boundary,measured_graph,0.00012028754947505555,0.16238563608480552,nan,14,h1_z
0.001,1.0000003194247553,nan,proximal,-0.0,H1,interior,interior_proximal,8403.736787407506,8403.721283341749,-0.015504065757907535,147,0,-0.0,bayes_h1_marginal_boundary,measured_graph,0.9376353942486036,0.15136746889006467,nan,14,h1_z
0.01,1.000000000930456,nan,proximal,5.425155991539214,H1,interior,interior_proximal,8401.348118152682,8401.00870534598,-0.3394128067022262,147,0,5.425155991539214,bayes_h1_marginal_boundary,measured_graph,0.06222663802782419,0.14447800072675757,nan,14,h1_z
0.1,1.0000000001926177,nan,proximal,65.02464473111104,H1,interior,interior_proximal,8372.87228252384,8371.208960976193,-1.663321547646544,147,0,65.02464473111104,bayes_h1_marginal_boundary,measured_graph,7.11396617155586e-15,0.1552751381624211,nan,14,h1_z
1e-05,1.000000001321402,nan,proximal,51.09987897677638,H1,interior,interior_proximal,18410.54883899469,18408.181152410823,-2.3676865838692702,305,0,51.09987897677638,bayes_h1_marginal_boundary,measured_graph,6.945849503735342e-12,0.038821370253434684,nan,22,h1_z
0.0001,1.000000779644015,nan,proximal,38.21597316703992,H1,interior,interior_proximal,18415.314700640505,18414.62310531569,-0.6915953248135883,305,0,38.21597316703992,bayes_h1_marginal_boundary,measured_graph,4.3594326090974e-09,0.03810976432566545,nan,22,h1_z
0.001,1.0000000159329765,nan,proximal,3.746058277298289,H1,interior,interior_proximal,18431.87356682632,18431.858062760562,-0.015504065757907535,305,0,3.746058277298289,bayes_h1_marginal_boundary,measured_graph,0.133191614280316,0.03702382758460763,nan,22,h1_z
0.01,1.0000000000001836,nan,proximal,-0.0,H1,interior,interior_proximal,18434.070504705913,18433.73109189921,-0.3394128067022262,305,0,-0.0,bayes_h1_marginal_boundary,measured_graph,0.8668083813533055,0.036560097166398825,nan,22,h1_z
0.1,1.0000000000000036,nan,proximal,117.21159053907468,H1,interior,interior_proximal,18376.78861817732,18375.125296629674,-1.663321547646544,305,0,117.21159053907468,bayes_h1_marginal_boundary,measured_graph,3.060198576824584e-26,0.03975809179869745,nan,22,h1_z
1e-05,1.000000723881668,nan,venous_end,31.155419582439208,H1,periphery,periphery_venous_end,11892.435756861256,11890.068070277386,-2.3676865838692702,195,0,31.155419582439208,bayes_h1_marginal_boundary,measured_graph,1.5534753800719791e-07,0.03684543946643606,nan,1,h1_z
0.0001,1.0000000816237176,nan,venous_end,4.5066267656839045,H1,periphery,periphery_venous_end,11904.084062010577,11903.392466685764,-0.6915953248135883,195,0,4.5066267656839045,bayes_h1_marginal_boundary,measured_graph,0.0950640274830531,0.03499899210619337,nan,1,h1_z
0.001,1.0000000023636704,nan,venous_end,-0.0,H1,periphery,periphery_venous_end,11905.661284134363,11905.645780068606,-0.015504065757907535,195,0,-0.0,bayes_h1_marginal_boundary,measured_graph,0.9049358171694089,0.034999496114937675,nan,1,h1_z
0.01,1.0000000001022922,nan,venous_end,175.95151206754963,H1,periphery,periphery_venous_end,11818.009436841534,11817.670024034831,-0.3394128067022262,195,0,175.95151206754963,bayes_h1_marginal_boundary,measured_graph,5.6134827330369757e-39,0.044295019337930355,nan,1,h1_z
0.1,1.0000000000029645,nan,venous_end,246.81150498407806,H1,periphery,periphery_venous_end,11783.903349124213,11782.240027576567,-1.663321547646544,195,0,246.81150498407806,bayes_h1_marginal_boundary,measured_graph,2.302398191319319e-54,0.047738442612007985,nan,1,h1_z
1e-05,1.000000159909087,nan,arterial_end,40.04124690069875,H1,periphery,periphery_arterial_end,20407.518552634145,20405.150866050277,-2.3676865838692702,331,0,40.04124690069875,bayes_h1_marginal_boundary,measured_graph,1.1508363851132946e-09,0.01664859478230769,nan,16,h1_z
0.0001,1.0000001172819493,nan,arterial_end,0.563541852774506,H1,periphery,periphery_arterial_end,20425.581313899052,20424.88971857424,-0.6915953248135883,331,0,0.563541852774506,bayes_h1_marginal_boundary,measured_graph,0.43001966294777355,0.01597294076235712,nan,16,h1_z
0.001,1.000000000000596,nan,arterial_end,-0.0,H1,periphery,periphery_arterial_end,20425.186993566385,20425.171489500626,-0.015504065757907535,331,0,-0.0,bayes_h1_marginal_boundary,measured_graph,0.56998033590139,0.016007795732015877,nan,16,h1_z
0.01,1.0000000000000018,nan,arterial_end,103.10248981024051,H1,periphery,periphery_arterial_end,20373.959657402207,20373.620244595506,-0.3394128067022262,331,0,103.10248981024051,bayes_h1_marginal_boundary,measured_graph,2.3304440214677926e-23,0.017339710607899968,nan,16,h1_z
0.1,1.0,nan,arterial_end,433.0429089126337,H1,periphery,periphery_arterial_end,20210.313356591956,20208.65003504431,-1.663321547646544,331,0,433.0429089126337,bayes_h1_marginal_boundary,measured_graph,5.269713311350261e-95,0.02253431438721115,nan,16,h1_z
