D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,1253.6900578867644,1400000.1305590728,1399997.762872489,-2.3676865838692702,1253.6900578867644,bayes_h1h2_marginal_boundary,measured_graph,5.2592498717326285e-273,all,h1:h1_z;h2:h2_z
1.2589254117941661e-05,1116.6312505286187,1400068.447353626,1400066.292276168,-2.155077457963703,1116.6312505286187,bayes_h1h2_marginal_boundary,measured_graph,3.0399446131529644e-243,all,h1:h1_z;h2:h2_z
1.584893192461114e-05,975.8127587949857,1400138.653990367,1400136.7015220348,-1.952468332058134,975.8127587949857,bayes_h1h2_marginal_boundary,measured_graph,1.1513639463572669e-212,all,h1:h1_z;h2:h2_z
1.9952623149688786e-05,834.8913156380877,1400208.9221028194,1400207.1622436133,-1.7598592061525666,834.8913156380877,bayes_h1h2_marginal_boundary,measured_graph,4.5910835719098906e-182,all,h1:h1_z;h2:h2_z
2.5118864315095822e-05,697.4156423425302,1400277.4773303412,1400275.900080261,-1.5772500802469966,697.4156423425302,bayes_h1h2_marginal_boundary,measured_graph,3.268724757664518e-152,all,h1:h1_z;h2:h2_z
3.1622776601683795e-05,566.4430871028453,1400342.7909988353,1400341.386357881,-1.404640954341429,566.4430871028453,bayes_h1h2_marginal_boundary,measured_graph,9.009638443789491e-124,all,h1:h1_z;h2:h2_z
3.9810717055349695e-05,443.56102799158543,1400404.069419265,1400402.8273874365,-1.2420318284358616,443.56102799158543,bayes_h1h2_marginal_boundary,measured_graph,4.347178383995564e-97,all,h1:h1_z;h2:h2_z
5.011872336272725e-05,329.61073485482484,1400460.8919567075,1400459.802534005,-1.089422702530293,329.61073485482484,bayes_h1h2_marginal_boundary,measured_graph,2.4110111668391583e-72,all,h1:h1_z;h2:h2_z
6.309573444801929e-05,226.65486958436668,1400512.2272802168,1400511.2804666401,-0.9468135766247254,226.65486958436668,bayes_h1h2_marginal_boundary,measured_graph,5.4800094212780455e-50,all,h1:h1_z;h2:h2_z
7.943282347242822e-05,139.1612676139921,1400555.841472076,1400555.0272676253,-0.8142044507191568,139.1612676139921,bayes_h1h2_marginal_boundary,measured_graph,5.467333598630675e-31,all,h1:h1_z;h2:h2_z
0.0001,72.06583917653188,1400589.2665771688,1400588.574981844,-0.6915953248135883,72.06583917653188,bayes_h1h2_marginal_boundary,measured_graph,2.0293770261587235e-16,all,h1:h1_z;h2:h2_z
0.00012589254117941674,27.59574502101168,1400611.3890151207,1400610.8100289218,-0.5789861989080206,27.59574502101168,bayes_h1h2_marginal_boundary,measured_graph,9.202821327758753e-07,all,h1:h1_z;h2:h2_z
0.00015848931924611142,4.614220097195357,1400622.7771684567,1400622.3007913837,-0.47637707300245236,4.614220097195357,bayes_h1h2_marginal_boundary,measured_graph,0.09001102771901075,all,h1:h1_z;h2:h2_z
0.00019952623149688788,-0.0,1400624.9916693794,1400624.6079014323,-0.38376794709688455,-0.0,bayes_h1h2_marginal_boundary,measured_graph,0.9041924651270498,all,h1:h1_z;h2:h2_z
0.0002511886431509582,10.099935126956552,1400619.85909269,1400619.5579338688,-0.30115882119131615,10.099935126956552,bayes_h1h2_marginal_boundary,measured_graph,0.005795458990074489,all,h1:h1_z;h2:h2_z
0.00031622776601683794,31.542894461657852,1400609.0650038968,1400608.8364542015,-0.22854969528574837,31.542894461657852,bayes_h1h2_marginal_boundary,measured_graph,1.2788169372768066e-07,all,h1:h1_z;h2:h2_z
0.00039810717055349735,61.59084245469421,1400593.9784207745,1400593.812480205,-0.16594056938017995,61.59084245469421,bayes_h1h2_marginal_boundary,measured_graph,3.819261339204566e-14,all,h1:h1_z;h2:h2_z
0.0005011872336272725,98.22878352040425,1400575.6068411155,1400575.4935096721,-0.11333144347461188,98.22878352040425,bayes_h1h2_marginal_boundary,measured_graph,4.2281614294311594e-22,all,h1:h1_z;h2:h2_z
0.000630957344480193,140.09769738418981,1400554.6297750578,1400554.5590527402,-0.07072231756904392,140.09769738418981,bayes_h1h2_marginal_boundary,measured_graph,3.4232012571733846e-31,all,h1:h1_z;h2:h2_z
0.0007943282347242822,186.42458406370133,1400531.4337225922,1400531.3956094005,-0.03811319166347554,186.42458406370133,bayes_h1h2_marginal_boundary,measured_graph,2.9831617964115796e-41,all,h1:h1_z;h2:h2_z
0.001,237.14999506203458,1400506.048407967,1400506.0329039013,-0.015504065757907535,237.14999506203458,bayes_h1h2_marginal_boundary,measured_graph,2.882662272491823e-52,all,h1:h1_z;h2:h2_z
0.0012589254117941675,293.3238109876402,1400477.9488908784,1400477.9459959385,-0.0028949398523394052,293.3238109876402,bayes_h1h2_marginal_boundary,measured_graph,1.8272779865055996e-64,all,h1:h1_z;h2:h2_z
0.001584893192461114,357.8333234949969,1400445.6915254989,1400445.6912396848,-0.0002858139467712683,357.8333234949969,bayes_h1h2_marginal_boundary,measured_graph,1.7936676116580043e-78,all,h1:h1_z;h2:h2_z
0.0019952623149688807,436.36691977316514,1400406.4321182338,1400406.4244415457,-0.007676688041203171,436.36691977316514,bayes_h1h2_marginal_boundary,measured_graph,1.5863105490416293e-95,all,h1:h1_z;h2:h2_z
0.002511886431509582,538.3294481774792,1400355.4682449058,1400355.4431773436,-0.025067562135635053,538.3294481774792,bayes_h1h2_marginal_boundary,measured_graph,1.1468496565832477e-117,all,h1:h1_z;h2:h2_z
0.0031622776601683794,677.2654733085074,1400286.0276232143,1400285.975164778,-0.05245843623006681,677.2654733085074,bayes_h1h2_marginal_boundary,measured_graph,7.761255183111502e-148,all,h1:h1_z;h2:h2_z
0.003981071705534973,870.2065049493685,1400189.5944982679,1400189.5046489576,-0.08984931032449865,870.2065049493685,bayes_h1h2_marginal_boundary,measured_graph,9.847347768401519e-190,all,h1:h1_z;h2:h2_z
0.005011872336272725,1135.206724315416,1400057.141779459,1400057.0045392746,-0.13724018441893068,1135.206724315416,bayes_h1h2_marginal_boundary,measured_graph,2.8135380235302338e-247,all,h1:h1_z;h2:h2_z
0.006309573444801936,1487.1040127486922,1399881.2505261165,1399881.055895058,-0.19463105851336257,1487.1040127486922,bayes_h1h2_marginal_boundary,measured_graph,1e-323,all,h1:h1_z;h2:h2_z
0.00794328234724282,1933.3751637884416,1399658.1823414706,1399657.920319538,-0.26202193260779433,1933.3751637884416,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.01,2472.800566579681,1399388.5470309493,1399388.2076181425,-0.3394128067022262,2472.800566579681,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.012589254117941675,3097.6646814285778,1399076.2023643989,1399075.775560718,-0.42680368079665804,3097.6646814285778,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.01584893192461114,3797.272413060069,1398726.4958894572,1398725.9716949023,-0.5241945548910899,3797.272413060069,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.01995262314968881,4560.308591027278,1398345.0851913476,1398344.4536059187,-0.6315854289855218,4560.308591027278,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.025118864315095822,5375.5256734211,1397937.5940410248,1397936.8450647218,-0.7489763030799538,5375.5256734211,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.03162277660168379,6231.62562283827,1397509.6714571903,1397508.7950900132,-0.8763671771743852,6231.62562283827,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.039810717055349734,7117.196137536317,1397067.0235907154,1397066.0098326642,-1.0137580512688171,7117.196137536317,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.05011872336272725,8020.9374289033,1396615.300335906,1396614.1391869807,-1.1611489253632492,8020.9374289033,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.06309573444801936,8931.682359925471,1396160.085261269,1396158.7667214696,-1.3185397994576809,8931.682359925471,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.07943282347242822,9837.626462060027,1395707.2806010759,1395705.7946704023,-1.4859306735521132,9837.626462060027,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
0.1,10725.288968610577,1395263.6267386747,1395261.963417127,-1.663321547646544,10725.288968610577,bayes_h1h2_marginal_boundary,measured_graph,0.0,all,h1:h1_z;h2:h2_z
