D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,414.23988394765183,789172.3267149676,789169.9590283837,-2.3676865838692702,414.23988394765183,bayes_h1h2_marginal_boundary,measured_graph,6.118687647409291e-91,interior,h1:h1_z;h2:h2_z
1.2589254117941661e-05,376.96944391494617,789190.7493258581,789188.5942484001,-2.155077457963703,376.96944391494617,bayes_h1h2_marginal_boundary,measured_graph,7.582833247972376e-83,interior,h1:h1_z;h2:h2_z
1.584893192461114e-05,337.06273628235795,789210.5000705484,789208.5476022164,-1.952468332058134,337.06273628235795,bayes_h1h2_marginal_boundary,measured_graph,3.511259793393495e-74,interior,h1:h1_z;h2:h2_z
1.9952623149688786e-05,295.0628358372487,789231.3074116451,789229.5475524389,-1.7598592061525666,295.0628358372487,bayes_h1h2_marginal_boundary,measured_graph,4.630474164474025e-65,interior,h1:h1_z;h2:h2_z
2.5118864315095822e-05,251.1048152903095,789253.1038127927,789251.5265627124,-1.5772500802469966,251.1048152903095,bayes_h1h2_marginal_boundary,measured_graph,1.6255051316389e-55,interior,h1:h1_z;h2:h2_z
3.1622776601683795e-05,205.55667433072813,789275.7052741465,789274.3006331922,-1.404640954341429,205.55667433072813,bayes_h1h2_marginal_boundary,measured_graph,1.2636927233644316e-45,interior,h1:h1_z;h2:h2_z
3.9810717055349695e-05,159.79626736603677,789298.4228685029,789297.1808366745,-1.2420318284358616,159.79626736603677,bayes_h1h2_marginal_boundary,measured_graph,1.0924148669607082e-35,interior,h1:h1_z;h2:h2_z
5.011872336272725e-05,116.40527439420111,789319.965755863,789318.8763331604,-1.089422702530293,116.40527439420111,bayes_h1h2_marginal_boundary,measured_graph,2.8881650478898696e-26,interior,h1:h1_z;h2:h2_z
6.309573444801929e-05,78.34936282155104,789338.8511025234,789337.9042889468,-0.9468135766247254,78.34936282155104,bayes_h1h2_marginal_boundary,measured_graph,5.3010049262797054e-18,interior,h1:h1_z;h2:h2_z
7.943282347242822e-05,47.78990143281408,789353.9982240918,789353.1840196411,-0.8142044507191568,47.78990143281408,bayes_h1h2_marginal_boundary,measured_graph,2.2922444683006566e-11,interior,h1:h1_z;h2:h2_z
0.0001,25.483543981565163,789365.0287936915,789364.3371983668,-0.6915953248135883,25.483543981565163,bayes_h1h2_marginal_boundary,measured_graph,1.599649776152286e-06,interior,h1:h1_z;h2:h2_z
0.00012589254117941674,10.918435648083687,789372.1987387324,789371.6197525335,-0.5789861989080206,10.918435648083687,bayes_h1h2_marginal_boundary,measured_graph,0.0023270086537089947,interior,h1:h1_z;h2:h2_z
0.00015848931924611142,2.8677046394441277,789376.1214951108,789375.6451180378,-0.47637707300245236,2.8677046394441277,bayes_h1h2_marginal_boundary,measured_graph,0.1303142847026711,interior,h1:h1_z;h2:h2_z
0.00019952623149688788,-0.0,789377.4627383046,789377.0789703575,-0.38376794709688455,-0.0,bayes_h1h2_marginal_boundary,measured_graph,0.5466460003411091,interior,h1:h1_z;h2:h2_z
0.0002511886431509582,1.2559715665411204,789376.7521433955,789376.4509845743,-0.30115882119131615,1.2559715665411204,bayes_h1h2_marginal_boundary,measured_graph,0.2917261862200724,interior,h1:h1_z;h2:h2_z
0.00031622776601683794,5.91764478222467,789374.3486976618,789374.1201479664,-0.22854969528574837,5.91764478222467,bayes_h1h2_marginal_boundary,measured_graph,0.0283599811237379,interior,h1:h1_z;h2:h2_z
0.00039810717055349735,13.55873348377645,789370.465544185,789370.2996036157,-0.16594056938017995,13.55873348377645,bayes_h1h2_marginal_boundary,measured_graph,0.000621533595049201,interior,h1:h1_z;h2:h2_z
0.0005011872336272725,23.975062668789178,789365.2047704667,789365.0914390231,-0.11333144347461188,23.975062668789178,bayes_h1h2_marginal_boundary,measured_graph,3.400849902707437e-06,interior,h1:h1_z;h2:h2_z
0.000630957344480193,37.08511191490106,789358.6071367176,789358.5364144001,-0.07072231756904392,37.08511191490106,bayes_h1h2_marginal_boundary,measured_graph,4.839231986659475e-09,interior,h1:h1_z;h2:h2_z
0.0007943282347242822,52.85892440122552,789350.6876213485,789350.6495081569,-0.03811319166347554,52.85892440122552,bayes_h1h2_marginal_boundary,measured_graph,1.8177601630088346e-12,interior,h1:h1_z;h2:h2_z
