D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,159304229.4070145,0.0,weighted_least_squares,measured_graph,all,sigma
1.333521432163324e-06,159304235.0499618,5.642947316169739,weighted_least_squares,measured_graph,all,sigma
1.778279410038923e-06,159304242.57285166,13.165837168693542,weighted_least_squares,measured_graph,all,sigma
2.3713737056616552e-06,159304252.60319883,23.19618433713913,weighted_least_squares,measured_graph,all,sigma
3.162277660168379e-06,159304265.97552794,36.568513453006744,weighted_least_squares,measured_graph,all,sigma
4.216965034285822e-06,159304283.80723205,54.400217562913895,weighted_least_squares,measured_graph,all,sigma
5.623413251903491e-06,159304307.57936916,78.17235466837883,weighted_least_squares,measured_graph,all,sigma
7.498942093324558e-06,159304339.27347332,109.86645883321762,weighted_least_squares,measured_graph,all,sigma
1e-05,159304381.52567932,152.11866483092308,weighted_least_squares,measured_graph,all,sigma
1.333521432163324e-05,159304437.84476438,208.43774989247322,weighted_least_squares,measured_graph,all,sigma
1.778279410038923e-05,159304512.90446785,283.49745336174965,weighted_least_squares,measured_graph,all,sigma
2.3713737056616554e-05,159304612.92092386,383.5139093697071,weighted_least_squares,measured_graph,all,sigma
3.1622776601683795e-05,159304746.15653563,516.7495211362839,weighted_least_squares,measured_graph,all,sigma
4.216965034285822e-05,159304923.58108038,694.174065887928,weighted_least_squares,measured_graph,all,sigma
5.623413251903491e-05,159305159.73567325,930.328658759594,weighted_least_squares,measured_graph,all,sigma
7.498942093324559e-05,159305473.8563689,1244.4493544101715,weighted_least_squares,measured_graph,all,sigma
0.0001,159305891.3208724,1661.9138579070568,weighted_least_squares,measured_graph,all,sigma
0.0001333521432163324,159306445.50349793,2216.096483439207,weighted_least_squares,measured_graph,all,sigma
0.00017782794100389227,159307180.15998113,2950.7529666423798,weighted_least_squares,measured_graph,all,sigma
0.00023713737056616554,159308152.61119634,3923.2041818499565,weighted_least_squares,measured_graph,all,sigma
0.00031622776601683794,159309438.48045444,5209.073439955711,weighted_least_squares,measured_graph,all,sigma
0.00042169650342858224,159311140.19519478,6910.788180291653,weighted_least_squares,measured_graph,all,sigma
0.0005623413251903491,159313405.0009211,9175.593906611204,weighted_least_squares,measured_graph,all,sigma
0.0007498942093324559,159316464.1251775,12234.718163013458,weighted_least_squares,measured_graph,all,sigma
0.001,159320707.3154833,16477.908468812704,weighted_least_squares,measured_graph,all,sigma
0.001333521432163324,159326792.68983996,22563.28282546997,weighted_least_squares,measured_graph,all,sigma
0.0017782794100389228,159335767.67047265,31538.263458162546,weighted_least_squares,measured_graph,all,sigma
0.0023713737056616554,159349196.44392678,44967.03691229224,weighted_least_squares,measured_graph,all,sigma
0.0031622776601683794,159369346.65882927,65117.25181478262,weighted_least_squares,measured_graph,all,sigma
0.004216965034285823,159399467.8737257,95238.46671122313,weighted_least_squares,measured_graph,all,sigma
0.005623413251903491,159444102.3324639,139872.92544940114,weighted_least_squares,measured_graph,all,sigma
0.007498942093324558,159509246.97923824,205017.57222375274,weighted_least_squares,measured_graph,all,sigma
0.01,159601871.0776322,297641.6706176996,weighted_least_squares,measured_graph,all,sigma
0.01333521432163324,159728047.1733053,423817.7662908137,weighted_least_squares,measured_graph,all,sigma
0.01778279410038923,159889793.08896542,585563.6819509268,weighted_least_squares,measured_graph,all,sigma
0.023713737056616554,160082605.76718625,778376.3601717651,weighted_least_squares,measured_graph,all,sigma
0.03162277660168379,160296362.99994728,992133.5929327905,weighted_least_squares,measured_graph,all,sigma
0.042169650342858224,160520060.8103489,1215831.403334409,weighted_least_squares,measured_graph,all,sigma
0.05623413251903491,160747495.979219,1443266.5722045004,weighted_least_squares,measured_graph,all,sigma
0.07498942093324558,160979640.02100384,1675410.6139893532,weighted_least_squares,measured_graph,all,sigma
0.1,161220169.72662842,1915940.3196139336,weighted_least_squares,measured_graph,all,sigma
