D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,62603352.10088737,0.0,weighted_least_squares,measured_graph,interior,sigma
1.333521432163324e-06,62603358.34573391,6.244846537709236,weighted_least_squares,measured_graph,interior,sigma
1.778279410038923e-06,62603366.67323064,14.5723432675004,weighted_least_squares,measured_graph,interior,sigma
2.3713737056616552e-06,62603377.774486996,25.673599623143673,weighted_least_squares,measured_graph,interior,sigma
3.162277660168379e-06,62603392.57540838,40.47452100366354,weighted_least_squares,measured_graph,interior,sigma
4.216965034285822e-06,62603412.311490886,60.21060351282358,weighted_least_squares,measured_graph,interior,sigma
5.623413251903491e-06,62603438.62089793,86.52001055330038,weighted_least_squares,measured_graph,interior,sigma
7.498942093324558e-06,62603473.696076475,121.59518910199404,weighted_least_squares,measured_graph,interior,sigma
1e-05,62603520.452168144,168.3512807711959,weighted_least_squares,measured_graph,interior,sigma
1.333521432163324e-05,62603582.76895835,230.66807097941637,weighted_least_squares,measured_graph,interior,sigma
1.778279410038923e-05,62603665.811518334,313.7106309607625,weighted_least_squares,measured_graph,interior,sigma
2.3713737056616554e-05,62603776.446404316,424.34551694244146,weighted_least_squares,measured_graph,interior,sigma
3.1622776601683795e-05,62603923.79417495,571.6932875737548,weighted_least_squares,measured_graph,interior,sigma
4.216965034285822e-05,62604119.95267884,767.8517914637923,weighted_least_squares,measured_graph,interior,sigma
5.623413251903491e-05,62604380.93846235,1028.8375749737024,weighted_least_squares,measured_graph,interior,sigma
7.498942093324559e-05,62604727.90375054,1375.8028631657362,weighted_least_squares,measured_graph,interior,sigma
0.0001,62605188.69053404,1836.589646667242,weighted_least_squares,measured_graph,interior,sigma
0.0001333521432163324,62605799.79741527,2447.6965278983116,weighted_least_squares,measured_graph,interior,sigma
0.00017782794100389227,62606608.85961564,3256.7587282657623,weighted_least_squares,measured_graph,interior,sigma
0.00023713737056616554,62607677.862857066,4325.761969693005,weighted_least_squares,measured_graph,interior,sigma
0.00031622776601683794,62609087.75114755,5735.650260180235,weighted_least_squares,measured_graph,interior,sigma
0.00042169650342858224,62610946.45722772,7594.356340348721,weighted_least_squares,measured_graph,interior,sigma
0.0005623413251903491,62613405.767079085,10053.666191712022,weighted_least_squares,measured_graph,interior,sigma
0.0007498942093324559,62616698.04878291,13345.947895534337,weighted_least_squares,measured_graph,interior,sigma
0.001,62621206.000375286,17853.899487912655,weighted_least_squares,measured_graph,interior,sigma
0.001333521432163324,62627563.520647764,24211.419760391116,weighted_least_squares,measured_graph,interior,sigma
0.0017782794100389228,62636760.41265838,33408.31177100539,weighted_least_squares,measured_graph,interior,sigma
0.0023713737056616554,62650241.39930271,46889.29841534048,weighted_least_squares,measured_graph,interior,sigma
0.0031622776601683794,62670044.36653026,66692.26564288884,weighted_least_squares,measured_graph,interior,sigma
0.004216965034285823,62698998.66787447,95646.56698709726,weighted_least_squares,measured_graph,interior,sigma
0.005623413251903491,62740907.63950955,137555.53862217814,weighted_least_squares,measured_graph,interior,sigma
0.007498942093324558,62800515.19475301,197163.09386564046,weighted_least_squares,measured_graph,interior,sigma
0.01,62882767.35119706,279415.2503096834,weighted_least_squares,measured_graph,interior,sigma
0.01333521432163324,62990763.14517225,387411.04428488016,weighted_least_squares,measured_graph,interior,sigma
0.01778279410038923,63122898.013233125,519545.9123457521,weighted_least_squares,measured_graph,interior,sigma
0.023713737056616554,63271691.50624373,668339.405356355,weighted_least_squares,measured_graph,interior,sigma
0.03162277660168379,63426777.27922919,823425.1783418134,weighted_least_squares,measured_graph,interior,sigma
0.042169650342858224,63580799.8257719,977447.7248845249,weighted_least_squares,measured_graph,interior,sigma
0.05623413251903491,63732915.80216584,1129563.7012784705,weighted_least_squares,measured_graph,interior,sigma
0.07498942093324558,63885988.89137772,1282636.7904903442,weighted_least_squares,measured_graph,interior,sigma
0.1,64038973.72121821,1435621.6203308403,weighted_least_squares,measured_graph,interior,sigma
