D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,96700877.30612707,1922.261502981186,weighted_least_squares,measured_graph,periphery,sigma
1.333521432163324e-06,96700876.70422788,1921.6596037894487,weighted_least_squares,measured_graph,periphery,sigma
1.778279410038923e-06,96700875.899621,1920.8549969047308,weighted_least_squares,measured_graph,periphery,sigma
2.3713737056616552e-06,96700874.82871181,1919.784087717533,weighted_least_squares,measured_graph,periphery,sigma
3.162277660168379e-06,96700873.40011959,1918.3554954975843,weighted_least_squares,measured_graph,periphery,sigma
4.216965034285822e-06,96700871.49574116,1916.4511170685291,weighted_least_squares,measured_graph,periphery,sigma
5.623413251903491e-06,96700868.95847124,1913.9138471484184,weighted_least_squares,measured_graph,periphery,sigma
7.498942093324558e-06,96700865.57739684,1910.5327727496624,weighted_least_squares,measured_graph,periphery,sigma
1e-05,96700861.0735112,1906.0288871079683,weighted_least_squares,measured_graph,periphery,sigma
1.333521432163324e-05,96700855.07580604,1900.0311819463968,weighted_least_squares,measured_graph,periphery,sigma
1.778279410038923e-05,96700847.09294954,1892.0483254492283,weighted_least_squares,measured_graph,periphery,sigma
2.3713737056616554e-05,96700836.47451957,1881.4298954755068,weighted_least_squares,measured_graph,periphery,sigma
3.1622776601683795e-05,96700822.36236067,1867.317736580968,weighted_least_squares,measured_graph,periphery,sigma
4.216965034285822e-05,96700803.62840149,1848.583777397871,weighted_least_squares,measured_graph,periphery,sigma
5.623413251903491e-05,96700778.79721087,1823.7525867819786,weighted_least_squares,measured_graph,periphery,sigma
7.498942093324559e-05,96700745.95261839,1790.907994300127,weighted_least_squares,measured_graph,periphery,sigma
0.0001,96700702.6303384,1747.5857143104076,weighted_least_squares,measured_graph,periphery,sigma
0.0001333521432163324,96700645.70608264,1690.6614585518837,weighted_least_squares,measured_graph,periphery,sigma
0.00017782794100389227,96700571.30036546,1616.2557413727045,weighted_least_squares,measured_graph,periphery,sigma
0.00023713737056616554,96700474.7483393,1519.7037152051926,weighted_least_squares,measured_graph,periphery,sigma
0.00031622776601683794,96700350.72930689,1395.6846828013659,weighted_least_squares,measured_graph,periphery,sigma
0.00042169650342858224,96700193.73796706,1238.6933429688215,weighted_least_squares,measured_graph,periphery,sigma
0.0005623413251903491,96699999.23384199,1044.1892178952694,weighted_least_squares,measured_graph,periphery,sigma
0.0007498942093324559,96699766.07639463,811.031770542264,weighted_least_squares,measured_graph,periphery,sigma
0.001,96699501.315108,546.2704839110374,weighted_least_squares,measured_graph,periphery,sigma
0.001333521432163324,96699229.16919218,274.1245680898428,weighted_least_squares,measured_graph,periphery,sigma
0.0017782794100389228,96699007.25781429,52.21319019794464,weighted_least_squares,measured_graph,periphery,sigma
0.0023713737056616554,96698955.04462409,0.0,weighted_least_squares,measured_graph,periphery,sigma
0.0031622776601683794,96699302.292299,347.2476749122143,weighted_least_squares,measured_graph,periphery,sigma
0.004216965034285823,96700469.20585123,1514.1612271368504,weighted_least_squares,measured_graph,periphery,sigma
0.005623413251903491,96703194.69295436,4239.648330271244,weighted_least_squares,measured_graph,periphery,sigma
0.007498942093324558,96708731.78448522,9776.739861130714,weighted_least_squares,measured_graph,periphery,sigma
0.01,96719103.72643517,20148.681811079383,weighted_least_squares,measured_graph,periphery,sigma
0.01333521432163324,96737284.02813303,38328.98350894451,weighted_least_squares,measured_graph,periphery,sigma
0.01778279410038923,96766895.07573235,67940.03110826015,weighted_least_squares,measured_graph,periphery,sigma
0.023713737056616554,96810914.26094252,111959.21631842852,weighted_least_squares,measured_graph,periphery,sigma
0.03162277660168379,96869585.7207181,170630.67609401047,weighted_least_squares,measured_graph,periphery,sigma
0.042169650342858224,96939260.98457703,240305.93995293975,weighted_least_squares,measured_graph,periphery,sigma
0.05623413251903491,97014580.17705312,315625.1324290335,weighted_least_squares,measured_graph,periphery,sigma
0.07498942093324558,97093651.12962615,394696.0850020647,weighted_least_squares,measured_graph,periphery,sigma
0.1,97181196.00541022,482240.960786134,weighted_least_squares,measured_graph,periphery,sigma
