D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,measured_flow_free_boundary,6477.041102409385,7.996347040011586,0.13758254620053625,6.521549626206587e-14,0.06521549626206587,6.100000194505904e-14,0.061000001945059036,810,6.572109218934406,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.6435256247198892,3e-14,0.03,3e-14,0.03,H1+H2,periphery,835.7623229620831,199,148,195,885,75,weighted_least_squares,measured_graph,False,1,sigma,0.0,0.0
1e-06,5.623413251903491e-06,1.778279410038923e-05,1e-06,1e-06,measured_flow_free_boundary,2427.1801510194523,1.9589831727356355,0.2806193981703944,2.6955988368108524e-12,2.6955988368108525,6.100007054947361e-14,0.06100007054947361,1239,3.141256138711682,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.4258631618816894,3e-14,0.03,3e-14,0.03,H1+H2,periphery,1587.241896100289,308,238,300,1384,145,weighted_least_squares,measured_graph,False,2,sigma,0.75,1.25
0.001,0.001333521432163324,0.0017782794100389228,0.0007498942093324559,0.00042169650342858224,measured_flow_free_boundary,1341.764723639247,1.4412080812451633,0.2911423371885266,1.3685968479618044e-13,0.13685968479618044,6.100000703637075e-14,0.06100000703637075,931,2.633320140896162,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.3794939724836947,3e-14,0.03,3e-14,0.03,H1+H2,periphery,1572.3713104560213,231,186,224,1051,120,weighted_least_squares,measured_graph,False,3,sigma,0.25,0.625
0.001333521432163324,0.0017782794100389228,0.0017782794100389228,0.001333521432163324,0.001,measured_flow_free_boundary,1036.2763896121226,0.7083228910540824,0.41875117749652657,1.3685968479618044e-13,0.13685968479618044,6.100000703637075e-14,0.06100000703637075,1463,1.8110588902910765,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.29564878745082696,3e-14,0.03,3e-14,0.03,H1+H2,periphery,1988.4426265475738,364,287,355,1648,185,weighted_least_squares,measured_graph,False,4,sigma,0.12499999999999999,0.25
0.0023713737056616554,0.0023713737056616554,0.0031622776601683794,0.0023713737056616554,0.0023713737056616554,measured_flow_free_boundary,974213.6057836461,506.348027954078,0.6845081307537416,3.8902346399335365e-13,0.38902346399335364,6.100000500269836e-14,0.06100000500269836,1924,50.949173303929996,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.0955362430849878,3e-14,0.03,3e-14,0.03,H1+H2,interior,58573.39486633963,483,375,458,2149,225,weighted_least_squares,measured_graph,False,5,sigma,0.0,0.12499999999999999
0.0007498942093324559,0.001,0.001,0.0007498942093324559,0.0007498942093324559,measured_flow_free_boundary,969057.8469701351,957.5670424606078,0.877134830709996,2.6955988368108524e-12,2.6955988368108525,6.100000500269836e-14,0.06100000500269836,1012,67.42160367501167,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.6050004848803392,3e-14,0.03,3e-14,0.03,H1+H2,interior,69964.44398096274,266,213,240,1172,160,weighted_least_squares,measured_graph,False,6,sigma,0.12499999999999999,0.12499999999999999
1e-06,1e-06,1e-06,1e-06,1e-06,measured_flow_free_boundary,11513638.978826204,44800.151668584454,1.270346417483892,5.330876982764469e-12,5.330876982764469,6.100012071333071e-14,0.06100012071333071,257,381.75615627364095,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.7858938440173595,3e-14,0.03,3e-14,0.03,H1+H2,interior,627523.1875325441,86,79,64,372,115,weighted_least_squares,measured_graph,False,7,sigma,0.0,0.0
0.01333521432163324,0.01333521432163324,0.01333521432163324,0.01333521432163324,0.01333521432163324,measured_flow_free_boundary,16966585.567087434,25247.895189118204,1.1297389730125318,5.330876982764469e-12,5.330876982764469,6.100000208180906e-14,0.06100000208180906,672,344.4481611357695,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.1566691466768213,3e-14,0.03,3e-14,0.03,H1+H2,periphery,327044.89463744685,173,143,144,747,75,weighted_least_squares,measured_graph,False,8,sigma,0.0,0.0
1e-06,1e-06,1.778279410038923e-06,1e-06,1e-06,measured_flow_free_boundary,7107560.863676382,7365.3480452605,0.8704909441031466,5.330876982764469e-12,5.330876982764469,6.100000208180906e-14,0.06100000208180906,965,181.81315443258407,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.213939355376563,3e-14,0.03,3e-14,0.03,H1+H2,interior,508437.395219462,248,215,216,1110,145,weighted_least_squares,measured_graph,False,9,sigma,0.0,0.25000000000000006
0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,measured_flow_free_boundary,264884.02118845104,243.01286347564314,0.6132588870866474,7.230124723746576e-13,0.7230124723746576,6.100000208180906e-14,0.06100000208180906,1090,35.592203384666114,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.24616435244463475,3e-14,0.03,3e-14,0.03,H1+H2,periphery,25649.777240772673,281,209,263,1225,135,weighted_least_squares,measured_graph,False,10,sigma,0.0,0.0
