D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.0023713737056616554,0.0023713737056616554,0.0031622776601683794,0.0023713737056616554,0.0017782794100389228,measured_flow_free_boundary,1046.8813007619274,1.2924460503233672,0.27733759632420985,3.1000612212217635e-14,0.031000612212217636,3.1000612212217635e-14,0.031000612212217636,810,2.545679102151601,3.1000612212217635e-14,0.031000612212217636,3.1000612212217635e-14,0.031000612212217636,0.6093735926403215,3.1000612212217635e-14,0.031000612212217636,3.1000612212217635e-14,0.031000612212217636,H1+H2,periphery,139.3972507525334,199,148,195,885,75,ordinary_least_squares,measured_graph,False,1,constant_average_sigma,0.0,0.25000000000000006
1e-06,3.1622776601683795e-05,0.0001333521432163324,1e-06,1e-06,measured_flow_free_boundary,3663.147144328957,2.9565352254471002,3.2731687432621626,3.276813756485456e-14,0.032768137564854555,3.276813756485456e-14,0.032768137564854555,1239,1.1503575261158834,3.276813756485456e-14,0.032768137564854555,3.276813756485456e-14,0.032768137564854555,0.3898877325928181,3.276813756485456e-14,0.032768137564854555,3.276813756485456e-14,0.032768137564854555,H1+H2,periphery,215.0673536835293,308,238,300,1384,145,ordinary_least_squares,measured_graph,False,2,constant_average_sigma,1.5,2.125
0.001,0.0017782794100389228,0.0023713737056616554,0.00017782794100389227,1e-06,measured_flow_free_boundary,352.0071564766595,0.3780957642069382,0.7404036217350496,3.087134098137696e-14,0.03087134098137696,3.087134098137696e-14,0.03087134098137696,931,1.0235979612876698,3.087134098137696e-14,0.03087134098137696,3.087134098137696e-14,0.03087134098137696,0.3687827872906038,3.087134098137696e-14,0.03087134098137696,3.087134098137696e-14,0.03087134098137696,H1+H2,periphery,246.00926797170519,231,186,224,1051,120,ordinary_least_squares,measured_graph,False,3,constant_average_sigma,1.0,3.375
0.001333521432163324,0.0017782794100389228,0.0023713737056616554,0.0007498942093324559,7.498942093324559e-05,measured_flow_free_boundary,513.3298575055003,0.3508748171602873,0.9761811521779705,3.1358149701679605e-14,0.031358149701679605,3.1358149701679605e-14,0.031358149701679605,1463,0.6930481195556276,3.1358149701679605e-14,0.031358149701679605,3.1358149701679605e-14,0.031358149701679605,0.2828439722337872,3.1358149701679605e-14,0.031358149701679605,3.1358149701679605e-14,0.031358149701679605,H1+H2,periphery,296.7983166695368,364,287,355,1648,185,ordinary_least_squares,measured_graph,False,4,constant_average_sigma,0.37499999999999994,1.5
0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,measured_flow_free_boundary,144023.8432540631,74.85646738776668,3.173532418204123,3.180059937001502e-14,0.03180059937001502,3.180059937001502e-14,0.03180059937001502,1924,19.225851139922515,3.180059937001502e-14,0.03180059937001502,3.180059937001502e-14,0.03180059937001502,1.02644470683459,3.180059937001502e-14,0.03180059937001502,3.180059937001502e-14,0.03180059937001502,H1+H2,interior,8321.455304710893,483,375,458,2149,225,ordinary_least_squares,measured_graph,False,5,constant_average_sigma,0.0,0.0
0.001,0.001,0.001333521432163324,0.0007498942093324559,0.00042169650342858224,measured_flow_free_boundary,192545.455558749,190.26230786437648,16.568727272586226,3.4242689943346726e-14,0.03424268994334673,3.4242689943346726e-14,0.03424268994334673,1012,23.627223535447982,3.4242689943346726e-14,0.03424268994334673,3.4242689943346726e-14,0.03424268994334673,1.4054105948267082,3.4242689943346726e-14,0.03424268994334673,3.4242689943346726e-14,0.03424268994334673,H1+H2,interior,8558.922022085084,266,213,240,1172,160,ordinary_least_squares,measured_graph,False,6,constant_average_sigma,0.12499999999999999,0.5
1e-06,3.162277660168379e-06,7.498942093324558e-06,1e-06,1e-06,measured_flow_free_boundary,439628.52982406295,1710.6168475644472,33.85544880545477,6.975376101533059e-14,0.06975376101533058,6.975376101533059e-14,0.06975376101533058,257,65.67493721631537,6.975376101533059e-14,0.06975376101533058,6.975376101533059e-14,0.06975376101533058,0.7680849683327148,6.975376101533059e-14,0.06975376101533058,6.975376101533059e-14,0.06975376101533058,H1+H2,interior,18573.83829806873,86,79,64,372,115,ordinary_least_squares,measured_graph,False,7,constant_average_sigma,0.5,0.875
0.01333521432163324,0.01333521432163324,0.01333521432163324,0.01333521432163324,0.01333521432163324,measured_flow_free_boundary,1005186.8751245124,1495.8138022686196,34.54676366138838,5.531139719690416e-14,0.05531139719690416,5.531139719690416e-14,0.05531139719690416,672,74.72922658082092,5.531139719690416e-14,0.05531139719690416,5.531139719690416e-14,0.05531139719690416,0.6273584859332904,5.531139719690416e-14,0.05531139719690416,5.531139719690416e-14,0.05531139719690416,H1+H2,periphery,15398.628324997379,173,143,144,747,75,ordinary_least_squares,measured_graph,False,8,constant_average_sigma,0.0,0.0
1e-06,3.162277660168379e-06,1e-05,1e-06,1e-06,measured_flow_free_boundary,937735.6470539733,971.7467845118894,29.77100928817988,3.776378771782465e-14,0.037763787717824654,3.776378771782465e-14,0.037763787717824654,965,57.77380885342734,3.776378771782465e-14,0.037763787717824654,3.776378771782465e-14,0.037763787717824654,0.964367794179416,3.776378771782465e-14,0.037763787717824654,3.776378771782465e-14,0.037763787717824654,H1+H2,interior,51371.15307979786,248,215,216,1110,145,ordinary_least_squares,measured_graph,False,9,constant_average_sigma,0.5,1.0
0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,measured_flow_free_boundary,41939.422182205584,38.47653411211522,4.443123624922574,3.2384656070008033e-14,0.03238465607000803,3.2384656070008033e-14,0.03238465607000803,1090,13.18854335499779,3.2384656070008033e-14,0.03238465607000803,3.2384656070008033e-14,0.03238465607000803,0.22803794974306824,3.2384656070008033e-14,0.03238465607000803,3.2384656070008033e-14,0.03238465607000803,H1+H2,periphery,3521.9729172649386,281,209,263,1225,135,ordinary_least_squares,measured_graph,False,10,constant_average_sigma,0.0,0.0
