u,v,Q_dc_nL_s,Q_h1_real_nL_s,Q_h1_imag_nL_s,amp_h1_nL_s,phase_h1_rad,Q_h2_real_nL_s,Q_h2_imag_nL_s,amp_h2_nL_s,phase_h2_rad,measured_mean_Q_nL_s,measured_amp_h1_nL_s,measured_phase_h1_rad
21,32,0.06258808426020208,0.0005547427292707812,-0.003841826338590686,0.0038816709174745753,-1.4273919329386036,7.190551907770567e-05,-0.001158910310504089,0.0011611388855199529,-1.5088299607560176,,,
21,30,-0.06258808426023077,-0.0005547427292708569,0.0038418263385906356,0.0038816709174745363,1.7142007206512109,-7.190551907770726e-05,0.001158910310504078,0.001161138885519942,1.6327626928337775,0.08066107889557238,0.012674737678673964,-2.345812467797923
30,113,-0.06258808426023076,-0.00024876948352772245,0.0036404367553883833,0.0036489266950594317,1.6390253215057637,1.3733357645636458e-05,0.0010564220221950034,0.0010565112844124305,1.5577971808056659,,,
32,68,0.004502282620543525,-6.094813067708866e-07,-0.0002510643415024154,0.0002510650812867149,-1.5732239121137201,-6.68459018542955e-06,-7.042115686092235e-05,7.073770620805972e-05,-1.6654357991170783,0.003221706826452022,1.036810224485814,1.1594998603108586
32,87,0.058085801639658596,0.0006111741427531151,-0.0036263205439798626,0.003677463054941601,-1.4038270901146985,9.469301209061256e-05,-0.0011066404514351732,0.0011106844085029001,-1.485436251981636,,,
68,90,0.004502282620543524,5.161535350532462e-05,-0.00028367500835726345,0.0002883325425337437,-1.3908128901022616,8.650691294754373e-06,-8.710536882173486e-05,8.753387765572594e-05,-1.471807966224302,0.0022348949814799545,2.6079356552746327,0.5224389386991484
87,100,0.010873779428048829,0.0001432126024975389,-0.0006979769218513281,0.0007125178123746613,-1.3684226614384396,2.4984909267830158e-05,-0.00021690468006750635,0.0002183389244415869,-1.4561133347811885,0.005899747321158379,,
87,90,0.04721202221160976,0.0005295923635565222,-0.002966693396196385,0.0030135921719059173,-1.3941444126828832,8.784944562238221e-05,-0.0009093491496775971,0.0009135827281180007,-1.4744882484829522,0.030618945721715404,2.0070221993066153,-0.9825033823756218
90,246,0.05171430483215331,0.0006761524008416216,-0.003306840630927975,0.0033752595496524436,-1.3691056250771965,0.00012548740935941504,-0.0010254439425683162,0.0010330935917223518,-1.4490280195923906,2.4842572948244324,2.8954591280681115,-2.339805506803939
100,178,0.020374204398187292,0.0003774683526324956,-0.001363354506740449,0.001414644078306831,-1.3006948834214358,8.490424943378116e-05,-0.0004351935593422289,0.0004433984276752364,-1.3781211724733917,,,
100,163,-0.009500424970138359,-0.00016387860863694228,0.0006247221880660744,0.0006458591259948594,1.8273384762660334,-3.797185828512995e-05,0.00019738510386225406,0.00020100433141685982,1.7608490274056425,0.0016689208020714663,0.820557892916507,-0.8307595435418664
106,435,-0.0762481193045792,0.00028897168707566596,0.004033422907457571,0.004043761242498726,1.499274249988026,0.0001807676623535693,0.0010842327814078458,0.001099198649941023,1.4055918337147248,0.17505189743821545,0.016627421108685498,-2.887425102715762
106,113,0.07852395697226948,-0.000181315794186665,-0.004233384489841141,0.004237265587150407,-1.6136001513623823,-0.00015302758801615099,-0.0011563237424643453,0.0011664056070170403,-1.702371498216789,0.15288362979286876,0.01876439100636439,3.0520813338879855
106,467,-0.0022758376676902696,-0.00010765589288900093,0.0001999615823835613,0.00022710003457301764,2.0646767164336928,-2.7740074337416714e-05,7.209096105649436e-05,7.724388901585932e-05,1.938124602242372,0.00753872709497404,,
113,162,0.015935872712038744,3.117790747690593e-05,-0.0009120966686759086,0.000912629385306176,-1.5366269522969034,-1.6631888884154762e-05,-0.00026140576567864796,0.000261934331575483,-1.6343354786390532,,,
162,163,0.015935872712038748,0.0001333287693496792,-0.0009814322586646953,0.0009904472924310436,-1.4357717095231606,1.1098609742942551e-05,-0.00029658247638616715,0.0002967900679564219,-1.5333921164507092,0.020268230859212366,0.9002583840000606,-1.4003863378319805
163,206,0.006435447741900387,7.411887176066725e-05,-0.000420344694699941,0.00042682932129067797,-1.3962616460276562,4.519238630129293e-06,-0.00013181679756120635,0.0001318942441393411,-1.536525510707296,0.0481364915414841,,
178,347,-0.0003315895114042825,-2.231803906518158e-05,2.2869236905665936e-05,3.195460630898844e-05,2.3439970188258146,-1.078742773373317e-05,7.637026254597585e-06,1.3217139142943467e-05,2.5255468980829208,0.0033181018794235743,0.0027824835673398653,-0.8725772112263188
178,311,0.020705793909591486,0.00044261851104536015,-0.00140932673362126,0.0014771976808875585,-1.2664874204313246,0.00010968221041272279,-0.0004547567751670651,0.00046779687027744145,-1.334127658585696,0.10268596888855584,,
206,207,0.006435447741900408,0.00010907065034489068,-0.00044099800507426204,0.0004542858651181393,-1.3283351414903217,1.5257166155085531e-05,-0.0001424697447816411,0.00014328436515276133,-1.4641123483001313,,,
207,326,0.007268659269023037,0.00010761574089194524,-0.0004756968319809449,0.0004877177704825093,-1.3483137681979238,1.9591075734447443e-05,-0.00014963117657150224,0.00015090824778853188,-1.440607769365324,0.05364084805814179,0.031447351871245366,0.3688398393345936
207,669,-0.0008332115271226534,1.938156207015526e-05,2.4467698827446422e-05,3.121399100066994e-05,0.9008735305614786,1.3209221369203798e-06,1.8572838216197849e-06,2.2791091430330615e-06,0.9525852430813947,0.0036835296319314304,0.0030761355381907535,-2.3379807473021326
238,246,-0.035013795267195794,-0.0005558165262949794,0.002290771368199984,0.0023572368299064573,1.80882933109227,-0.00011918518825979843,0.0007212548846030669,0.0007310360577046162,1.7345633658919186,0.05694266710194759,1.6084757892346935,0.8829582693640083
238,304,0.00038316123531064106,-9.266577320387096e-06,-1.7784612159141508e-05,2.0053974291541226e-05,-2.0511375805825476,-4.4818493048040885e-06,-4.061191493804556e-06,6.048160839488594e-06,-2.4053945753343218,0.024113659316108586,1.3535449336492797,-0.6328132370244771
