ablation,D,chi2,delta_chi2
measured_free_boundary,1e-06,11513638.978826204,0.0
measured_free_boundary,1.3058823191183775e-06,11513643.50040723,4.5215810257941484
measured_free_boundary,1.7053286313859887e-06,11513649.398715451,10.419889247044921
measured_free_boundary,2.2269585080133038e-06,11513657.103344312,18.124518107622862
measured_free_boundary,2.908145741024809e-06,11513667.164299158,28.185472954064608
measured_free_boundary,3.7976961046237105e-06,11513680.302749211,41.323923006653786
measured_free_boundary,4.959344196412829e-06,11513697.462911982,58.48408577777445
measured_free_boundary,6.476319900517853e-06,11513719.872481309,80.89365510456264
measured_free_boundary,8.457311651040738e-06,11513749.140628327,110.16180212236941
measured_free_boundary,1.1044253752367952e-05,11513787.366419386,148.38759318180382
measured_free_boundary,1.4422495703074076e-05,11513837.294128994,198.31530278921127
measured_free_boundary,1.883408213620521e-05,11513902.509962948,263.53113674372435
measured_free_boundary,2.4595094858493616e-05,11513987.701492485,348.72266628034413
measured_free_boundary,3.211829951274613e-05,11514098.997654054,460.01882784999907
measured_free_boundary,4.194271945384357e-05,11514244.416598318,605.4377721138299
measured_free_boundary,5.477225575051662e-05,11514434.450898856,795.4720726516098
measured_free_boundary,7.15261203628294e-05,11514682.841834508,1043.8630083035678
measured_free_boundary,9.340469593695185e-05,11515007.599325653,1368.6204994488508
measured_free_boundary,0.00012197554094669347,11515432.353359979,1793.3745337743312
measured_free_boundary,0.00015928570228718652,11515988.148666868,2349.1698406636715
measured_free_boundary,0.00020800838230519039,11516715.840136597,3076.861310392618
measured_free_boundary,0.00027163446868076383,11517669.304017974,4030.325191769749
measured_free_boundary,0.0003547226499133238,11518919.766249124,5280.787422919646
measured_free_boundary,0.0004632260367126272,11520561.667249074,6922.688422869891
measured_free_boundary,0.0006049186910983003,11522720.64353451,9081.66470830515
measured_free_boundary,0.0007899526232095012,11525564.410692578,11925.431866373867
measured_free_boundary,0.0010315851635904682,11529317.551849924,15678.573023719713
measured_free_boundary,0.00134712882579763,11534281.337029953,20642.35820374824
measured_free_boundary,0.0017591917151838243,11540859.38551502,27220.406688814983
measured_free_boundary,0.0022972973567980865,11549588.37899134,35949.40016513504
measured_free_boundary,0.003000000000000001,11561168.189367529,47529.21054132469
measured_fixed_mosaic_pressure,1e-06,18585785.463255297,0.0
measured_fixed_mosaic_pressure,1.3058823191183775e-06,18585786.62160405,1.1583487540483475
measured_fixed_mosaic_pressure,1.7053286313859887e-06,18585788.1342683,2.6710130013525486
measured_fixed_mosaic_pressure,2.2269585080133038e-06,18585790.109624807,4.646369509398937
measured_fixed_mosaic_pressure,2.908145741024809e-06,18585792.689199448,7.225944150239229
