file,D0_per_pa,alpha,R0_m,noise_level,seed,n_nodes,n_edges,heart_frequency_hz
pl_d1e-04_a0_n00_s42.npz,0.0001,0.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-04_a0_n10_s42.npz,0.0001,0.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-04_a0_n25_s42.npz,0.0001,0.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-04_a0_n50_s42.npz,0.0001,0.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-04_a1_n00_s42.npz,0.0001,1.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-04_a1_n10_s42.npz,0.0001,1.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-04_a1_n25_s42.npz,0.0001,1.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-04_a1_n50_s42.npz,0.0001,1.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-04_a2_n00_s42.npz,0.0001,2.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-04_a2_n10_s42.npz,0.0001,2.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-04_a2_n25_s42.npz,0.0001,2.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-04_a2_n50_s42.npz,0.0001,2.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-03_a0_n00_s42.npz,0.001,0.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-03_a0_n10_s42.npz,0.001,0.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-03_a0_n25_s42.npz,0.001,0.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-03_a0_n50_s42.npz,0.001,0.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-03_a1_n00_s42.npz,0.001,1.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-03_a1_n10_s42.npz,0.001,1.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-03_a1_n25_s42.npz,0.001,1.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-03_a1_n50_s42.npz,0.001,1.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-03_a2_n00_s42.npz,0.001,2.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-03_a2_n10_s42.npz,0.001,2.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-03_a2_n25_s42.npz,0.001,2.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-03_a2_n50_s42.npz,0.001,2.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-02_a0_n00_s42.npz,0.01,0.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-02_a0_n10_s42.npz,0.01,0.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-02_a0_n25_s42.npz,0.01,0.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-02_a0_n50_s42.npz,0.01,0.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-02_a1_n00_s42.npz,0.01,1.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-02_a1_n10_s42.npz,0.01,1.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-02_a1_n25_s42.npz,0.01,1.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-02_a1_n50_s42.npz,0.01,1.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
pl_d1e-02_a2_n00_s42.npz,0.01,2.0,2.5e-05,0.0,42,4388,6441,2.7733447429741864
pl_d1e-02_a2_n10_s42.npz,0.01,2.0,2.5e-05,0.1,42,4388,6441,2.7733447429741864
pl_d1e-02_a2_n25_s42.npz,0.01,2.0,2.5e-05,0.25,42,4388,6441,2.7733447429741864
pl_d1e-02_a2_n50_s42.npz,0.01,2.0,2.5e-05,0.5,42,4388,6441,2.7733447429741864
