dataset,method,method_label,raw_method,engine,configuration,alpha_mode,prescribed_alpha,harmonics,base_configuration,D0,alpha,noise,seed,pressure_prior,pressure_prior_label,pressure_source,n_spatial_problems,D0_hat,alpha_hat,D0_interval_low,D0_interval_high,alpha_interval_low,alpha_interval_high,median_relative_D0_error,median_alpha_absolute_error,median_velocity_relative_rmse,D0_coverage_rate,alpha_coverage_rate,boundary_hit_rate,median_D0_interval_width_decades,median_alpha_interval_width,dashboard
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_prescribed_0__h1,prescribed,0.0,H1,alpha_prescribed_0__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,2.939224972824236e-11,1.0,1.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_prescribed_0__h1_h2,prescribed,0.0,H1 + H2,alpha_prescribed_0__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,3.124085085004998e-11,1.0,1.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_prescribed_1__h1,prescribed,1.0,H1,alpha_prescribed_1__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.005623413251903491,1.0,0.005623413251903491,0.005623413251903491,1.0,1.0,0.4376586748096509,1.0,0.1294158132878941,0.0,0.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_prescribed_1__h1_h2,prescribed,1.0,H1 + H2,alpha_prescribed_1__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.005011872336272725,1.0,0.005011872336272725,0.005011872336272725,1.0,1.0,0.49881276637272753,1.0,0.12870645553601318,0.0,0.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_1__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_prescribed_2__h1,prescribed,2.0,H1,alpha_prescribed_2__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.002511886431509582,2.0,0.002511886431509582,0.002511886431509582,2.0,2.0,0.7488113568490418,2.0,0.23548447959342217,0.0,0.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_prescribed_2__h1_h2,prescribed,2.0,H1 + H2,alpha_prescribed_2__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.00223872113856834,2.0,0.00223872113856834,0.00223872113856834,2.0,2.0,0.776127886143166,2.0,0.24137145314617933,0.0,0.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_prescribed_2__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_solved__h1,solved,nan,H1,alpha_solved__h1,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,2.939224972824236e-11,1.0,1.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_solved__h1/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_mosaic,Bayesian Mosaic,bayesian_mosaic,cpu,alpha_solved__h1_h2,solved,nan,H1 + H2,alpha_solved__h1_h2,0.01,0.0,0.0,42,none,No pressure prior,,1,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,3.124085085004998e-11,1.0,1.0,0.0,0.0,0.0,../bayesian_mosaic/pl_d1e-02_a0_n00_s42/alpha_solved__h1_h2/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_0__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,0.0,H1,alpha_prescribed_0__h1,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22413979312412124,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
pl_d1e-02_a0_n00_s42,bayesian_tile,Bayesian Tile,bayesian_tile_gpu,gpu,alpha_prescribed_0__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42,prescribed,0.0,H1 + H2,alpha_prescribed_0__h1_h2,0.01,0.0,0.0,42,k0,K=0 pressure prior (scaled),edge_local_mlp__K0__dc_only__seed42,53,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.22407944435472327,1.0,1.0,0.0,0.0,0.0,../bayesian_tile_gpu/pl_d1e-02_a0_n00_s42/alpha_prescribed_0__h1_h2__pressure_scaled__edge_local_mlp__K0__dc_only__seed42/distensibility_dashboard.html
