method,pressure_prior,alpha_mode,prescribed_alpha,harmonics,n_datasets,n_runs,median_relative_D0_error,median_alpha_absolute_error,median_velocity_relative_rmse,mean_D0_coverage_rate,mean_alpha_coverage_rate,mean_boundary_hit_rate
bayesian_mosaic,No pressure prior,prescribed,0.0,H1 + H2,32,32,0.41253754462275394,1.0,0.1387147740417069,0.375,0.375,0.0
bayesian_mosaic,No pressure prior,prescribed,0.0,H1,32,32,0.584893192461114,1.0,0.10200770041206939,0.375,0.375,0.0
bayesian_mosaic,No pressure prior,prescribed,1.0,H1 + H2,32,32,0.36904265551980703,1.0,0.11872486390634772,0.34375,0.34375,0.0
bayesian_mosaic,No pressure prior,prescribed,1.0,H1,32,32,0.36904265551980703,1.0,0.10281211683872654,0.34375,0.34375,0.0
bayesian_mosaic,No pressure prior,prescribed,2.0,H1 + H2,32,32,0.49881276637272753,1.0,0.17646734740834769,0.28125,0.28125,0.0
bayesian_mosaic,No pressure prior,prescribed,2.0,H1,32,32,0.5533164078490366,1.0,0.14516675102108,0.28125,0.28125,0.0
bayesian_mosaic,No pressure prior,solved,nan,H1 + H2,32,32,0.0,0.0,0.003651550797071079,1.0,1.0,0.0
bayesian_mosaic,No pressure prior,solved,nan,H1,32,32,0.0,0.0,0.0030230617367359705,1.0,1.0,0.0
bayesian_tile,K=0 pressure prior (scaled),prescribed,0.0,H1 + H2,32,32,0.31398403365698724,1.0,1.229721027370755,0.5990566037735849,0.375,0.0076650943396226415
bayesian_tile,K=0 pressure prior (scaled),prescribed,0.0,H1,36,36,0.3907901000712801,1.0,1.1541256867146843,0.6053459119496856,0.3333333333333333,0.020440251572327043
bayesian_tile,K=0 pressure prior (scaled),prescribed,1.0,H1 + H2,32,32,0.25892541179416745,1.0,1.2612847154409295,0.5719339622641509,0.34375,0.01179245283018868
bayesian_tile,K=0 pressure prior (scaled),prescribed,1.0,H1,32,32,0.41253754462275394,1.0,1.259652625553707,0.6297169811320755,0.34375,0.012971698113207548
bayesian_tile,K=0 pressure prior (scaled),prescribed,2.0,H1 + H2,32,32,0.3690426555198071,1.0,1.281544175438822,0.4422169811320754,0.28125,0.033608490566037735
bayesian_tile,K=0 pressure prior (scaled),prescribed,2.0,H1,32,32,0.4125375446227554,1.0,1.2911190038413165,0.5288915094339623,0.28125,0.025943396226415096
bayesian_tile,K=0 pressure prior (scaled),solved,nan,H1 + H2,32,32,0.0,0.0500000000000001,1.203988085593242,0.9215801886792453,0.9893867924528302,0.0047169811320754715
bayesian_tile,K=0 pressure prior (scaled),solved,nan,H1,32,32,0.10874906186625409,0.10000000000000003,1.176499465604559,0.9280660377358491,0.9829009433962265,0.005306603773584905
bayesian_tile,No pressure prior,prescribed,0.0,H1 + H2,32,32,0.31398403365698724,1.0,1.228594183817438,0.5990566037735849,0.375,0.008254716981132075
bayesian_tile,No pressure prior,prescribed,0.0,H1,36,36,0.3907901000712801,1.0,1.1540106988108176,0.6063941299790357,0.3333333333333333,0.020440251572327043
bayesian_tile,No pressure prior,prescribed,1.0,H1 + H2,32,32,0.25892541179416745,1.0,1.2612814048000391,0.5731132075471699,0.34375,0.01179245283018868
bayesian_tile,No pressure prior,prescribed,1.0,H1,32,32,0.41253754462275394,1.0,1.25993224533056,0.6297169811320755,0.34375,0.012971698113207548
