D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,71820.3573742515,59.18150537274778,weighted_least_squares,all,sigma
1.333521432163324e-06,71820.2901478077,59.11427892894426,weighted_least_squares,all,sigma
1.778279410038923e-06,71820.20056544618,59.02469656743051,weighted_least_squares,all,sigma
2.3713737056616552e-06,71820.08120483099,58.90533595223678,weighted_least_squares,all,sigma
3.162277660168379e-06,71819.92222003979,58.746351161040366,weighted_least_squares,all,sigma
4.216965034285822e-06,71819.71053679533,58.534667916581384,weighted_least_squares,all,sigma
5.623413251903491e-06,71819.4288302595,58.25296138074191,weighted_least_squares,all,sigma
7.498942093324558e-06,71819.05420256779,57.87833368903375,weighted_least_squares,all,sigma
1e-05,71818.55646312107,57.38059424232051,weighted_least_squares,all,sigma
1.333521432163324e-05,71817.89598058953,56.72011171077611,weighted_least_squares,all,sigma
1.778279410038923e-05,71817.02102452969,55.84515565093898,weighted_least_squares,all,sigma
2.3713737056616554e-05,71815.864591018,54.688722139253514,weighted_least_squares,all,sigma
3.1622776601683795e-05,71814.34087164358,53.16500276482839,weighted_least_squares,all,sigma
4.216965034285822e-05,71812.34174384862,51.16587496986904,weighted_least_squares,all,sigma
5.623413251903491e-05,71809.73427762561,48.55840874685964,weighted_least_squares,all,sigma
7.498942093324559e-05,71806.3612989365,45.185430057754274,weighted_least_squares,all,sigma
0.0001,71802.04912360887,40.87325473011879,weighted_least_squares,all,sigma
0.0001333521432163324,71796.63038156962,35.45451269086334,weighted_least_squares,all,sigma
0.00017782794100389227,71789.99687340144,28.821004522687872,weighted_least_squares,all,sigma
0.00023713737056616554,71782.21006216237,21.034193283616332,weighted_least_squares,all,sigma
0.00031622776601683794,71773.71906129846,12.5431924197037,weighted_least_squares,all,sigma
0.00042169650342858224,71765.77338309397,4.597514215216506,weighted_least_squares,all,sigma
0.0005623413251903491,71761.17586887875,0.0,weighted_least_squares,all,sigma
0.0007498942093324559,71765.5997674254,4.423898546650889,weighted_least_squares,all,sigma
0.001,71789.76786532372,28.5919964449713,weighted_least_squares,all,sigma
0.001333521432163324,71852.74898806083,91.57311918208143,weighted_least_squares,all,sigma
0.0017782794100389228,71986.11612960622,224.94026072746783,weighted_least_squares,all,sigma
0.0023713737056616554,72237.14850464991,475.97263577116246,weighted_least_squares,all,sigma
0.0031622776601683794,72667.08551614067,905.909647261913,weighted_least_squares,all,sigma
0.004216965034285823,73341.82199351248,1580.6461246337276,weighted_least_squares,all,sigma
0.005623413251903491,74321.90709924762,2560.731230368867,weighted_least_squares,all,sigma
0.007498942093324558,75663.91709831482,3902.7412294360693,weighted_least_squares,all,sigma
0.01,77427.85518696936,5666.67931809061,weighted_least_squares,all,sigma
0.01333521432163324,79673.91493179843,7912.739062919674,weighted_least_squares,all,sigma
0.01778279410038923,82451.8485460605,10690.672677181748,weighted_least_squares,all,sigma
0.023713737056616554,85793.72311742502,14032.547248546267,weighted_least_squares,all,sigma
0.03162277660168379,89703.61930291187,17942.44343403312,weighted_least_squares,all,sigma
0.042169650342858224,94140.09406277057,22378.91819389182,weighted_least_squares,all,sigma
0.05623413251903491,98999.7635253846,27238.587656505842,weighted_least_squares,all,sigma
0.07498942093324558,104096.94295601465,32335.7670871359,weighted_least_squares,all,sigma
0.1,109162.9169981093,37401.74112923055,weighted_least_squares,all,sigma
