D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,34.24087511042276,5.556573250253489,ordinary_least_squares,interior,constant_average_sigma
1.333521432163324e-06,34.23731294711986,5.553011086950587,ordinary_least_squares,interior,constant_average_sigma
1.778279410038923e-06,34.2325643114783,5.548262451309025,ordinary_least_squares,interior,constant_average_sigma
2.3713737056616552e-06,34.226234718506895,5.541932858337621,ordinary_least_squares,interior,constant_average_sigma
3.162277660168379e-06,34.21779907224434,5.533497212075066,ordinary_least_squares,interior,constant_average_sigma
4.216965034285822e-06,34.20655886103222,5.522257000862947,ordinary_least_squares,interior,constant_average_sigma
5.623413251903491e-06,34.19158564501398,5.507283784844706,ordinary_least_squares,interior,constant_average_sigma
7.498942093324558e-06,34.17164674906277,5.4873448888934995,ordinary_least_squares,interior,constant_average_sigma
1e-05,34.14510803984883,5.460806179679555,ordinary_least_squares,interior,constant_average_sigma
1.333521432163324e-05,34.1098076067074,5.425505746538125,ordinary_least_squares,interior,constant_average_sigma
1.778279410038923e-05,34.062893292054845,5.378591431885571,ordinary_least_squares,interior,constant_average_sigma
2.3713737056616554e-05,34.00061677186935,5.316314911700079,ordinary_least_squares,interior,constant_average_sigma
3.1622776601683795e-05,33.91807830262149,5.233776442452214,ordinary_least_squares,interior,constant_average_sigma
4.216965034285822e-05,33.80892134388118,5.124619483711907,ordinary_least_squares,interior,constant_average_sigma
5.623413251903491e-05,33.66498897979796,4.980687119628687,ordinary_least_squares,interior,constant_average_sigma
7.498942093324559e-05,33.47598212866415,4.791680268494876,ordinary_least_squares,interior,constant_average_sigma
0.0001,33.22921770853401,4.5449158483647345,ordinary_least_squares,interior,constant_average_sigma
0.0001333521432163324,32.90970074495612,4.225398884786845,ordinary_least_squares,interior,constant_average_sigma
0.00017782794100389227,32.500946002288565,3.8166441421192907,ordinary_least_squares,interior,constant_average_sigma
0.00023713737056616554,31.987385751403277,3.303083891234003,ordinary_least_squares,interior,constant_average_sigma
0.00031622776601683794,31.359866784262124,2.67556492409285,ordinary_least_squares,interior,constant_average_sigma
0.00042169650342858224,30.626731581700557,1.9424297215312833,ordinary_least_squares,interior,constant_average_sigma
0.0005623413251903491,29.83432772544345,1.150025865274177,ordinary_least_squares,interior,constant_average_sigma
0.0007498942093324559,29.10262104354541,0.41831918337613416,ordinary_least_squares,interior,constant_average_sigma
0.001,28.684301860169274,0.0,ordinary_least_squares,interior,constant_average_sigma
0.001333521432163324,29.059455705567853,0.37515384539857877,ordinary_least_squares,interior,constant_average_sigma
0.0017782794100389228,31.076067379248965,2.3917655190796907,ordinary_least_squares,interior,constant_average_sigma
0.0023713737056616554,36.11898437770252,7.434682517533243,ordinary_least_squares,interior,constant_average_sigma
0.0031622776601683794,46.223681315368594,17.53937945519932,ordinary_least_squares,interior,constant_average_sigma
0.004216965034285823,63.978654481088114,35.29435262091884,ordinary_least_squares,interior,constant_average_sigma
0.005623413251903491,92.08098200259099,63.396680142421715,ordinary_least_squares,interior,constant_average_sigma
0.007498942093324558,132.61777230976486,103.93347044959559,ordinary_least_squares,interior,constant_average_sigma
0.01,186.37256491136623,157.68826305119694,ordinary_least_squares,interior,constant_average_sigma
0.01333521432163324,252.40043659664818,223.7161347364789,ordinary_least_squares,interior,constant_average_sigma
0.01778279410038923,327.96878481030126,299.284482950132,ordinary_least_squares,interior,constant_average_sigma
0.023713737056616554,409.0849245322419,380.40062267207264,ordinary_least_squares,interior,constant_average_sigma
0.03162277660168379,491.72083359439483,463.03653173422555,ordinary_least_squares,interior,constant_average_sigma
0.042169650342858224,573.0836565429458,544.3993546827766,ordinary_least_squares,interior,constant_average_sigma
0.05623413251903491,651.9329140976256,623.2486122374563,ordinary_least_squares,interior,constant_average_sigma
0.07498942093324558,727.7697409885383,699.085439128369,ordinary_least_squares,interior,constant_average_sigma
0.1,799.9255511403093,771.24124928014,ordinary_least_squares,interior,constant_average_sigma
