D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,71776.84810928875,34.59761736767541,weighted_least_squares,periphery,sigma
1.333521432163324e-06,71776.80075541903,34.550263497949345,weighted_least_squares,periphery,sigma
1.778279410038923e-06,71776.7376644997,34.48717257862154,weighted_least_squares,periphery,sigma
2.3713737056616552e-06,71776.65361471043,34.40312278935744,weighted_least_squares,periphery,sigma
3.162277660168379e-06,71776.54168909186,34.291197170779924,weighted_least_squares,periphery,sigma
4.216965034285822e-06,71776.39270940782,34.14221748674754,weighted_least_squares,periphery,sigma
5.623413251903491e-06,71776.19452892235,33.94403700127441,weighted_least_squares,periphery,sigma
7.498942093324558e-06,71775.93112397041,33.680632049334235,weighted_least_squares,periphery,sigma
1e-05,71775.58141574309,33.330923822009936,weighted_least_squares,periphery,sigma
1.333521432163324e-05,71775.117825475,32.867333553920616,weighted_least_squares,periphery,sigma
1.778279410038923e-05,71774.50451985795,32.254027936869534,weighted_least_squares,periphery,sigma
2.3713737056616554e-05,71773.69538118261,31.444889261532808,weighted_least_squares,periphery,sigma
3.1622776601683795e-05,71772.63189352445,30.38140160337207,weighted_least_squares,periphery,sigma
4.216965034285822e-05,71771.24132653333,28.99083461225382,weighted_least_squares,periphery,sigma
5.623413251903491e-05,71769.43614538034,27.185653459266177,weighted_least_squares,periphery,sigma
7.498942093324559e-05,71767.11646783107,24.86597590999736,weighted_least_squares,periphery,sigma
0.0001,71764.17914871628,21.928656795207644,weighted_least_squares,periphery,sigma
0.0001333521432163324,71760.54025668818,18.289764767105225,weighted_least_squares,periphery,sigma
0.00017782794100389227,71756.1835380469,13.93304612582142,weighted_least_squares,periphery,sigma
0.00023713737056616554,71751.25792257779,9.007430656711222,weighted_least_squares,periphery,sigma
0.00031622776601683794,71746.26556306245,4.0150711413734825,weighted_least_squares,periphery,sigma
0.00042169650342858224,71742.41330490424,0.16281298316607717,weighted_least_squares,periphery,sigma
0.0005623413251903491,71742.25049192108,0.0,weighted_least_squares,periphery,sigma
0.0007498942093324559,71750.78452816275,8.534036241675494,weighted_least_squares,periphery,sigma
0.001,71777.32359754393,35.0731056228542,weighted_least_squares,periphery,sigma
0.001333521432163324,71838.22321450815,95.9727225870738,weighted_least_squares,periphery,sigma
0.0017782794100389228,71960.19461335396,217.94412143288355,weighted_least_squares,periphery,sigma
0.0023713737056616554,72182.43102674106,440.18053481998504,weighted_least_squares,periphery,sigma
0.0031622776601683794,72554.075558473,811.8250665519299,weighted_least_squares,periphery,sigma
0.004216965034285823,73125.43359116281,1383.183099241738,weighted_least_squares,periphery,sigma
0.005623413251903491,73940.63711929152,2198.386627370448,weighted_least_squares,periphery,sigma
0.007498942093324558,75043.33198211972,3301.081490198645,weighted_least_squares,periphery,sigma
0.01,76488.29450784434,4746.044015923268,weighted_least_squares,periphery,sigma
0.01333521432163324,78341.02100326042,6598.770511339346,weighted_least_squares,periphery,sigma
0.01778279410038923,80667.79829649329,8925.547804572212,weighted_least_squares,periphery,sigma
0.023713737056616554,83525.23229930057,11782.981807379489,weighted_least_squares,periphery,sigma
0.03162277660168379,86942.02952991654,15199.779037995468,weighted_least_squares,periphery,sigma
0.042169650342858224,90893.35253694071,19151.102045019637,weighted_least_squares,periphery,sigma
0.05623413251903491,95282.6666015868,23540.41610966572,weighted_least_squares,periphery,sigma
0.07498942093324558,99926.80182424888,28184.5513323278,weighted_least_squares,periphery,sigma
0.1,104560.9677081706,32818.717216249526,weighted_least_squares,periphery,sigma
