D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001333521432163324,0.03162277660168379,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.1596313416874102,0.00012139265527559711,0.021916477297716466,6.209986313550197e-14,0.06209986313550197,6.100000000300047e-14,0.06100000000300047,1315,0.00878889119666559,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0006055944301815474,3e-14,0.03,3e-14,0.03,H1+H2,periphery,1.387406574206568,286,286,286,1430,115,weighted_least_squares,False,1,sigma,4.5,5.0
0.0017782794100389228,0.07498942093324558,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.5786770885464557,0.00026852765129765926,0.03397434490711028,6.226363007660163e-14,0.062263630076601635,6.100000005567268e-14,0.06100000005567268,2155,0.009907658171533535,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0004908829416794096,3e-14,0.03,3e-14,0.03,H1+H2,periphery,1.0018288593509235,455,455,455,2275,120,weighted_least_squares,False,2,sigma,4.875,5.0
0.0007498942093324559,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.41866942592829043,0.0002514531086656399,0.03256730823934538,6.55443159064055e-14,0.0655443159064055,6.100000025398061e-14,0.06100000025398061,1665,0.009177986439340235,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00028312850269171226,3e-14,0.03,3e-14,0.03,H1+H2,periphery,0.5929097524818028,364,364,364,1820,155,weighted_least_squares,True,3,sigma,5.0,5.0
0.0017782794100389228,0.01333521432163324,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.7789543569864082,0.000384668818264893,0.03937328640994897,6.55443159064055e-14,0.0655443159064055,6.100000000156827e-14,0.06100000000156827,2025,0.01570423441490862,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0002934380648676804,3e-14,0.03,3e-14,0.03,H1+H2,periphery,2.7059965845738194,433,433,433,2165,140,weighted_least_squares,False,4,sigma,4.125,5.0
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.07899522296880628,4.8913450754678805e-05,0.008650998601173285,6.330274965635561e-14,0.06330274965635561,6.100000028109676e-14,0.061000000281096756,1615,0.012245285230412635,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0002941112462349708,3e-14,0.03,3e-14,0.03,H1+H2,periphery,18.49709760961559,351,351,351,1755,140,weighted_least_squares,False,5,sigma,3.625,3.875
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.05802621753127775,4.660740363958052e-05,0.003176575304163817,6.162547709084987e-14,0.06162547709084987,6.100000020131985e-14,0.06100000020131985,1245,0.014138684168015054,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0004774810598852555,3e-14,0.03,3e-14,0.03,H1+H2,periphery,60.78235331393367,276,276,276,1380,135,weighted_least_squares,False,6,sigma,3.5,3.75
0.001,0.0023713737056616554,0.004216965034285823,1e-06,1e-06,mosaic_flow_free_boundary,0.2507759630483883,0.0002321999657855447,0.003677374126277556,6.180491462324192e-14,0.06180491462324192,6.100000012613673e-14,0.06100000012613673,1080,0.032301974150564405,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0010872636565989902,3e-14,0.03,3e-14,0.03,H1+H2,periphery,264.91055623202965,237,237,237,1185,105,weighted_least_squares,False,7,sigma,3.375,3.625
0.001,0.001333521432163324,0.001333521432163324,0.0007498942093324559,0.0005623413251903491,mosaic_flow_free_boundary,5.142315135374225,0.0034168206879562953,0.016710591733613753,7.53274082701419e-14,0.07532740827014191,6.100000012613673e-14,0.06100000012613673,1505,0.12395061776760634,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.005895981099831321,3e-14,0.03,3e-14,0.03,H1+H2,periphery,732.6508944865321,328,328,328,1640,135,weighted_least_squares,False,8,sigma,0.25,0.37499999999999994
0.001,0.0017782794100389228,0.0031622776601683794,1e-06,1e-06,mosaic_flow_free_boundary,0.23876955327026872,0.00011424380539247307,0.007193112898280725,6.169529646447666e-14,0.06169529646447666,6.100000020131985e-14,0.06100000020131985,2090,0.021373354191320897,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0006326628071769909,3e-14,0.03,3e-14,0.03,H1+H2,interior,97.12097415564588,469,469,469,2345,255,weighted_least_squares,False,9,sigma,3.25,3.5
0.001,0.004216965034285823,0.01,1e-06,1e-06,mosaic_flow_free_boundary,0.28312920627116434,0.00020151544930331982,0.02537009383370464,8.222075618187272e-14,0.08222075618187272,6.100000028109676e-14,0.061000000281096756,1405,0.016398393346627967,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00033831016890540575,3e-14,0.03,3e-14,0.03,H1+H2,interior,14.43348880785153,310,310,310,1550,145,weighted_least_squares,False,10,sigma,3.625,4.0
0.001333521432163324,0.005623413251903491,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,1.044705629763575,0.0005647057458181486,0.048302650682020096,8.222075618187272e-14,0.08222075618187272,6.100000008665321e-14,0.061000000086653204,1850,0.015478030553724207,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0003163085511916142,3e-14,0.03,3e-14,0.03,H1+H2,interior,7.190031505536016,406,406,406,2030,180,weighted_least_squares,False,11,sigma,3.75,4.25
0.001333521432163324,0.01333521432163324,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.2131206773206219,0.00013531471575912502,0.02304672373616561,6.306955202362449e-14,0.06306955202362449,6.100000005567268e-14,0.06100000005567268,1575,0.007837283131628011,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00048745552886432443,3e-14,0.03,3e-14,0.03,H1+H2,interior,2.146399991477847,359,359,359,1795,220,weighted_least_squares,False,12,sigma,4.125,5.0
0.001,0.004216965034285823,0.01,1e-06,1e-06,mosaic_flow_free_boundary,0.18587726174292973,9.706384425218262e-05,0.01642335965709863,6.358802916111869e-14,0.06358802916111869,6.100000039040541e-14,0.061000000390405415,1915,0.012810409865141455,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.001386666139835648,3e-14,0.03,3e-14,0.03,H1+H2,interior,13.488587813310318,423,423,423,2115,200,weighted_least_squares,False,13,sigma,3.625,4.0
0.001,0.0023713737056616554,0.004216965034285823,1e-06,1e-06,mosaic_flow_free_boundary,0.11089557774474447,7.782145806648734e-05,0.01218008373331652,8.120483223066221e-14,0.0812048322306622,6.100000039040541e-14,0.061000000390405415,1425,0.014173587174513636,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00224540418505497,3e-14,0.03,3e-14,0.03,H1+H2,periphery,25.70118855580493,313,313,313,1565,140,weighted_least_squares,False,14,sigma,3.375,3.625
0.001,0.0017782794100389228,0.0031622776601683794,4.216965034285822e-05,1e-06,mosaic_flow_free_boundary,0.390948385816251,0.00023693841564621275,0.016293133995017077,1.1336470156131074e-13,0.11336470156131073,6.100000039040541e-14,0.061000000390405415,1650,0.028286788075871244,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0048055819700207275,3e-14,0.03,3e-14,0.03,H1+H2,periphery,267.5177060234436,357,357,357,1785,135,weighted_least_squares,False,15,sigma,1.625,3.5
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.21836621476721757,0.0001149295867195882,0.017209160750141596,6.88496431384823e-14,0.0688496431384823,6.100000039040541e-14,0.061000000390405415,1900,0.014596780254866328,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0018067601054564224,3e-14,0.03,3e-14,0.03,H1+H2,interior,28.86663646589451,426,426,426,2130,230,weighted_least_squares,False,16,sigma,3.625,3.875
0.001,0.01,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.1704432405314447,0.0001267235989081373,0.020590032084889666,6.275031684882898e-14,0.06275031684882898,6.100000172585923e-14,0.061000001725859225,1345,0.011446279568255483,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0009476145280409384,3e-14,0.03,3e-14,0.03,H1+H2,interior,3.7130766942063436,306,306,306,1530,185,weighted_least_squares,False,17,sigma,4.0,5.0
0.001,0.07498942093324558,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.09523561653592084,0.0001253100217577906,0.02190143280336688,6.414258709615563e-14,0.06414258709615563,6.100000008665321e-14,0.061000000086653204,760,0.00858928118611575,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0004968699958600263,3e-14,0.03,3e-14,0.03,H1+H2,interior,1.1055211987063522,172,172,172,860,100,weighted_least_squares,False,18,sigma,4.875,5.0
0.001333521432163324,0.01,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.09783871996361042,0.00032612906654536805,0.010731652817613081,9.486866509344971e-14,0.09486866509344971,6.100000895493364e-14,0.061000008954933634,300,0.033476211397687736,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0008347201844129209,3e-14,0.03,3e-14,0.03,H1+H2,interior,18.85084275343032,79,79,79,395,95,weighted_least_squares,False,19,sigma,4.0,4.25
0.001,0.01,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.09835418539239042,0.000322472738991444,0.010678279831030361,9.486866509344971e-14,0.09486866509344971,6.100000895493364e-14,0.061000008954933634,305,0.03336135757660113,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0008230547518163578,3e-14,0.03,3e-14,0.03,H1+H2,interior,19.049977815332817,80,80,80,400,95,weighted_least_squares,False,20,sigma,4.0,4.25
