D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,391.17647161346395,491165.5901737485,491163.2224871646,-2.3676865838692702,391.17647161346395,bayes_h1_marginal_boundary,measured_graph,8.867785871371177e-86,interior,h1_z
1.2589254117941661e-05,390.5495100392727,491165.69104540965,491163.5359679517,-2.155077457963703,390.5495100392727,bayes_h1_marginal_boundary,measured_graph,1.2132719964784035e-85,interior,h1_z
1.584893192461114e-05,389.770643558586,491165.8778695241,491163.92540119204,-1.952468332058134,389.770643558586,bayes_h1_marginal_boundary,measured_graph,1.7909641026563914e-85,interior,h1_z
1.9952623149688786e-05,388.72757231781725,491166.2067960186,491164.4469368124,-1.7598592061525666,388.72757231781725,bayes_h1_marginal_boundary,measured_graph,3.0170806753586494e-85,interior,h1_z
2.5118864315095822e-05,387.2430963682709,491166.76642486744,491165.1891747872,-1.5772500802469966,387.2430963682709,bayes_h1_marginal_boundary,measured_graph,6.337774457295419e-85,interior,h1_z
3.1622776601683795e-05,385.0423122969223,491167.6942077772,491166.2895668229,-1.404640954341429,385.0423122969223,bayes_h1_marginal_boundary,measured_graph,1.9047192407452485e-84,interior,h1_z
3.9810717055349695e-05,381.7080831849016,491169.1987132073,491167.9566813789,-1.2420318284358616,381.7080831849016,bayes_h1_marginal_boundary,measured_graph,1.0089034828448562e-83,interior,h1_z
5.011872336272725e-05,376.62888410827145,491171.58570361976,491170.4962809172,-1.089422702530293,376.62888410827145,bayes_h1_marginal_boundary,measured_graph,1.2787442297617753e-82,interior,h1_z
6.309573444801929e-05,368.9496263144538,491175.28272339073,491174.3359098141,-0.9468135766247254,368.9496263144538,bayes_h1_marginal_boundary,measured_graph,5.947210759815987e-81,interior,h1_z
7.943282347242822e-05,357.56314181303605,491180.8433565155,491180.0291520648,-0.8142044507191568,357.56314181303605,bayes_h1_marginal_boundary,measured_graph,1.765456507661203e-78,interior,h1_z
0.0001,341.1816398371011,491188.9114983776,491188.2199030528,-0.6915953248135883,341.1816398371011,bayes_h1_marginal_boundary,measured_graph,6.368761416034192e-75,interior,h1_z
0.00012589254117941674,318.58759881940205,491200.09590976057,491199.51692356163,-0.5789861989080206,318.58759881940205,bayes_h1_marginal_boundary,measured_graph,5.132023646365565e-70,interior,h1_z
0.00015848931924611142,289.132197046536,491214.72100152104,491214.24462444807,-0.47637707300245236,289.132197046536,bayes_h1_marginal_boundary,measured_graph,1.2777558408422412e-63,interior,h1_z
0.00019952623149688788,253.41058099933434,491232.48920041876,491232.10543247167,-0.38376794709688455,253.41058099933434,bayes_h1_marginal_boundary,measured_graph,7.299586206390334e-56,interior,h1_z
0.0002511886431509582,213.55749497644138,491252.3331343043,491252.0319754831,-0.30115882119131615,213.55749497644138,bayes_h1_marginal_boundary,measured_graph,3.2906819962624273e-47,interior,h1_z
0.00031622776601683794,172.64007627987303,491272.7192345267,491272.4906848314,-0.22854969528574837,172.64007627987303,bayes_h1_marginal_boundary,measured_graph,2.525750757734599e-38,interior,h1_z
0.00039810717055349735,133.49137569742743,491292.230975692,491292.0650351226,-0.16594056938017995,133.49137569742743,bayes_h1_marginal_boundary,measured_graph,8.006133181154008e-30,interior,h1_z
0.0005011872336272725,97.82998580054846,491310.0090615145,491309.89573007106,-0.11333144347461188,97.82998580054846,bayes_h1_marginal_boundary,measured_graph,4.43808110775015e-22,interior,h1_z
0.000630957344480193,66.20573596737813,491325.7785773052,491325.70785498765,-0.07072231756904392,66.20573596737813,bayes_h1_marginal_boundary,measured_graph,3.2682391894770966e-15,interior,h1_z
0.0007943282347242822,38.845966395922005,491339.42585296504,491339.3877397734,-0.03811319166347554,38.845966395922005,bayes_h1_marginal_boundary,measured_graph,2.8537262415336773e-09,interior,h1_z
