D_hat,D_hi_lr3,D_lo_lr3,D_p025,D_p500,D_p975,ablation,chi2_h1_red_at_mode,harmonics,location,log_likelihood_at_mode,log_posterior_at_mode,log_prior_at_mode,max_neg2_delta_logpost,mode_at_grid_boundary,n_boundary,n_h1,n_obs,n_params_marginalized,objective,observation_source,sigma_h1_nL_s_at_mode,tile_id,weight_mode,width_decades_lr3
0.00039810717055349735,0.001584893192461114,0.00015848931924611142,0.00014480765311902183,0.00037221355009801416,0.0012302505652616578,bayes_h1_marginal_boundary,1.0000000553677937,H1,periphery,11023.657862404938,11023.491921835557,-0.16594056938017995,158.08926686751147,False,23,185,370,46,bayes_h1_marginal_boundary,measured_graph,0.05554699637318949,1,h1_z,1.0
0.0012589254117941675,0.0031622776601683794,0.0002511886431509582,0.0002686529629621092,0.0008667099204069385,0.002339893332276034,bayes_h1_marginal_boundary,1.0000000000018439,H1,periphery,18384.93017851762,18384.92728357777,-0.0028949398523394052,191.1393065176744,False,24,306,612,48,bayes_h1_marginal_boundary,measured_graph,0.05274299727587078,2,h1_z,1.0999999999999996
0.005011872336272725,0.00794328234724282,0.0031622776601683794,0.002724832674094917,0.004474648760755223,0.00693493019965546,bayes_h1_marginal_boundary,1.0000000000017066,H1,periphery,14471.78580890755,14471.648568723132,-0.13724018441893068,124.01762366166076,False,31,244,488,62,bayes_h1_marginal_boundary,measured_graph,0.06791239895451646,3,h1_z,0.4000000000000003
0.0031622776601683794,0.01584893192461114,0.00012589254117941674,0.0001664443929392559,0.001778014675827925,0.00909516860753672,bayes_h1_marginal_boundary,1.0000000000367535,H1,periphery,15453.53459138429,15453.48213294806,-0.05245843623006681,51.015078294462,False,28,262,524,56,bayes_h1_marginal_boundary,measured_graph,0.08641265307118419,4,h1_z,2.1
0.005011872336272725,0.00794328234724282,0.0019952623149688807,0.0010843631787222708,0.004038109902043987,0.007281172336044224,bayes_h1_marginal_boundary,1.0000000197962124,H1,periphery,11881.846234276643,11881.708994092225,-0.13724018441893068,92.25268057988069,False,28,201,402,56,bayes_h1_marginal_boundary,measured_graph,0.07560076438768074,5,h1_z,0.6000000000000001
0.0001,0.0007943282347242822,1e-05,1.0396615170965105e-05,7.365279800287604e-05,0.0005284572554672413,bayes_h1_marginal_boundary,1.0000000276810725,H1,periphery,10562.57967361281,10561.888078287997,-0.6915953248135883,217.86185810130337,False,27,175,350,54,bayes_h1_marginal_boundary,measured_graph,0.0329057504404352,6,h1_z,1.9000000000000004
0.00019952623149688788,0.0007943282347242822,7.943282347242822e-05,7.763754593305506e-05,0.0002095765727147164,0.0006887585316717717,bayes_h1_marginal_boundary,1.0000000023739697,H1,periphery,9801.349592020773,9800.965824073677,-0.38376794709688455,164.10879390316768,False,21,162,324,42,bayes_h1_marginal_boundary,measured_graph,0.03319664208835234,7,h1_z,1.0
0.0002511886431509582,0.001584893192461114,0.0001,9.689553256687073e-05,0.0002640911707917034,0.0014889906466730846,bayes_h1_marginal_boundary,1.0000000002400002,H1,periphery,11241.056598734034,11240.755439912842,-0.30115882119131615,113.4703683551852,False,27,187,374,54,bayes_h1_marginal_boundary,measured_graph,0.04276796727447112,8,h1_z,1.2000000000000002
0.0007943282347242822,0.0019952623149688807,0.00019952623149688788,0.00014156588948027862,0.0006227386618097829,0.0015947884725391807,bayes_h1_marginal_boundary,1.0000000008151633,H1,interior,17118.540738446376,17118.502625254714,-0.03811319166347554,98.83035412971367,False,51,293,586,102,bayes_h1_marginal_boundary,measured_graph,0.09943091967367244,9,h1_z,1.0000000000000004
0.01995262314968881,0.039810717055349734,0.012589254117941675,0.011287742405366214,0.019575812937592273,0.037573125515792304,bayes_h1_marginal_boundary,1.0000000001118292,H1,interior,11305.946362648938,11305.314777219952,-0.6315854289855218,146.8454339273885,False,29,205,410,58,bayes_h1_marginal_boundary,measured_graph,0.6725992604730554,10,h1_z,0.5
0.001,0.002511886431509582,0.00019952623149688788,0.00017471958547381468,0.0007895385788864145,0.002043231655678581,bayes_h1_marginal_boundary,1.0000000000460136,H1,interior,16662.283150150062,16662.267646084303,-0.015504065757907535,131.61258502486453,False,36,292,584,72,bayes_h1_marginal_boundary,measured_graph,0.23073915042253484,11,h1_z,1.1000000000000005
0.0005011872336272725,0.0007943282347242822,0.00019952623149688788,0.0001969508684320479,0.00039592408780181944,0.0007635843760018825,bayes_h1_marginal_boundary,1.0000000024583997,H1,interior,16613.530113649085,16613.41678220561,-0.11333144347461188,365.0598910053159,False,44,284,568,88,bayes_h1_marginal_boundary,measured_graph,0.08318408572638537,12,h1_z,0.6000000000000005
0.00039810717055349735,0.001,0.00015848931924611142,0.00014709343709856307,0.0003263602255306844,0.0007615155813608837,bayes_h1_marginal_boundary,1.0000000001078018,H1,interior,17871.369080266784,17871.203139697405,-0.16594056938017995,166.3814386041995,False,40,302,604,80,bayes_h1_marginal_boundary,measured_graph,0.06929785748625233,13,h1_z,0.7999999999999998
0.01995262314968881,0.025118864315095822,0.01584893192461114,0.012651059323982023,0.016599092023966488,0.023060380460860237,bayes_h1_marginal_boundary,1.0000000003776879,H1,periphery,13229.070333436788,13228.438748007802,-0.6315854289855218,141.442045525946,False,28,220,440,56,bayes_h1_marginal_boundary,measured_graph,0.04437661182096953,14,h1_z,0.2000000000000002
0.001584893192461114,0.03162277660168379,0.000630957344480193,0.0006792409152343745,0.0025053499754913574,0.022271211703018257,bayes_h1_marginal_boundary,1.0000000161382538,H1,periphery,13106.275297524013,13106.275011710066,-0.0002858139467712683,85.01163228153018,False,27,227,454,54,bayes_h1_marginal_boundary,measured_graph,0.16048032543430676,15,h1_z,1.7000000000000002
0.0007943282347242822,0.002511886431509582,0.0002511886431509582,0.00023096880016225033,0.0007540693766149054,0.0021830061886713137,bayes_h1_marginal_boundary,1.0000000013682524,H1,interior,17575.89780585189,17575.85969266023,-0.03811319166347554,318.9451739794822,False,46,305,610,92,bayes_h1_marginal_boundary,measured_graph,0.15073255832767235,16,h1_z,1.0
0.0019952623149688807,0.005011872336272725,0.00015848931924611142,7.499095513145251e-05,0.0014856547509523599,0.004009254602796745,bayes_h1_marginal_boundary,1.0000002896999878,H1,interior,11718.010476924877,11718.002800236836,-0.007676688041203171,74.05060355828391,False,37,210,420,74,bayes_h1_marginal_boundary,measured_graph,0.43271853573842955,17,h1_z,1.5
0.0019952623149688807,0.005011872336272725,0.00015848931924611142,6.040387253357889e-05,0.0013966577176919037,0.0037222857045149773,bayes_h1_marginal_boundary,1.000001226522822,H1,interior,6306.6842181529755,6306.676541464934,-0.007676688041203171,56.931615826964844,False,20,117,234,40,bayes_h1_marginal_boundary,measured_graph,1.2481423482756173,18,h1_z,1.5
0.000630957344480193,0.006309573444801936,1e-05,1.5259128900437545e-05,0.0003582213380227987,0.0038031063263042775,bayes_h1_marginal_boundary,1.0000006802189805,H1,interior,3172.078756976127,3172.008034658558,-0.07072231756904392,56.0414424082137,False,19,61,122,38,bayes_h1_marginal_boundary,measured_graph,3.1267606612083534,19,h1_z,2.8000000000000003
0.000630957344480193,0.006309573444801936,1e-05,1.5214219373584779e-05,0.0003546447993722002,0.0037567378262664914,bayes_h1_marginal_boundary,1.00000065753926,H1,interior,3230.094924359743,3230.024202042174,-0.07072231756904392,57.14199716618077,False,19,62,124,38,bayes_h1_marginal_boundary,measured_graph,3.0895342596058457,20,h1_z,2.8000000000000003
