D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
1e-05,1.0000002645696808,28.566401850002876,11011.576407494425,11009.208720910556,-2.3676865838692702,28.566401850002876,bayes_h1_marginal_boundary,measured_graph,1.0446038975273101e-07,0.058310267097760556,1,h1_z
1.2589254117941661e-05,1.0000000033054135,27.950229086054605,11011.671884750494,11009.51680729253,-2.155077457963703,27.950229086054605,bayes_h1_marginal_boundary,measured_graph,1.4215163444977008e-07,0.05826749458078234,1,h1_z
1.584893192461114e-05,1.0000000144763281,27.244660145759553,11011.822060094735,11009.869591762677,-1.952468332058134,27.244660145759553,bayes_h1_marginal_boundary,measured_graph,2.022852451945645e-07,0.05820127266630386,1,h1_z
1.9952623149688786e-05,1.0000000553526427,26.391830510150612,11012.055865786635,11010.296006580482,-1.7598592061525666,26.391830510150612,bayes_h1_marginal_boundary,measured_graph,3.0985164674514396e-07,0.05810039587376275,1,h1_z
2.5118864315095822e-05,1.0000001786021198,25.30941030060785,11012.4144667655,11010.837216685253,-1.5772500802469966,25.30941030060785,bayes_h1_marginal_boundary,measured_graph,5.323513633806925e-07,0.057950482206683585,1,h1_z
3.1622776601683795e-05,1.0000004641684679,23.888593918043625,11012.952265830876,11011.547624876535,-1.404640954341429,23.888593918043625,bayes_h1_marginal_boundary,measured_graph,1.0832400985771617e-06,0.05773602067802576,1,h1_z
3.9810717055349695e-05,1.0000009075775398,22.004058535483637,11013.731924396252,11012.489892567815,-1.2420318284358616,22.004058535483637,bayes_h1_marginal_boundary,measured_graph,2.7793701364182904e-06,0.05744645347356819,1,h1_z
5.011872336272725e-05,1.0000012168184198,19.549586569813982,11014.806551253181,11013.71712855065,-1.089422702530293,19.549586569813982,bayes_h1_marginal_boundary,measured_graph,9.482616831302028e-06,0.057087266639454286,1,h1_z
6.309573444801929e-05,1.000001007049014,16.508737208099774,11016.184366808133,11015.237553231507,-0.9468135766247254,16.508737208099774,bayes_h1_marginal_boundary,measured_graph,4.3375076245638266e-05,0.05669089816818636,1,h1_z
7.943282347242822e-05,1.0000004715079551,13.036248602358683,11017.788001985096,11016.973797534378,-0.8142044507191568,13.036248602358683,bayes_h1_marginal_boundary,measured_graph,0.0002461963280061309,0.056313260610244824,1,h1_z
0.0001,1.0000001206850235,9.4722965957626,11019.44736886249,11018.755773537676,-0.6915953248135883,9.4722965957626,bayes_h1_marginal_boundary,measured_graph,0.0014627965126646047,0.05600783655032205,1,h1_z
0.00012589254117941674,1.0000013860725046,6.22931672429695,11020.956249672317,11020.377263473409,-0.5789861989080206,6.22931672429695,bayes_h1_marginal_boundary,measured_graph,0.007402664174581428,0.05579746383182371,1,h1_z
0.00015848931924611142,1.0000002199751692,3.620636452058534,11022.15798068253,11021.681603609528,-0.47637707300245236,3.620636452058534,bayes_h1_marginal_boundary,measured_graph,0.027280716440947258,0.05567156889708741,1,h1_z
0.00019952623149688788,1.0000000265284505,1.7694425008521648,11022.990968532227,11022.607200585131,-0.38376794709688455,1.7694425008521648,bayes_h1_marginal_boundary,measured_graph,0.06883945612404045,0.055603967572152586,1,h1_z
0.0002511886431509582,1.0000000026232316,0.6347285128977092,11023.4757164003,11023.174557579108,-0.30115882119131615,0.6347285128977092,bayes_h1_marginal_boundary,measured_graph,0.12140524290374499,0.05557027581442678,1,h1_z
0.00031622776601683794,1.000000000226979,0.0915714662623941,11023.674685797712,11023.446136102426,-0.22854969528574837,0.0915714662623941,bayes_h1_marginal_boundary,measured_graph,0.15928779348560107,0.05555421887891183,1,h1_z
0.00039810717055349735,1.0000000553677937,-0.0,11023.657862404938,11023.491921835557,-0.16594056938017995,-0.0,bayes_h1_marginal_boundary,measured_graph,0.1667504396139444,0.05554699637318949,1,h1_z
0.0005011872336272725,1.0000000099296955,0.24234342506315443,11023.4840815665,11023.370750123026,-0.11333144347461188,0.24234342506315443,bayes_h1_marginal_boundary,measured_graph,0.14772118451851607,0.055544760962443394,1,h1_z
