D,chi2_h1_red,chi2_h2_red,delta_chi2,harmonics,log_likelihood,log_posterior,log_prior,n_h1,n_h2,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,sigma_h2_nL_s,tile_id,weight_mode
1e-05,1.0000002645696808,0.9999994416912007,35.406974410347175,H1+H2,22720.3678561068,22718.000169522933,-2.3676865838692702,185,190,35.406974410347175,bayes_h1h2_marginal_boundary,measured_graph,4.592171837583142e-09,0.058310267097760556,0.017128346998346866,1,h1:h1_z;h2:h2_z
1.2589254117941661e-05,1.0000000033054135,0.9999996855989565,31.5978920738562,H1+H2,22722.05978814914,22719.90471069118,-2.155077457963703,185,190,31.5978920738562,bayes_h1h2_marginal_boundary,measured_graph,3.084251969835808e-08,0.05826749458078234,0.017028789391073055,1,h1:h1_z;h2:h2_z
1.584893192461114e-05,1.0000000144763281,0.9999999065247723,27.787653010847862,H1+H2,22723.762298554742,22721.809830222683,-1.952468332058134,185,190,27.787653010847862,bayes_h1h2_marginal_boundary,measured_graph,2.0726823571996803e-07,0.05820127266630386,0.01695411654469137,1,h1:h1_z;h2:h2_z
1.9952623149688786e-05,1.0000000553526427,0.9999983459854691,24.293469896321767,H1+H2,22725.316780986097,22723.556921779946,-1.7598592061525666,185,190,24.293469896321767,bayes_h1h2_marginal_boundary,measured_graph,1.189282349340882e-06,0.05810039587376275,0.016906313021941892,1,h1:h1_z;h2:h2_z
2.5118864315095822e-05,1.0000001786021198,0.9999996958746526,21.257215537239972,H1+H2,22726.652299039735,22725.075048959487,-1.5772500802469966,185,190,21.257215537239972,bayes_h1h2_marginal_boundary,measured_graph,5.427492478547147e-06,0.057950482206683585,0.016879650196743586,1,h1:h1_z;h2:h2_z
3.1622776601683795e-05,1.0000004641684679,0.9999999592217026,18.608327445101168,H1+H2,22727.804133959897,22726.399493005556,-1.404640954341429,185,190,18.608327445101168,bayes_h1h2_marginal_boundary,measured_graph,2.0407883719525586e-05,0.05773602067802576,0.016866502598929592,1,h1:h1_z;h2:h2_z
3.9810717055349695e-05,1.0000009075775398,0.9999999957011381,16.132789811985276,H1+H2,22728.87929365055,22727.637261822114,-1.2420318284358616,185,190,16.132789811985276,bayes_h1h2_marginal_boundary,measured_graph,7.036458619477473e-05,0.05744645347356819,0.016860822842604407,1,h1:h1_z;h2:h2_z
5.011872336272725e-05,1.0000012168184198,0.9999999996194915,13.586359314547735,H1+H2,22729.999899773364,22728.910477070833,-1.089422702530293,185,190,13.586359314547735,bayes_h1h2_marginal_boundary,measured_graph,0.0002513648195735414,0.057087266639454286,0.016858932249929078,1,h1:h1_z;h2:h2_z
6.309573444801929e-05,1.000001007049014,0.9999999999703502,10.818035356671317,H1+H2,22731.241452626396,22730.29463904977,-0.9468135766247254,185,190,10.818035356671317,bayes_h1h2_marginal_boundary,measured_graph,0.0010033175391594596,0.05669089816818636,0.016858931182964977,1,h1:h1_z;h2:h2_z
7.943282347242822e-05,1.0000004715079551,0.999999999998009,7.8742105408528005,H1+H2,22732.5807559084,22731.76655145768,-0.8142044507191568,185,190,7.8742105408528005,bayes_h1h2_marginal_boundary,measured_graph,0.004372016989022563,0.056313260610244824,0.016859957332321835,1,h1:h1_z;h2:h2_z
