D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,6075542.506916668,12801.218664306216,ordinary_least_squares,measured_graph,all,constant_average_sigma
1.333521432163324e-06,6075541.749675258,12800.461422896013,ordinary_least_squares,measured_graph,all,constant_average_sigma
1.778279410038923e-06,6075540.739754268,12799.451501905918,ordinary_least_squares,measured_graph,all,constant_average_sigma
2.3713737056616552e-06,6075539.392778483,12798.10452612117,ordinary_least_squares,measured_graph,all,constant_average_sigma
3.162277660168379e-06,6075537.596104185,12796.307851823047,ordinary_least_squares,measured_graph,all,constant_average_sigma
4.216965034285822e-06,6075535.199415288,12793.911162925884,ordinary_least_squares,measured_graph,all,constant_average_sigma
5.623413251903491e-06,6075532.002013307,12790.713760945015,ordinary_least_squares,measured_graph,all,constant_average_sigma
7.498942093324558e-06,6075527.735762987,12786.447510625236,ordinary_least_squares,measured_graph,all,constant_average_sigma
1e-05,6075522.042291765,12780.754039403051,ordinary_least_squares,measured_graph,all,constant_average_sigma
1.333521432163324e-05,6075514.442256185,12773.154003823176,ordinary_least_squares,measured_graph,all,constant_average_sigma
1.778279410038923e-05,6075504.293893614,12763.005641251802,ordinary_least_squares,measured_graph,all,constant_average_sigma
2.3713737056616554e-05,6075490.736948597,12749.448696235195,ordinary_least_squares,measured_graph,all,constant_average_sigma
3.1622776601683795e-05,6075472.616503539,12731.328251176514,ordinary_least_squares,measured_graph,all,constant_average_sigma
4.216965034285822e-05,6075448.37913308,12707.090880718082,ordinary_least_squares,measured_graph,all,constant_average_sigma
5.623413251903491e-05,6075415.930749734,12674.642497371882,ordinary_least_squares,measured_graph,all,constant_average_sigma
7.498942093324559e-05,6075372.441614256,12631.15336189419,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0001,6075314.079445317,12572.791192955337,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0001333521432163324,6075235.648720981,12494.360468618572,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.00017782794100389227,6075130.120251292,12388.831998930313,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.00023713737056616554,6074988.070523669,12246.782271306962,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.00031622776601683794,6074797.161805277,12055.873552914709,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.00042169650342858224,6074542.055134615,11800.76688225288,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0005623413251903491,6074205.551928057,11464.263675695285,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0007498942093324559,6073771.816931169,11030.528678806499,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.001,6073230.943076803,10489.654824441299,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.001333521432163324,6072580.819594922,9839.531342559494,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0017782794100389228,6071822.415535348,9081.127282985486,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0023713737056616554,6070951.027023214,8209.738770851865,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.0031622776601683794,6069947.005139386,7205.716887024231,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.004216965034285823,6068764.899400012,6023.611147649586,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.005623413251903491,6067340.425111336,4599.136858973652,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.007498942093324558,6065666.759705377,2925.471453014761,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.01,6063947.554257985,1206.2660056231543,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.01333521432163324,6062741.288252362,0.0,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.01778279410038923,6062994.178317888,252.89006552565843,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.023713737056616554,6065865.5256595975,3124.2374072354287,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.03162277660168379,6072300.552887894,9559.264635532163,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.042169650342858224,6082558.967660498,19817.679408135824,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.05623413251903491,6096123.643462959,33382.355210596696,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.07498942093324558,6112109.2484476715,49367.96019530948,ordinary_least_squares,measured_graph,all,constant_average_sigma
0.1,6129821.457230531,67080.16897816863,ordinary_least_squares,measured_graph,all,constant_average_sigma
