D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,164242927.05141455,68896.13534593582,weighted_least_squares,measured_graph,all,sigma
1.333521432163324e-06,164242896.22505376,68865.3089851439,weighted_least_squares,measured_graph,all,sigma
1.778279410038923e-06,164242855.12553015,68824.20946153998,weighted_least_squares,measured_graph,all,sigma
2.3713737056616552e-06,164242800.33453265,68769.4184640348,weighted_least_squares,measured_graph,all,sigma
3.162277660168379e-06,164242727.29695815,68696.38088953495,weighted_least_squares,measured_graph,all,sigma
4.216965034285822e-06,164242629.94792244,68599.03185382485,weighted_least_squares,measured_graph,all,sigma
5.623413251903491e-06,164242500.2191856,68469.30311697721,weighted_least_squares,measured_graph,all,sigma
7.498942093324558e-06,164242327.37791282,68296.46184420586,weighted_least_squares,measured_graph,all,sigma
1e-05,164242097.16586983,68066.24980121851,weighted_least_squares,measured_graph,all,sigma
1.333521432163324e-05,164241790.6643142,67759.74824559689,weighted_least_squares,measured_graph,all,sigma
1.778279410038923e-05,164241382.8118169,67351.89574828744,weighted_least_squares,measured_graph,all,sigma
2.3713737056616554e-05,164240840.490544,66809.5744753778,weighted_least_squares,measured_graph,all,sigma
3.1622776601683795e-05,164240120.0725251,66089.15645650029,weighted_least_squares,measured_graph,all,sigma
4.216965034285822e-05,164239164.3407736,65133.42470499873,weighted_least_squares,measured_graph,all,sigma
5.623413251903491e-05,164237898.7209978,63867.804929196835,weighted_least_squares,measured_graph,all,sigma
7.498942093324559e-05,164236226.87702307,62195.96095445752,weighted_least_squares,measured_graph,all,sigma
0.0001,164234025.9743836,59995.05831497908,weighted_least_squares,measured_graph,all,sigma
0.0001333521432163324,164231142.48364857,57111.56757995486,weighted_least_squares,measured_graph,all,sigma
0.00017782794100389227,164227390.58331642,53359.66724780202,weighted_least_squares,measured_graph,all,sigma
0.00023713737056616554,164222557.71202308,48526.795954465866,weighted_least_squares,measured_graph,all,sigma
0.00031622776601683794,164216426.88349938,42395.9674307704,weighted_least_squares,measured_graph,all,sigma
0.00042169650342858224,164208835.1776336,34804.26156499982,weighted_least_squares,measured_graph,all,sigma
0.0005623413251903491,164199804.5033322,25773.587263584137,weighted_least_squares,measured_graph,all,sigma
0.0007498942093324559,164189802.19958907,15771.283520460129,weighted_least_squares,measured_graph,all,sigma
0.001,164180203.72053725,6172.804468631744,weighted_least_squares,measured_graph,all,sigma
0.001333521432163324,164174030.9160686,0.0,weighted_least_squares,measured_graph,all,sigma
0.0017782794100389228,164177051.62700748,3020.710938870907,weighted_least_squares,measured_graph,all,sigma
0.0023713737056616554,164199321.4480813,25290.532012701035,weighted_least_squares,measured_graph,all,sigma
0.0031622776601683794,164257110.1815062,83079.2654375732,weighted_least_squares,measured_graph,all,sigma
0.004216965034285823,164375180.2207129,201149.30464428663,weighted_least_squares,measured_graph,all,sigma
0.005623413251903491,164590058.31434375,416027.39827513695,weighted_least_squares,measured_graph,all,sigma
0.007498942093324558,164953732.23394814,779701.3178795278,weighted_least_squares,measured_graph,all,sigma
0.01,165529996.79506966,1355965.8790010512,weighted_least_squares,measured_graph,all,sigma
0.01333521432163324,166375193.31555763,2201162.3994890153,weighted_least_squares,measured_graph,all,sigma
0.01778279410038923,167521484.5004232,3347453.5843545794,weighted_least_squares,measured_graph,all,sigma
0.023713737056616554,168993939.27748817,4819908.3614195585,weighted_least_squares,measured_graph,all,sigma
0.03162277660168379,170840533.21142775,6666502.295359135,weighted_least_squares,measured_graph,all,sigma
0.042169650342858224,173117825.27521238,8943794.359143764,weighted_least_squares,measured_graph,all,sigma
0.05623413251903491,175831681.37501678,11657650.458948165,weighted_least_squares,measured_graph,all,sigma
0.07498942093324558,178889028.24817285,14714997.332104236,weighted_least_squares,measured_graph,all,sigma
0.1,182103480.32927126,17929449.413202643,weighted_least_squares,measured_graph,all,sigma
