D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,134282511.6087096,134694.4529313445,weighted_least_squares,measured_graph,interior,sigma
1.333521432163324e-06,134282497.63498738,134680.47920912504,weighted_least_squares,measured_graph,interior,sigma
1.778279410038923e-06,134282478.99734578,134661.84156751633,weighted_least_squares,measured_graph,interior,sigma
2.3713737056616552e-06,134282454.1370472,134636.98126894236,weighted_least_squares,measured_graph,interior,sigma
3.162277660168379e-06,134282420.97408757,134603.8183093071,weighted_least_squares,measured_graph,interior,sigma
4.216965034285822e-06,134282376.72917777,134559.57339951396,weighted_least_squares,measured_graph,interior,sigma
5.623413251903491e-06,134282317.69222912,134500.53645086288,weighted_least_squares,measured_graph,interior,sigma
7.498942093324558e-06,134282238.90032,134421.74454173446,weighted_least_squares,measured_graph,interior,sigma
1e-05,134282133.71474728,134316.55896902084,weighted_least_squares,measured_graph,interior,sigma
1.333521432163324e-05,134281993.24384338,134176.0880651176,weighted_least_squares,measured_graph,interior,sigma
1.778279410038923e-05,134281805.56113055,133988.40535229445,weighted_least_squares,measured_graph,interior,sigma
2.3713737056616554e-05,134281554.64327303,133737.4874947667,weighted_least_squares,measured_graph,interior,sigma
3.1622776601683795e-05,134281218.90826538,133401.752487123,weighted_least_squares,measured_graph,interior,sigma
4.216965034285822e-05,134280769.20426136,132952.0484831035,weighted_least_squares,measured_graph,interior,sigma
5.623413251903491e-05,134280166.00860113,132348.85282287002,weighted_least_squares,measured_graph,interior,sigma
7.498942093324559e-05,134279355.50166732,131538.3458890617,weighted_least_squares,measured_graph,interior,sigma
0.0001,134278264.02517444,130446.86939617991,weighted_least_squares,measured_graph,interior,sigma
0.0001333521432163324,134276790.24305764,128973.08727937937,weighted_least_squares,measured_graph,interior,sigma
0.00017782794100389227,134274794.13152146,126976.97574320436,weighted_least_squares,measured_graph,interior,sigma
0.00023713737056616554,134272081.9315497,124264.77577143908,weighted_least_squares,measured_graph,interior,sigma
0.00031622776601683794,134268386.90656137,120569.75078311563,weighted_least_squares,measured_graph,interior,sigma
0.00042169650342858224,134263348.17747375,115531.02169549465,weighted_least_squares,measured_graph,interior,sigma
0.0005623413251903491,134256494.9130487,108677.75727045536,weighted_least_squares,measured_graph,interior,sigma
0.0007498942093324559,134247248.52035424,99431.3645759821,weighted_least_squares,measured_graph,interior,sigma
0.001,134234955.23256007,87138.07678180933,weighted_least_squares,measured_graph,interior,sigma
0.001333521432163324,134218972.60575882,71155.44998055696,weighted_least_squares,measured_graph,interior,sigma
0.0017782794100389228,134198947.20311594,51130.047337681055,weighted_least_squares,measured_graph,interior,sigma
0.0023713737056616554,134175744.78250538,27927.626727119088,weighted_least_squares,measured_graph,interior,sigma
0.0031622776601683794,134154012.81862834,6195.662850081921,weighted_least_squares,measured_graph,interior,sigma
0.004216965034285823,134147817.15577826,0.0,weighted_least_squares,measured_graph,interior,sigma
0.005623413251903491,134189671.87940127,41854.723623007536,weighted_least_squares,measured_graph,interior,sigma
0.007498942093324558,134337109.48061225,189292.32483398914,weighted_least_squares,measured_graph,interior,sigma
0.01,134662269.17293128,514452.0171530247,weighted_least_squares,measured_graph,interior,sigma
0.01333521432163324,135218907.80303708,1071090.6472588181,weighted_least_squares,measured_graph,interior,sigma
0.01778279410038923,136016369.8559932,1868552.7002149522,weighted_least_squares,measured_graph,interior,sigma
0.023713737056616554,137038174.28269592,2890357.1269176602,weighted_least_squares,measured_graph,interior,sigma
0.03162277660168379,138284030.0890421,4136212.9332638383,weighted_least_squares,measured_graph,interior,sigma
0.042169650342858224,139775472.62626714,5627655.470488876,weighted_least_squares,measured_graph,interior,sigma
0.05623413251903491,141515950.39616036,7368133.240382105,weighted_least_squares,measured_graph,interior,sigma
0.07498942093324558,143453120.77426678,9305303.61848852,weighted_least_squares,measured_graph,interior,sigma
0.1,145482548.7868938,11334731.631115556,weighted_least_squares,measured_graph,interior,sigma
