D,chi2,delta_chi2,objective,observation_source,tile_group,weight_mode
1e-06,29960415.44270499,17861.76347015053,weighted_least_squares,measured_graph,periphery,sigma
1.333521432163324e-06,29960398.590066344,17844.91083150357,weighted_least_squares,measured_graph,periphery,sigma
1.778279410038923e-06,29960376.128184356,17822.44894951582,weighted_least_squares,measured_graph,periphery,sigma
2.3713737056616552e-06,29960346.197485425,17792.518250584602,weighted_least_squares,measured_graph,periphery,sigma
3.162277660168379e-06,29960306.322870556,17752.64363571629,weighted_least_squares,measured_graph,periphery,sigma
4.216965034285822e-06,29960253.21874469,17699.539509851485,weighted_least_squares,measured_graph,periphery,sigma
5.623413251903491e-06,29960182.52695649,17628.847721651196,weighted_least_squares,measured_graph,periphery,sigma
7.498942093324558e-06,29960088.47759276,17534.79835791886,weighted_least_squares,measured_graph,periphery,sigma
1e-05,29959963.451122575,17409.771887734532,weighted_least_squares,measured_graph,periphery,sigma
1.333521432163324e-05,29959797.42047078,17243.74123594165,weighted_least_squares,measured_graph,periphery,sigma
1.778279410038923e-05,29959577.25068639,17023.571451548487,weighted_least_squares,measured_graph,periphery,sigma
2.3713737056616554e-05,29959285.847270995,16732.168036155403,weighted_least_squares,measured_graph,periphery,sigma
3.1622776601683795e-05,29958901.16425974,16347.485024899244,weighted_least_squares,measured_graph,periphery,sigma
4.216965034285822e-05,29958395.136512212,15841.45727737248,weighted_least_squares,measured_graph,periphery,sigma
5.623413251903491e-05,29957732.71239665,15179.03316181153,weighted_least_squares,measured_graph,periphery,sigma
7.498942093324559e-05,29956871.375355713,14317.696120873094,weighted_least_squares,measured_graph,periphery,sigma
0.0001,29955761.949209083,13208.269974242896,weighted_least_squares,measured_graph,periphery,sigma
0.0001333521432163324,29954352.240590915,11798.561356075108,weighted_least_squares,measured_graph,periphery,sigma
0.00017782794100389227,29952596.45179489,10042.772560048848,weighted_least_squares,measured_graph,periphery,sigma
0.00023713737056616554,29950475.78047341,7922.101238571107,weighted_least_squares,measured_graph,periphery,sigma
0.00031622776601683794,29948039.97693801,5486.297703169286,weighted_least_squares,measured_graph,periphery,sigma
0.00042169650342858224,29945487.00015982,2933.3209249787033,weighted_least_squares,measured_graph,periphery,sigma
0.0005623413251903491,29943309.59028346,755.9110486209393,weighted_least_squares,measured_graph,periphery,sigma
0.0007498942093324559,29942553.67923484,0.0,weighted_least_squares,measured_graph,periphery,sigma
0.001,29945248.48797718,2694.808742340654,weighted_least_squares,measured_graph,periphery,sigma
0.001333521432163324,29955058.310309816,12504.631074976176,weighted_least_squares,measured_graph,periphery,sigma
0.0017782794100389228,29978104.423891485,35550.74465664476,weighted_least_squares,measured_graph,periphery,sigma
0.0023713737056616554,30023576.665575888,81022.98634104803,weighted_least_squares,measured_graph,periphery,sigma
0.0031622776601683794,30103097.362877846,160543.6836430058,weighted_least_squares,measured_graph,periphery,sigma
0.004216965034285823,30227363.064934626,284809.38569978625,weighted_least_squares,measured_graph,periphery,sigma
0.005623413251903491,30400386.43494247,457832.755707629,weighted_least_squares,measured_graph,periphery,sigma
0.007498942093324558,30616622.753335875,674069.0741010346,weighted_least_squares,measured_graph,periphery,sigma
0.01,30867727.622138333,925173.9429034926,weighted_least_squares,measured_graph,periphery,sigma
0.01333521432163324,31156285.51252053,1213731.8332856894,weighted_least_squares,measured_graph,periphery,sigma
0.01778279410038923,31505114.64442996,1562560.9651951194,weighted_least_squares,measured_graph,periphery,sigma
0.023713737056616554,31955764.994792253,2013211.3155574128,weighted_least_squares,measured_graph,periphery,sigma
0.03162277660168379,32556503.12238565,2613949.443150811,weighted_least_squares,measured_graph,periphery,sigma
0.042169650342858224,33342352.64894523,3399798.969710391,weighted_least_squares,measured_graph,periphery,sigma
0.05623413251903491,34315730.97885643,4373177.2996215895,weighted_least_squares,measured_graph,periphery,sigma
0.07498942093324558,35435907.473906055,5493353.794671215,weighted_least_squares,measured_graph,periphery,sigma
0.1,36620931.54237743,6678377.863142587,weighted_least_squares,measured_graph,periphery,sigma
