D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0023713737056616554,0.0023713737056616554,measured_flow_free_boundary,3623.1182558209334,7.928048699826988,0.7133887624370627,2.4618282922168153e-13,0.24618282922168153,6.10003471737225e-14,0.061000347173722505,457,4.358902905450232,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,1108.5663102045332,202,185,0,572,115,weighted_least_squares,measured_graph,False,1,sigma,0.12499999999999999,0.12499999999999999
0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,measured_flow_free_boundary,6315.553922778808,7.618279762097476,0.4269587208546952,2.4240236698906224e-13,0.24240236698906223,6.100003888261715e-14,0.061000038882617146,829,4.520855934859534,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,1285.8807728791726,337,306,0,949,120,weighted_least_squares,measured_graph,False,2,sigma,0.0,0.0
0.007498942093324558,0.007498942093324558,0.007498942093324558,0.007498942093324558,0.007498942093324558,measured_flow_free_boundary,7213.502191024682,12.12353309415913,0.49549644283575,2.4240236698906224e-13,0.24240236698906223,6.10000971679431e-14,0.06100009716794311,595,5.412864703404164,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,1767.7902614438817,262,244,0,750,155,weighted_least_squares,measured_graph,False,3,sigma,0.0,0.0
0.023713737056616554,0.023713737056616554,0.023713737056616554,0.023713737056616554,0.023713737056616554,measured_flow_free_boundary,11609.953511363665,17.27671653476736,0.5223848486732353,1.6089271424506338e-13,0.16089271424506338,6.100000208355837e-14,0.06100000208355837,672,6.63420025184224,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,1710.0755372264193,288,262,0,812,140,weighted_least_squares,measured_graph,False,4,sigma,0.0,0.0
0.005623413251903491,0.005623413251903491,0.005623413251903491,0.005623413251903491,0.005623413251903491,measured_flow_free_boundary,6139.436462416642,12.817195119867728,0.554554497720108,1.6089271424506338e-13,0.16089271424506338,6.100000308243764e-14,0.061000003082437644,479,5.4961211020788445,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,1287.2045474586712,217,201,0,619,140,weighted_least_squares,measured_graph,False,5,sigma,0.0,0.0
1e-06,0.00023713737056616554,0.0007498942093324559,1e-06,1e-06,measured_flow_free_boundary,881.3738402784273,2.214507136377958,0.5482713758349039,2.5212445174036553e-13,0.2521244517403655,6.100011312759212e-14,0.06100011312759212,398,2.172628401961335,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,800.9427564404986,183,175,0,533,135,weighted_least_squares,measured_graph,False,6,sigma,2.375,2.875
1e-06,7.498942093324559e-05,0.00023713737056616554,1e-06,1e-06,measured_flow_free_boundary,1141.89449495265,2.927934602442692,0.6882626319613476,2.5212445174036553e-13,0.2521244517403655,6.100010711762986e-14,0.061000107117629855,390,2.5516143745232642,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,800.8188478340483,171,162,0,495,105,weighted_least_squares,measured_graph,False,7,sigma,1.875,2.375
1e-06,4.216965034285822e-05,0.0001333521432163324,1e-06,1e-06,measured_flow_free_boundary,4118.730430962845,9.382073874630628,0.831207345674552,1.0895633366229116e-12,1.0895633366229116,6.100010711762986e-14,0.061000107117629855,439,4.612533522764927,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,783.0675585799017,200,187,0,574,135,weighted_least_squares,measured_graph,False,8,sigma,1.625,2.125
0.001333521432163324,0.001333521432163324,0.001333521432163324,0.001,0.0007498942093324559,measured_flow_free_boundary,14039.461177112094,21.665835149864343,0.676462545175815,2.5384856371729417e-13,0.2538485637172942,6.100091534475301e-14,0.061000915344753014,648,6.885417836458457,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,2476.361530040198,317,293,0,903,255,weighted_least_squares,measured_graph,False,9,sigma,0.12499999999999999,0.25
0.042169650342858224,0.042169650342858224,0.042169650342858224,0.042169650342858224,0.042169650342858224,measured_flow_free_boundary,570723.6903103634,1181.6225472264252,0.8578422971152195,3.4723469743028504e-12,3.4723469743028503,6.100000308243764e-14,0.061000003082437644,483,52.75628087811652,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,153593.60962480726,218,205,0,628,145,weighted_least_squares,measured_graph,False,10,sigma,0.0,0.0
