plot_label,run_name,selection_category,selection_rank_within_regime,selection_score,selection_score_formula,selection_score_regime,lambda_q,lambda_k,lambda_delta,flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,delta_rms
F1,q_100__k_0p1__delta_10,flow_prioritized,1,0.2824391109747539,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,10.0,0.1159846540161382,0.781802481850601,0.4890488194090815
F2,q_100__k_0p1__delta_0p1,flow_prioritized,2,0.2839702258237935,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,0.1,0.1249763033300383,0.7609519933050592,0.479777260179016
F3,q_100__k_0p1__delta_1,flow_prioritized,3,0.2876833845603974,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,1.0,0.1451883588303383,0.7151684617505747,0.4447037807861886
F4,q_10__k_0p1__delta_1,flow_prioritized,4,0.298253538387918,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,10.0,0.1,1.0,0.184348714390871,0.6399680103790589,0.364738653626218
B1,q_0p1__k_0p1__delta_0p1,balanced,1,0.3580832798311658,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,0.1,0.1,0.1,0.3520443847839936,0.364122174878338,0.4351088180353145
B2,q_0p1__k_1__delta_1,balanced,2,0.3582934821866976,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,0.1,1.0,1.0,0.3502625971773597,0.3663243671960355,0.429022765964424
B3,q_1__k_0p1__delta_1,balanced,3,0.3584624802679182,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1.0,0.1,1.0,0.3389435030998675,0.377981457435969,0.3953994411751576
B4,q_100__k_100__delta_10,balanced,4,0.3589106701635687,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,100.0,100.0,10.0,0.3537934243558871,0.3640279159712503,0.4293807550203126
K1,q_0p1__k_10__delta_1,conservation_prioritized,1,0.3594453084465923,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,10.0,1.0,0.3528489522777848,0.3616440938361948,0.4307531479954685
K2,q_0p1__k_1__delta_0p1,conservation_prioritized,2,0.3604258894917495,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,1.0,0.1,0.3528368851086048,0.3629555576194644,0.428347807562088
K3,q_0p1__k_100__delta_10,conservation_prioritized,3,0.3624821552462927,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,100.0,10.0,0.3523955324979493,0.3658443628290738,0.4191034802125619
K4,q_1__k_100__delta_10,conservation_prioritized,4,0.3637415856025136,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1.0,100.0,10.0,0.3526568261460246,0.3674365054213432,0.4271943735132127
C1,q_1__k_1__delta_10,correction_regularized,1,0.35746108655269,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1.0,1.0,10.0,0.350945231999362,0.3639769411060181,0.4198068527890209
C2,q_1__k_0p1__delta_10,correction_regularized,2,0.357608422579036,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1.0,0.1,10.0,0.3510787444353919,0.3641381007226801,0.419437289146483
C3,q_0p1__k_10__delta_100,correction_regularized,3,0.3578051058766375,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,10.0,100.0,0.3541856298673329,0.3614245818859422,0.4272459618326213
C4,q_1__k_10__delta_100,correction_regularized,4,0.3584192126166727,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1.0,10.0,100.0,0.352808337208762,0.3640300880245836,0.4355633193116109
