run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_0p1__k_0p1__delta_0p1,gnn,0.1,0.1,100.0,0.1,2,balanced,0.3520443847839936,0.10048034678659515,10.374316774271948,0.364122174878338,0.0791287590801202,0.2729813133894345,14.458497767100287,10.730234453370205,-2.2655723094940186,9.709362030029297,1.9827906901547279,8.486369609832764,-0.015175706706941128,0.02962207794189453,0.030351413413882256,nan,nan,0.02998908956410058,0.030351413413882256,0.036802737872438235,0.43354958426595114,0.4171927294900249,0.4351088180353145,-0.4971774220466614,0.49799925088882446,0.18745146691799164,1.134747146375247,1.170903205871582,0.6082450747489929,1.6454259157180786,0.6095085084438324,1.6439372777938843,True,True,428.29875566500414,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_0p1__delta_0p1,2,11.974934339523315,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9904813384980105,0.005951183429261026,0.7443487997308231,0.25208372219644837,0.49821626096363575,0.49821626096363575,0.3580832798311658,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,1,4,True,1,balanced,B1
q_0p1__k_0p1__delta_1,gnn,0.1,0.1,100.0,1.0,2,correction_regularized,0.34402458329995167,0.0988117173760767,10.13798304858768,0.37772355233637583,0.08104218545115591,0.2787918062640421,15.095280928023591,11.131050385721194,-2.256030559539795,9.974732398986816,2.0280894212430027,8.712157249450684,-0.01672455295920372,0.032505035400390625,0.03344910591840744,nan,nan,0.0329804305270249,0.03344910591840744,0.006398499660777407,0.439997293270753,0.42594825618719134,0.4400438147315567,-0.4891658425331116,0.49123677611351013,0.0,1.1053407655163643,1.0265158414840698,0.6131376028060913,1.634336233139038,0.6141814053058624,1.6307599067687988,True,True,428.2414150590048,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_0p1__delta_1,2,12.230762958526611,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9429889537192457,0.05505237905811396,0.7210048100539629,0.2770365227233969,0.49902066638867987,0.49902066638867987,0.3608740678181638,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,2,False,True,2,5,False,nan,correction_regularized,
q_0p1__k_0p1__delta_10,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.3049929482107391,0.09250065199582495,8.987768575257185,0.4448140316304434,0.09434517173530037,0.32046291076510985,17.32480131577674,13.108124626406642,-2.174628257751465,8.36308765411377,1.3199694971511717,7.17993688583374,-0.019046524539589882,0.037903785705566406,0.038093049079179764,nan,nan,0.037998555482921414,0.038093049079179764,0.06493487888489984,0.35852421672188095,0.34822888971568955,0.36435717705547693,-0.45071732997894287,0.4615236520767212,0.0,1.1336025120975401,1.2891607284545898,0.6371709108352661,1.5864894390106201,0.6449904203414917,1.5384116172790527,True,True,427.3949159750482,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_0p1__delta_10,2,10.537715911865234,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.7118478917004681,0.2972501093111457,0.6081984461031376,0.4008995549084763,0.5045490005058069,0.5045490005058069,0.37490348992059125,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,2,False,True,1,0,False,nan,correction_regularized,
q_0p1__k_0p1__delta_100,gnn,0.1,0.1,100.0,100.0,2,correction_regularized,0.3041243876520646,0.0876378740223162,8.962173159557382,0.43266962571228074,0.0904369769022529,0.30239992638864865,17.04150709436192,12.750243860583131,-2.4547247886657715,8.398681640625,1.0960796287248604,6.868367910385132,-0.02200358174741268,0.046595096588134766,0.04400716349482536,nan,nan,0.04531943145912732,0.046594761312007904,-0.010702658067066132,0.21291789156794214,0.18840488448236725,0.21318671496938696,-0.38915008306503296,0.3696308135986328,0.0,1.0114919991481377,1.0304052829742432,0.6776325106620789,1.4472002983093262,0.6988582670688629,1.3160715699195862,True,True,426.2000917320256,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_0p1__delta_100,2,10.853406429290771,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.7067043713354931,0.2534086048294424,0.5933804297089804,0.3667325464559551,0.48005648808246776,0.48005648808246776,0.3683970066821727,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1,True,False,0,1,False,nan,correction_regularized,
q_0p1__k_100__delta_0p1,gnn,0.1,100.0,100.0,0.1,2,conservation_prioritized,0.34833199255900943,0.0992091744672977,10.264917122986612,0.36986069184385295,0.0796342627103483,0.27433963710769493,14.817468432792857,10.899341518808315,-2.15710711479187,10.027609825134277,2.101195147088628,8.7908616065979,-0.015161005780100822,0.02940082550048828,0.030322011560201645,nan,nan,0.029865246318107382,0.030322011560201645,0.018954376881504226,0.43207559557822595,0.41723174210981595,0.4324911429119056,-0.48933595418930054,0.49148938059806824,0.0,1.1150257087842448,1.0940287113189697,0.6130333542823792,1.634749174118042,0.6156306445598603,1.6306384325027465,True,True,428.11813358600193,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_100__delta_0p1,2,12.184716939926147,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9684969589158636,0.02666732376229243,0.7330395501274708,0.26212473255068525,0.497582141339078,0.497582141339078,0.36447851702264206,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,1,False,nan,conservation_prioritized,
q_0p1__k_100__delta_1,gnn,0.1,100.0,100.0,1.0,2,conservation_prioritized,0.34935482360263526,0.09969355617473971,10.295058700900556,0.3685727019129689,0.07957742277240813,0.2758820664863597,14.743281248619233,10.861386033299684,-2.1925649642944336,9.988096237182617,2.0732458854944906,8.738065242767334,-0.015005833469331264,0.029067039489746094,0.03001166693866253,nan,nan,0.029543110052404523,0.03001166693866253,0.02217177076853331,0.4420059566292382,0.427937539713346,0.4425616941339838,-0.4930114150047302,0.4948936104774475,0.0,1.1228680433203555,1.1194038391113281,0.6107842922210693,1.6403237581253052,0.6118782579898834,1.6387081384658813,True,True,425.4882118770038,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_100__delta_1,2,12.18066120147705,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9745540521723741,0.022017658994187932,0.7364199538778275,0.26015175728873446,0.49828585558328103,0.49828585558328103,0.36376823233538547,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,2,False,nan,conservation_prioritized,
q_0p1__k_100__delta_10,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.3523955324979493,0.10191517996937231,10.38466466725531,0.3658443628290738,0.08006420455104264,0.2810960381019294,14.559456071316923,10.780985222642466,-2.5144402980804443,8.916924476623535,1.574506364448856,7.606712818145752,-0.01683664880692959,0.032469749450683594,0.03367329761385918,nan,nan,0.03307682036956931,0.03367329761385918,0.05489256355563296,0.4154931209930817,0.4010466221437855,0.41910348021256194,-0.4773482382297516,0.4896203875541687,0.0,1.1466446415869638,1.227845549583435,0.6204264163970947,1.6316967010498047,0.6225635945796967,1.6282749056816102,True,True,427.1352889109985,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_100__delta_10,2,11.43136477470398,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9925607967462666,0.012168310168050261,0.7474626751017126,0.25726643181260433,0.5023645534571585,0.5023645534571585,0.3624821552462927,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,3,False,True,3,2,True,3,conservation_prioritized,K3
q_0p1__k_100__delta_100,gnn,0.1,100.0,100.0,100.0,2,balanced,0.35246346924297145,0.10369894500940145,10.386666679910348,0.3685985129030208,0.08126467925129702,0.28458280247308304,14.641154608141527,10.862146651558716,-2.7585883140563965,8.379328727722168,1.2955228165033255,7.034426689147949,-0.01769917458295822,0.03362751007080078,0.03539834916591644,nan,nan,0.03452426958797895,0.03539834916591644,0.06798179236873005,0.4268233049358008,0.4160963267225686,0.43220325974012136,-0.4812386631965637,0.49612927436828613,0.03183723986148834,1.166305392883379,1.3116620779037476,0.6180174350738525,1.6423518657684326,0.6199616312980651,1.6400429010391235,True,True,426.0237320790038,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_100__delta_100,2,11.137917041778564,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9929631106990033,0.02211083709146684,0.7502500422971192,0.26482390549335094,0.5075369738952351,0.5075369738952351,0.36053099107299613,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,5,False,True,8,0,False,nan,balanced,
q_0p1__k_10__delta_0p1,gnn,0.1,10.0,100.0,0.1,2,conservation_prioritized,0.346235584854918,0.098441013156058,10.20313855599253,0.37211597921167455,0.07985311633536114,0.2727193064476844,14.891183772181016,10.965802074869027,-2.1649906635284424,10.292488098144531,2.166073839752768,9.03108024597168,-0.01609133742749691,0.03151512145996094,0.03218267485499382,nan,nan,0.03185040239564097,0.03218267485499382,-0.003439361496070161,0.42321127126473856,0.4071113541157126,0.4232252465685609,-0.48953336477279663,0.4824751913547516,0.0,1.0871211967680798,1.0141829252243042,0.6129122972488403,1.6200793981552124,0.6146605432033538,1.6097354412078857,True,True,428.9391451429983,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_10__delta_0p1,2,12.457478761672974,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9560822624256835,0.03480894813734777,0.7257639338535996,0.2651272767094317,0.49544560528151566,0.49544560528151566,0.3656458806224854,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,3,False,nan,conservation_prioritized,
q_0p1__k_10__delta_1,gnn,0.1,10.0,100.0,1.0,2,conservation_prioritized,0.35284895227778484,0.10002878437525281,10.398026392739501,0.36164409383619484,0.07825802029553627,0.2701212273607468,14.465213749037531,10.657208440643755,-2.2714269161224365,10.102349281311035,2.053636011337962,8.819420337677002,-0.01643325947225094,0.03204059600830078,0.03286651894450188,nan,nan,0.03245623173284869,0.03286651894450188,-0.0006646658570838997,0.4307526351948449,0.41455463464972375,0.4307531479954685,-0.4919396638870239,0.48345452547073364,0.0,1.0933615926593556,1.0223087072372437,0.6114392876625061,1.6216669082641602,0.6118736565113068,1.6196384191513062,True,True,428.70697071599716,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_10__delta_1,2,12.373776197433472,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9952458989514897,0.0,0.7464344242136173,0.24881147473787243,0.49762294947574487,0.49762294947574487,0.35944530844659234,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,3,True,1,conservation_prioritized,K1
