run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_range_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,selected_representative,selection_rank_within_regime,selection_category,plot_label
poiseuille__q_0p1__k_0p1,poiseuille_baseline,0.1,0.1,100.0,nan,0,,0.6964723263347776,0.17333726683113257,20.524186296408182,0.0008137723317866895,0.000664575352363029,0.0015616438869688564,0.0034018101005659374,0.02398087376758778,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361491,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.542892593999568,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_0p1__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_1,poiseuille_baseline,0.1,1.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660388,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.4873948090244085,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_0p1__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_10,poiseuille_baseline,0.1,10.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317872547,0.0006645753523652953,0.0015616438869688564,0.0034018101005659374,0.023980873767604435,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927359346,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.9025178370065987,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_0p1__k_10,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_100,poiseuille_baseline,0.1,100.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361491,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.8580066739814356,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_0p1__k_100,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_0p1,poiseuille_baseline,100.0,0.1,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361491,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.8417761250020703,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_100__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_1,poiseuille_baseline,100.0,1.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.0229963939927984,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_100__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_10,poiseuille_baseline,100.0,10.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361491,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.454793440992944,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_100__k_10,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_100,poiseuille_baseline,100.0,100.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660388,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.8797534340119455,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_100__k_100,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_10__k_0p1,poiseuille_baseline,10.0,0.1,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927361488,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.0615094890818,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_10__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_10__k_1,poiseuille_baseline,10.0,1.0,100.0,nan,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,2.3373010754585266,-0.6596852927359346,-2.1856627464294434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,2.56972562300507,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/poiseuille/poiseuille__q_10__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
