run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_100__k_0p1__delta_10,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.11598465401613826,0.04231620446329377,3.4179256756390117,0.781802481850601,0.13624811615717317,0.39625236821156173,29.016180083663023,23.038761452214754,-1.1216508150100708,8.133770942687988,1.9187695595949414,7.207152366638184,-0.020139949396252632,0.05086517333984375,0.040279898792505264,nan,nan,0.04587865165023806,0.05086483433842659,0.008974800765508443,0.4889664617503262,0.48540098311414337,0.48904881940908157,-0.49998921155929565,0.49999719858169556,0.8283894658088684,1.1315300923027705,1.2048386335372925,0.6065372228622437,1.6487165689468384,0.6065486669540405,1.6487089395523071,True,True,416.7777587849996,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_100__k_0p1__delta_10,2,9.255421757698059,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.0,1.0,0.25,0.75,0.5,0.5,0.28243911097475394,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,1,flow_prioritized,F1
q_100__k_0p1__delta_0p1,gnn,100.0,0.1,100.0,0.1,2,flow_prioritized,0.12497630333003833,0.04396393920855874,3.6828985663806155,0.7609519933050592,0.13346195304192285,0.388798692405653,28.208249971961585,22.424323096089573,-1.2442606687545776,8.042614936828613,1.886412914303495,7.038665294647217,-0.016099443659186363,0.04410552978515625,0.032198887318372726,nan,nan,0.03861411547377908,0.04410591349005699,0.03755323431690141,0.47830531460273484,0.47342892434288686,0.47977726017901606,-0.49997806549072266,0.49999192357063293,0.7091162800788879,1.1568926359615186,1.4934911727905273,0.606544017791748,1.6487079858779907,0.6065712451934815,1.6486930847167969,True,True,401.8532969460066,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_100__k_0p1__delta_0p1,2,9.286875605583191,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.0,1.0,0.25,0.75,0.5,0.5,0.28397022582379355,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,2,flow_prioritized,F2
q_100__k_0p1__delta_1,gnn,100.0,0.1,100.0,1.0,2,flow_prioritized,0.14518835883033834,0.04871700943503166,4.278523082726578,0.7151684617505747,0.12641091461192563,0.37197549998969265,26.89314222703576,21.075138504826935,-1.238532543182373,7.9118218421936035,1.8775571506793085,7.377868890762329,-0.02124102972447872,0.06542539596557617,0.04248205944895744,nan,nan,0.05515977755068564,0.06542535126209259,-0.04846549400050618,0.4420549157478234,0.431095312182349,0.44470378078618866,-0.49729129672050476,0.49543297290802,0.058704767376184464,1.050425512299328,0.7637561559677124,0.6081757545471191,1.6412086486816406,0.6094936966896057,1.6350642681121825,True,True,264.91300761200546,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_100__k_0p1__delta_1,2,9.150354385375977,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.0,1.0,0.25,0.75,0.5,0.5,0.28768338456039744,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,3,flow_prioritized,F3
q_10__k_0p1__delta_1,gnn,10.0,0.1,100.0,1.0,2,flow_prioritized,0.184348714390871,0.05921641770700619,5.432530790667611,0.6399680103790589,0.11773556002022173,0.35518787753650516,24.415967511681735,18.859073321526193,-1.9266033172607422,7.094481945037842,1.4133254910158417,6.112384796142578,-0.015159053727984428,0.05121421813964844,0.030318107455968857,nan,nan,0.04208368092168833,0.05121411010622978,0.09975763284882547,0.35083144120426757,0.3306382820587177,0.364738653626218,-0.4886623024940491,0.49656981229782104,0.03789408132433891,1.1713795608977275,1.1821943521499634,0.6134464740753174,1.6430754661560059,0.6297898888587952,1.6399871349334716,True,True,315.1949085149972,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_10__k_0p1__delta_1,2,9.021085262298584,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.0,1.0,0.25,0.75,0.5,0.5,0.298253538387918,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,4,flow_prioritized,F4
q_0p1__k_0p1__delta_0p1,gnn,0.1,0.1,100.0,0.1,2,balanced,0.3520443847839936,0.10048034678659515,10.374316774271948,0.364122174878338,0.0791287590801202,0.2729813133894345,14.458497767100287,10.730234453370205,-2.2655723094940186,9.709362030029297,1.9827906901547279,8.486369609832764,-0.015175706706941128,0.02962207794189453,0.030351413413882256,nan,nan,0.02998908956410058,0.030351413413882256,0.036802737872438235,0.43354958426595114,0.4171927294900249,0.4351088180353145,-0.4971774220466614,0.49799925088882446,0.18745146691799164,1.134747146375247,1.170903205871582,0.6082450747489929,1.6454259157180786,0.6095085084438324,1.6439372777938843,True,True,428.29875566500414,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_0p1__delta_0p1,2,11.974934339523315,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9904813384980105,0.005951183429261026,0.7443487997308231,0.25208372219644837,0.49821626096363575,0.49821626096363575,0.3580832798311658,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,1,4,True,1,balanced,B1
q_0p1__k_1__delta_1,gnn,0.1,1.0,100.0,1.0,2,balanced,0.35026259717735975,0.09972001275357388,10.321809676148417,0.36632436719603556,0.07919119956995523,0.2742136866965702,14.628137243177797,10.795130363343832,-2.2603073120117188,9.940272331237793,2.0269346354282667,8.698253154754639,-0.015979237854480743,0.031159400939941406,0.03195847570896149,nan,nan,0.03156125130725395,0.03195847570896149,0.006624616175420402,0.4289716169821627,0.4132980509779976,0.42902276596442407,-0.4889194071292877,0.4859694242477417,0.0,1.1004386856552606,1.0470339059829712,0.6132887601852417,1.6257503032684326,0.6146873891353607,1.6202249765396117,True,True,427.7836324250093,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_1__delta_1,2,12.200579643249512,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.979929787717524,0.013901133802833334,0.7384226242388514,0.255408297281506,0.4969154607601787,0.4969154607601787,0.35829348218669765,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,5,True,2,balanced,B2
q_1__k_0p1__delta_1,gnn,1.0,0.1,100.0,1.0,2,balanced,0.3389435030998675,0.09579705807602018,9.988249839283695,0.37798145743596906,0.08091201408130934,0.28244089738446093,14.965575653724805,11.138650533079096,-2.2786476612091064,9.2806396484375,1.8131757280396512,8.070328712463379,-0.01707316003739834,0.03402137756347656,0.03414632007479668,nan,nan,0.03408405102363873,0.03414632007479668,0.042174022064114434,0.3931438285723958,0.3739425865072478,0.39539944117515763,-0.46635839343070984,0.4803765118122101,0.0,1.1238788774265676,1.0648497343063354,0.627282440662384,1.616683006286621,0.6320505619049073,1.6077528119087219,True,True,426.14346678699803,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_1__k_0p1__delta_1,2,11.559287309646606,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9128993540658961,0.0559834206962035,0.6986703707234729,0.2702124040386266,0.4844413873810498,0.4844413873810498,0.35846248026791827,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,7,True,3,balanced,B3
q_100__k_100__delta_10,gnn,100.0,100.0,100.0,10.0,2,balanced,0.3537934243558871,0.10271804585231589,10.425858827927183,0.3640279159712503,0.07998401359502924,0.27920233670614836,14.43624299962698,10.727456758843067,-2.5630156993865967,8.859225273132324,1.5320665477663609,7.543731927871704,-0.017192017287015915,0.03288412094116211,0.03438403457403183,nan,nan,0.03364237312466881,0.03438403457403183,0.048955225776328826,0.4265808465590089,0.41227501320624566,0.4293807550203126,-0.4842544198036194,0.49389687180519104,0.0,1.145046428709153,1.2165851593017578,0.6161563992500305,1.6386895179748535,0.6172781348228454,1.636935567855835,True,True,423.7035550950095,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_100__k_100__delta_10,2,11.422240972518921,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,1.0,0.0056109072292251415,0.7514027268073062,0.25420818042191884,0.5028054536146126,0.5028054536146126,0.3589106701635687,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,3,0,True,4,balanced,B4
q_0p1__k_10__delta_1,gnn,0.1,10.0,100.0,1.0,2,conservation_prioritized,0.35284895227778484,0.10002878437525281,10.398026392739501,0.36164409383619484,0.07825802029553627,0.2701212273607468,14.465213749037531,10.657208440643755,-2.2714269161224365,10.102349281311035,2.053636011337962,8.819420337677002,-0.01643325947225094,0.03204059600830078,0.03286651894450188,nan,nan,0.03245623173284869,0.03286651894450188,-0.0006646658570838997,0.4307526351948449,0.41455463464972375,0.4307531479954685,-0.4919396638870239,0.48345452547073364,0.0,1.0933615926593556,1.0223087072372437,0.6114392876625061,1.6216669082641602,0.6118736565113068,1.6196384191513062,True,True,428.70697071599716,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_10__delta_1,2,12.373776197433472,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9952458989514897,0.0,0.7464344242136173,0.24881147473787243,0.49762294947574487,0.49762294947574487,0.35944530844659234,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,3,True,1,conservation_prioritized,K1
q_0p1__k_1__delta_0p1,gnn,0.1,1.0,100.0,0.1,2,conservation_prioritized,0.3528368851086048,0.1003169908849024,10.397670788045735,0.36295555761946446,0.07864375939566343,0.2709535083821915,14.52362188847367,10.695855671827324,-2.259276866912842,9.730232238769531,1.966413462466626,8.4778733253479,-0.015580142848193645,0.03039836883544922,0.03116028569638729,nan,nan,0.030781703197196454,0.03116028569638729,0.030599642407990253,0.42725344484011957,0.4119985699113358,0.42834780756208807,-0.48298361897468567,0.49261149764060974,0.0,1.1255004493729968,1.1392337083816528,0.6169399619102478,1.6365845203399658,0.6186812698841095,1.6336723208427428,True,True,427.63957705401117,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/physics_weight_sweep_step2p5/gnn/q_0p1__k_1__delta_0p1,2,11.989509105682373,0.18478675505229109,0.3536517535441718,0.3624736550998128,0.6394807072467342,0.9951744384991293,0.001739675997115385,0.7468157478736258,0.25009836662261886,0.49845705724812234,0.49845705724812234,0.36042588949174953,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,1,True,2,conservation_prioritized,K2
