representative_label,constraint_left,constraint_right,delta_pearson
B1,equal_av,equal_drop,0.9699903841315907
B1,equal_av,fixed_drop_10pa,0.9936512828745756
B1,equal_av,gauge_only,0.9795720993633262
B1,equal_drop,fixed_drop_10pa,0.9601522167536567
B1,equal_drop,gauge_only,0.9570701832373548
B1,fixed_drop_10pa,gauge_only,0.9841962171206399
K3,equal_av,equal_drop,0.9316252544548144
K3,equal_av,fixed_drop_10pa,0.9905607183894723
K3,equal_av,gauge_only,0.983282810101751
K3,equal_drop,fixed_drop_10pa,0.9225961841229363
K3,equal_drop,gauge_only,0.9144096052328293
K3,fixed_drop_10pa,gauge_only,0.9936129981706207
K1,equal_av,equal_drop,0.9899886491933937
K1,equal_av,fixed_drop_10pa,0.9982894010335174
K1,equal_av,gauge_only,0.9636219718186305
K1,equal_drop,fixed_drop_10pa,0.9912364475478326
K1,equal_drop,gauge_only,0.9844357915868114
K1,fixed_drop_10pa,gauge_only,0.966251568466232
C3,equal_av,equal_drop,0.9226546967107273
C3,equal_av,fixed_drop_10pa,0.9806431762790846
C3,equal_av,gauge_only,0.9806689063488164
C3,equal_drop,fixed_drop_10pa,0.9066141193295976
C3,equal_drop,gauge_only,0.9340777910007851
C3,fixed_drop_10pa,gauge_only,0.9795805596196384
K2,equal_av,equal_drop,0.9798974971913188
K2,equal_av,fixed_drop_10pa,0.9848457179916057
K2,equal_av,gauge_only,0.9825617842277815
K2,equal_drop,fixed_drop_10pa,0.9849434675687112
K2,equal_drop,gauge_only,0.9936346934216526
K2,fixed_drop_10pa,gauge_only,0.9905996326604392
B2,equal_av,equal_drop,0.992503775039667
B2,equal_av,fixed_drop_10pa,0.992270847785643
B2,equal_av,gauge_only,0.9886431262882952
B2,equal_drop,fixed_drop_10pa,0.9961478418799776
B2,equal_drop,gauge_only,0.9759260033180496
B2,fixed_drop_10pa,gauge_only,0.9758599498115041
F2,equal_av,equal_drop,0.6589962807213269
F2,equal_av,fixed_drop_10pa,0.7442344295655852
F2,equal_av,gauge_only,0.7449864005276593
F2,equal_drop,fixed_drop_10pa,0.646043213679694
F2,equal_drop,gauge_only,0.7967199770989383
F2,fixed_drop_10pa,gauge_only,0.8245996287527719
F3,equal_av,equal_drop,0.8392997572023332
F3,equal_av,fixed_drop_10pa,0.8647542008674969
F3,equal_av,gauge_only,0.8171136474022969
F3,equal_drop,fixed_drop_10pa,0.8940242228488956
F3,equal_drop,gauge_only,0.8697985649230378
F3,fixed_drop_10pa,gauge_only,0.8086671669534644
F1,equal_av,equal_drop,0.5944742976793922
F1,equal_av,fixed_drop_10pa,0.7321011787216882
F1,equal_av,gauge_only,0.6422857730630539
F1,equal_drop,fixed_drop_10pa,0.7021100341699128
F1,equal_drop,gauge_only,0.9481046292077597
F1,fixed_drop_10pa,gauge_only,0.6819425522449483
B4,equal_av,equal_drop,0.9984109732054425
B4,equal_av,fixed_drop_10pa,0.9855184926083151
B4,equal_av,gauge_only,0.9446320019766129
B4,equal_drop,fixed_drop_10pa,0.9817235243788113
B4,equal_drop,gauge_only,0.9442840696284716
B4,fixed_drop_10pa,gauge_only,0.9203030135654515
F4,equal_av,equal_drop,0.2202483360939104
F4,equal_av,fixed_drop_10pa,0.13148482452026392
F4,equal_av,gauge_only,0.14172079258362041
F4,equal_drop,fixed_drop_10pa,0.8026704975024218
F4,equal_drop,gauge_only,0.8611213637182915
F4,fixed_drop_10pa,gauge_only,0.7234595879161264
B3,equal_av,equal_drop,0.990381032666724
B3,equal_av,fixed_drop_10pa,0.9407572303292258
B3,equal_av,gauge_only,0.510716437608878
B3,equal_drop,fixed_drop_10pa,0.9516634253299463
B3,equal_drop,gauge_only,0.5170894454490155
B3,fixed_drop_10pa,gauge_only,0.4934922463121695
C2,equal_av,equal_drop,0.9486306739669095
C2,equal_av,fixed_drop_10pa,0.9575555894953691
C2,equal_av,gauge_only,0.67645126802437
C2,equal_drop,fixed_drop_10pa,0.9469826471271763
C2,equal_drop,gauge_only,0.7024255868633745
C2,fixed_drop_10pa,gauge_only,0.6648428263848465
K4,equal_av,equal_drop,0.9695776672225261
K4,equal_av,fixed_drop_10pa,0.9810128894780842
K4,equal_av,gauge_only,0.9909222968472235
K4,equal_drop,fixed_drop_10pa,0.9865206399560333
K4,equal_drop,gauge_only,0.9822501073439026
K4,fixed_drop_10pa,gauge_only,0.994138732963306
C4,equal_av,equal_drop,0.998337802634434
C4,equal_av,fixed_drop_10pa,0.994339865771984
C4,equal_av,gauge_only,0.9972547172985243
C4,equal_drop,fixed_drop_10pa,0.9924704400115303
C4,equal_drop,gauge_only,0.9953028925792705
C4,fixed_drop_10pa,gauge_only,0.9919892154007488
C1,equal_av,equal_drop,0.996009672095269
C1,equal_av,fixed_drop_10pa,0.9914163649959549
C1,equal_av,gauge_only,0.994970698127513
C1,equal_drop,fixed_drop_10pa,0.9917700348774019
C1,equal_drop,gauge_only,0.996240384424618
C1,fixed_drop_10pa,gauge_only,0.9899120657767987
