parent_step2_run_name,representative_label,constraint_left,constraint_right,delta_pearson,delta_spearman,delta_rmse,delta_mae,conductance_ratio_pearson,hotspot_jaccard_top5,hotspot_jaccard_top10
q_0p1__k_0p1__delta_0p1,B1,equal_av,equal_drop,0.9699903841315907,0.9728937982445823,0.1133264148571106,0.04741507436351252,0.9725614078421534,0.27524752475247527,0.4138309549945115
q_0p1__k_0p1__delta_0p1,B1,equal_av,fixed_drop_10pa,0.9936512828745756,0.9865463301657671,0.05397852099778215,0.027034149336708564,0.9935038752468612,0.0304,0.09897610921501707
q_0p1__k_0p1__delta_0p1,B1,equal_av,gauge_only,0.9795720993633262,0.9761900255127883,0.09023024417656737,0.03927117456139508,0.9825197529108088,0.44719101123595506,0.5555555555555556
q_0p1__k_0p1__delta_0p1,B1,equal_drop,fixed_drop_10pa,0.9601522167536567,0.9671805838627539,0.13071199808708978,0.05472965196176465,0.9623307535285468,0.00782472613458529,0.15102770330652368
q_0p1__k_0p1__delta_0p1,B1,equal_drop,gauge_only,0.9570701832373548,0.9600038593065641,0.13446857753135447,0.06171193284650015,0.9625912735015564,0.40305010893246185,0.48216340621403914
q_0p1__k_0p1__delta_0p1,B1,fixed_drop_10pa,gauge_only,0.9841962171206399,0.9831694837599176,0.07885763341842467,0.04101670014523438,0.9849119587173647,0.04038772213247173,0.14590747330960854
q_0p1__k_100__delta_10,K3,equal_av,equal_drop,0.9316252544548144,0.9332677361568804,0.1988156666123505,0.1541718415177717,0.9358386400447716,0.3089430894308943,0.5480769230769231
q_0p1__k_100__delta_10,K3,equal_av,fixed_drop_10pa,0.9905607183894723,0.9811718817630813,0.06357248303909865,0.029845018394343725,0.9909521238596001,0.06622516556291391,0.1959145775301764
q_0p1__k_100__delta_10,K3,equal_av,gauge_only,0.983282810101751,0.9673971421283293,0.08206202593910208,0.0387457361265923,0.983187131232418,0.012578616352201259,0.20938967136150236
q_0p1__k_100__delta_10,K3,equal_drop,fixed_drop_10pa,0.9225961841229363,0.9094289136050089,0.19146345791351468,0.14922531346530163,0.9258057768376726,0.07872696817420435,0.16984559491371481
q_0p1__k_100__delta_10,K3,equal_drop,gauge_only,0.9144096052328293,0.8965463216645667,0.20476820689899372,0.16190355763868758,0.9183806901071198,0.08053691275167785,0.2116650987770461
q_0p1__k_100__delta_10,K3,fixed_drop_10pa,gauge_only,0.9936129981706207,0.9893905566435566,0.04905211566779376,0.02862239593516232,0.994166289212935,0.2702169625246548,0.39092872570194387
q_0p1__k_10__delta_1,K1,equal_av,equal_drop,0.9899886491933937,0.9813120910042014,0.0713180105195662,0.03875270442548132,0.9890522979663884,0.0,0.0
q_0p1__k_10__delta_1,K1,equal_av,fixed_drop_10pa,0.9982894010335174,0.9743186491391531,0.027633255283873392,0.019882916398820293,0.9978356343588575,0.7595628415300546,0.84
q_0p1__k_10__delta_1,K1,equal_av,gauge_only,0.9636219718186305,0.9886522006503755,0.1324097926404939,0.06423090590370907,0.9651089190153596,0.0,0.0046801872074883
q_0p1__k_10__delta_1,K1,equal_drop,fixed_drop_10pa,0.9912364475478326,0.9872864425418579,0.06697450241845981,0.03803260108949104,0.9905284457134594,0.0,0.0
q_0p1__k_10__delta_1,K1,equal_drop,gauge_only,0.9844357915868114,0.9862501329310994,0.08000572416114397,0.037511879189719904,0.9851472208011599,0.11611785095320624,0.3333333333333333
q_0p1__k_10__delta_1,K1,fixed_drop_10pa,gauge_only,0.966251568466232,0.9800072261793019,0.12697001352646903,0.06619500395152869,0.9671824406666137,0.0,0.0046801872074883
q_0p1__k_10__delta_100,C3,equal_av,equal_drop,0.9226546967107273,0.9134078108522495,0.1731487108713328,0.10567197735297251,0.9233279683083276,0.022222222222222223,0.1709090909090909
q_0p1__k_10__delta_100,C3,equal_av,fixed_drop_10pa,0.9806431762790846,0.9884872363937537,0.09283907544683645,0.04310799009016063,0.9825713350191446,0.21509433962264152,0.3673036093418259
