plot_label,run_name,selection_category,selection_rank_within_regime,lambda_q,lambda_k,lambda_delta,marker,regime_color_name
B1,q_0p1__k_0p1__delta_0p1,balanced,1.0,0.1,0.1,0.1,o,Balanced
B2,q_0p1__k_1__delta_1,balanced,2.0,0.1,1.0,1.0,s,Balanced
B3,q_1__k_0p1__delta_1,balanced,3.0,1.0,0.1,1.0,^,Balanced
B4,q_100__k_100__delta_10,balanced,4.0,100.0,100.0,10.0,p,Balanced
K1,q_0p1__k_10__delta_1,conservation_prioritized,1.0,0.1,10.0,1.0,o,Conservation-prioritized
K2,q_0p1__k_1__delta_0p1,conservation_prioritized,2.0,0.1,1.0,0.1,s,Conservation-prioritized
K3,q_0p1__k_100__delta_10,conservation_prioritized,3.0,0.1,100.0,10.0,^,Conservation-prioritized
K4,q_1__k_100__delta_10,conservation_prioritized,4.0,1.0,100.0,10.0,p,Conservation-prioritized
C1,q_1__k_1__delta_10,correction_regularized,1.0,1.0,1.0,10.0,o,Correction-regularized
C2,q_1__k_0p1__delta_10,correction_regularized,2.0,1.0,0.1,10.0,s,Correction-regularized
C3,q_0p1__k_10__delta_100,correction_regularized,3.0,0.1,10.0,100.0,^,Correction-regularized
C4,q_1__k_10__delta_100,correction_regularized,4.0,1.0,10.0,100.0,p,Correction-regularized
F1,q_100__k_0p1__delta_10,flow_prioritized,1.0,100.0,0.1,10.0,o,Flow-prioritized
F2,q_100__k_0p1__delta_0p1,flow_prioritized,2.0,100.0,0.1,0.1,s,Flow-prioritized
F3,q_100__k_0p1__delta_1,flow_prioritized,3.0,100.0,0.1,1.0,^,Flow-prioritized
F4,q_10__k_0p1__delta_1,flow_prioritized,4.0,10.0,0.1,1.0,p,Flow-prioritized
