run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,parent_step2_run_name,representative_label,selection_category,selection_rank_within_regime,pressure_constraint_type,alpha_pa,constraint_description,pressure_constraint_display,gauge_node_id,arterial_node_ids,venous_node_ids,number_of_constraint_equations,gauge_residual_pa,equal_drop_residual_pa,fixed_drop_residual_pa,av_drop_1_pa,av_drop_2_pa,mean_av_drop_pa
q_0p1__k_0p1__delta_0p1__constraint_equal_av,gnn,0.1,0.1,100.0,0.1,2,balanced,0.35323264396751847,0.10017994646891296,10.409333316823504,0.36169968952458237,0.07832317441893057,0.27320558738507683,14.44886398027645,10.65884677747725,-2.187825918197632,10.022944450378418,2.0957656658553305,8.783209800720215,-0.015345877967774868,0.0298614501953125,0.030691755935549736,0.0298614501953125,0.0306917559355497,0.03027922056671548,0.030691755935549736,0.01947342753144206,0.44541143140740547,0.43036150805417683,0.44583691817548915,-0.49723562598228455,0.49857810139656067,0.2821866571903229,1.1217543270429073,1.0880261659622192,0.6082096695899963,1.6463786363601685,0.6091815114021302,1.6456779003143311,True,True,588.8962333569652,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_0p1__delta_0p1__constraint_equal_av,2.0,12.21077036857605,q_0p1__k_0p1__delta_0p1,B1,balanced,1.0,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,,,2.0,0.0,0.000830305740237236,,8.798140525817871,8.798970831558108,8.79855567868799
q_0p1__k_0p1__delta_0p1__constraint_equal_drop,gnn,0.1,0.1,100.0,0.1,2,balanced,0.34169591881479466,0.09960466051943553,10.069360158764175,0.3716938557920275,0.07995379113023975,0.26290264995391976,14.974164269654366,10.953362614782355,-6.150753974914551,9.412867546081543,-0.6591067850214302,6.636865496635437,-2.638313055038452,5.274547815322876,5.276626110076904,5.274547815322878,5.276626110076904,0.0020779522601515055,0.0020779522601515055,0.05079455914954246,0.42050211493456846,0.40703665188192806,0.42355886946638704,-0.4849940836429596,0.48815014958381653,0.0,1.144045340800104,1.2483066320419312,0.6157008409500122,1.6292994022369385,0.6176694333553314,1.6244901299476624,True,True,601.776344834012,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_0p1__delta_0p1__constraint_equal_drop,1.0,15.563621520996094,q_0p1__k_0p1__delta_0p1,B1,balanced,1.0,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,,,1.0,0.0,0.002078294754026544,,9.274139404296877,9.276217699050903,9.27517855167389
q_0p1__k_0p1__delta_0p1__constraint_fixed_drop_10pa,gnn,0.1,0.1,100.0,0.1,2,balanced,0.3418933014180156,0.0993144785344789,10.075176782292488,0.3712771520501044,0.07964155534251081,0.26451582487959174,14.897839906158339,10.941082865959244,-1.658090591430664,13.776626586914062,2.349202430148299,10.002674341201782,-0.00818544439971447,7.113448619842529,0.01637088879942894,7.113448619842531,0.0163708887994289,0.011729416574110186,0.01637088879942894,0.001735921290282475,0.43320297032116295,0.41862809553862984,0.43320644837976036,-0.4898494482040405,0.48879215121269226,0.0,1.0971204252379303,1.0225082635879517,0.6127186417579651,1.6303458213806152,0.6141907274723053,1.622556698322296,True,True,583.5487970979884,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_0p1__delta_0p1__constraint_fixed_drop_10pa,2.0,15.434717178344727,q_0p1__k_0p1__delta_0p1,B1,balanced,1.0,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,,,2.0,0.0,7.097077731043102,0.0026743412017822266,13.559398651123049,6.4623209200799465,10.010859785601497
q_0p1__k_0p1__delta_0p1__constraint_gauge_only,gnn,0.1,0.1,100.0,0.1,2,balanced,0.3205369052003814,0.09454638018840807,9.445829946794618,0.404542259060502,0.08487211206042802,0.2714329249645793,15.917505161167078,11.921364820655569,-7.051191329956055,8.847182273864746,-0.9752954606429726,6.655141592025757,-3.2049007415771484,3.974255084991455,6.409801483154297,3.974255084991455,6.409801483154297,,0.0,0.01044190769919316,0.4424183340146268,0.42745454088325224,0.4425415412237356,-0.4953855574131012,0.49708667397499084,0.0767199844121933,1.1107596544157479,1.0426828861236572,0.6093359589576721,1.6439250707626343,0.6109040379524231,1.641347086429596,True,True,603.108205070952,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_0p1__delta_0p1__constraint_gauge_only,0.0,15.8983736038208,q_0p1__k_0p1__delta_0p1,B1,balanced,1.0,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,,,0.0,0.0,2.435546398162842,,8.642269134521484,11.077815532684326,9.860042333602905
q_0p1__k_100__delta_10__constraint_equal_av,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.34559254932903966,0.09936400264564539,10.184189086746866,0.37469302786097275,0.08096718703369653,0.28177031427502,14.896582231638256,11.041744541745564,-2.2922232151031494,9.661970138549805,1.9076318052616266,8.406407356262207,-0.016019776463508606,0.031101226806640625,0.03203955292701721,0.031101226806640625,0.0320395529270172,0.03157389009345115,0.03203955292701721,0.027069940164303117,0.42450416406127184,0.40937801013301606,0.42536639143902794,-0.48267030715942383,0.488569051027298,0.0,1.1202309806814548,1.1328473091125488,0.6171332597732544,1.6299821138381958,0.6187019884586334,1.6249598741531373,True,True,589.0365051269764,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_100__delta_10__constraint_equal_av,2.0,11.954193353652954,q_0p1__k_100__delta_10,K3,conservation_prioritized,3.0,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,,,2.0,0.0,0.0009383261203765869,,8.421957969665527,8.422896295785904,8.422427132725716
q_0p1__k_100__delta_10__constraint_equal_drop,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.2664154241462848,0.08393864099254494,7.850936197551995,0.49963406946771755,0.10014725528927285,0.31974611895907856,19.656705083082038,14.723603988335423,-5.185564994812012,8.937064170837402,-0.31946847541145545,6.639724254608154,-2.2766880989074707,4.551144599914551,4.553376197814941,4.551144599914551,4.553376197814941,0.002231827238574624,0.002231827238574624,0.10800003689647207,0.29967856725481307,0.28286550292361545,0.31854552522604673,-0.43465909361839294,0.4912785589694977,0.0,1.163473693021874,1.155441403388977,0.6474853754043579,1.6344045400619507,0.6926845729351043,1.624519693851471,True,True,593.8087585949688,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_100__delta_10__constraint_equal_drop,1.0,14.122629165649414,q_0p1__k_100__delta_10,K3,conservation_prioritized,3.0,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,,,1.0,0.0,0.002231597900390625,,8.91529655456543,8.91752815246582,8.916412353515625
q_0p1__k_100__delta_10__constraint_fixed_drop_10pa,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.3457684904977027,0.10105539839536119,10.189373857463961,0.36714450592800757,0.07972894219947192,0.27087334789456874,14.656475685881354,10.819298847126204,-1.412223219871521,14.03478717803955,2.4334910105492695,9.989391088485718,-0.005311543121933937,8.071606159210205,0.010623086243867874,8.071606159210205,0.0106230862438678,0.010616113497595493,0.010623086243867874,0.0526099611085222,0.41869838892695765,0.4046845822684238,0.4219906976437657,-0.4829784631729126,0.4837506413459778,0.0,1.1452270559983921,1.2457562685012817,0.6169431209564209,1.6221470832824707,0.6185697734355926,1.6190364956855774,True,True,577.7962678439799,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_100__delta_10__constraint_fixed_drop_10pa,2.0,15.447010397911072,q_0p1__k_100__delta_10,K3,conservation_prioritized,3.0,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,,,2.0,0.0,8.060983072966337,0.010608911514282227,14.02519416809082,5.964211095124483,9.994702631607652
q_0p1__k_100__delta_10__constraint_gauge_only,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.3329119644620341,0.09783355092501304,9.810507784106369,0.3844974767588405,0.0819432163631433,0.2693882673898175,15.295150562755211,11.33066964056812,-7.203119277954102,8.145790100097656,-1.3107101887461314,5.922115445137024,-3.243302822113037,3.9897820949554443,6.486605644226074,3.9897820949554443,6.486605644226074,,0.0,0.0519815353520929,0.4291952373108486,0.41644580485582267,0.43233162242412754,-0.4808962643146515,0.49463483691215515,0.0,1.1497081070235842,1.2448385953903198,0.6182290315628052,1.6398992538452148,0.6200476348400116,1.6379616379737854,True,True,616.5998711629945,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_100__delta_10__constraint_gauge_only,0.0,15.348909378051758,q_0p1__k_100__delta_10,K3,conservation_prioritized,3.0,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,,,0.0,0.0,2.49682354927063,,7.917006492614746,10.413830041885376,9.165418267250061
q_0p1__k_10__delta_100__constraint_equal_av,gnn,0.1,10.0,100.0,100.0,2,correction_regularized,0.3583275773115123,0.10121170843211025,10.559474761308762,0.3533849596468672,0.0770210908573815,0.2680176867659972,14.12562948555074,10.413821873311123,-2.263972759246826,9.808990478515625,1.9910270398579035,8.553698062896729,-0.01539661455899477,0.030053138732910156,0.03079322911798954,0.030053138732910156,0.0307932291179895,0.03042534369050275,0.03079322911798954,0.024242326838828224,0.432817899683783,0.4172923970861164,0.433496279911657,-0.4902275800704956,0.4910244941711426,0.0,1.120976545246404,1.1160856485366821,0.6124870181083679,1.6339893341064453,0.6135629773139953,1.6317465662956239,True,True,577.460588100017,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_10__delta_100__constraint_equal_av,2.0,12.072963237762451,q_0p1__k_10__delta_100,C3,correction_regularized,3.0,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,,,2.0,0.0,0.0007400903850793839,,8.568724632263184,8.569464722648263,8.569094677455723
q_0p1__k_10__delta_100__constraint_equal_drop,gnn,0.1,10.0,100.0,100.0,2,correction_regularized,0.2816860177440603,0.08860019098768203,8.300941884794236,0.470874111993569,0.09635972660235012,0.30991127226336423,18.03609345207846,13.876083271780102,-6.789516925811768,10.216561317443848,-0.8074128190241083,7.115585803985596,-2.945920705795288,5.889138221740723,5.891841411590576,5.889138221740721,5.891841411590576,0.002702701836824417,0.002702701836824417,-0.021781720880080093,0.3972114781267821,0.3787584709464049,0.3978082474260209,-0.49539822340011597,0.4848080277442932,0.0017083397833630443,1.0573326680097064,0.9565839767456055,0.6093282103538513,1.6238633394241333,0.6165912866592407,1.6097385168075562,True,True,606.6456723189913,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/gnn/q_0p1__k_10__delta_100__constraint_equal_drop,1.0,17.006078243255615,q_0p1__k_10__delta_100,C3,correction_regularized,3.0,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,,,1.0,0.0,0.002703189849855292,,10.060154914855955,10.06285810470581,10.061506509780884
