run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,parent_step2_run_name,representative_label,selection_category,selection_rank_within_regime,pressure_constraint_type,alpha_pa,constraint_description,pressure_constraint_display,gauge_node_id,arterial_node_ids,venous_node_ids,number_of_constraint_equations,gauge_residual_pa,equal_drop_residual_pa,fixed_drop_residual_pa,av_drop_1_pa,av_drop_2_pa,mean_av_drop_pa
poiseuille__q_0p1__k_0p1__constraint_equal_av,poiseuille_baseline,0.1,0.1,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,True,True,2.4412041420000605,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_0p1__constraint_equal_av,,2.3373010754585266,,,,,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_0p1__constraint_equal_drop,poiseuille_baseline,0.1,0.1,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660388,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,True,True,2.0537593320477754,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_0p1__constraint_equal_drop,,2.3373010754585266,,,,,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_0p1__constraint_fixed_drop_10pa,poiseuille_baseline,0.1,0.1,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,,,8.616564761252548,12.185662746429443,,,,,,,,,,,,,,True,True,2.428726414043922,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_0p1__constraint_fixed_drop_10pa,,2.3373010754585266,,,,,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_0p1__constraint_gauge_only,poiseuille_baseline,0.1,0.1,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660388,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.659685292736147,-2.1856627464294434,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,2.3038411329616793,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_0p1__constraint_gauge_only,,2.3373010754585266,,,,,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_100__constraint_equal_av,poiseuille_baseline,0.1,100.0,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317872547,0.0006645753523652953,0.0015616438869688564,0.0034018101005659374,0.023980873767604435,-2.1856627464294434,0.15163832902908325,-0.6596852927359346,-2.1856627464294434,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,True,True,2.368557805020828,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_100__constraint_equal_av,,2.3373010754585266,,,,,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_100__constraint_equal_drop,poiseuille_baseline,0.1,100.0,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660388,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,True,True,2.3770655970438384,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_100__constraint_equal_drop,,2.3373010754585266,,,,,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_100__constraint_fixed_drop_10pa,poiseuille_baseline,0.1,100.0,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.6596852927361493,-2.1856627464294434,0.0,0.0,0.0,,,8.616564761252548,12.185662746429443,,,,,,,,,,,,,,True,True,2.3799066770006903,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_100__constraint_fixed_drop_10pa,,2.3373010754585266,,,,,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_100__constraint_gauge_only,poiseuille_baseline,0.1,100.0,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317873032,0.0006645753523660507,0.0015616438869688564,0.0034018101005659374,0.023980873767605864,-2.1856627464294434,0.15163832902908325,-0.6596852927361472,-2.1856627464294434,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,2.4282315199961886,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_100__constraint_gauge_only,,2.3373010754585266,,,,,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_10__constraint_equal_av,poiseuille_baseline,0.1,10.0,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317872547,0.0006645753523652953,0.0015616438869688564,0.0034018101005659374,0.023980873767604435,-2.1856627464294434,0.15163832902908325,-0.6596852927342332,-2.1856627464294434,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,True,True,2.168264108011499,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_10__constraint_equal_av,,2.3373010754585266,,,,,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,14277|14352,7135|12346,,0.0,,,,,
poiseuille__q_0p1__k_10__constraint_equal_drop,poiseuille_baseline,0.1,10.0,100.0,,0,,0.6964723263347775,0.17333726683113135,20.52418629640818,0.0008137723317872547,0.0006645753523652835,0.0015616438869688564,0.0034018101005659374,0.023980873767604435,-2.1856627464294434,0.15163832902908325,-0.659685292736147,-2.1856627464294434,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,True,True,2.378786088025663,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn/outputs/pressure_constraint_sensitivity_step2p5/poiseuille/poiseuille__q_0p1__k_10__constraint_equal_drop,,2.3373010754585266,,,,,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,14277|14352,7135|12346,,0.0,,,,,
