representative_label,model_family,constraint_left,constraint_right,pressure_pearson_aligned
B1,gnn,equal_av,equal_drop,0.917677414747194
B1,gnn,equal_av,fixed_drop_10pa,0.9269083052921533
B1,gnn,equal_av,gauge_only,0.9041139074123912
B1,gnn,equal_drop,fixed_drop_10pa,0.8841256508549594
B1,gnn,equal_drop,gauge_only,0.9926876202174589
B1,gnn,fixed_drop_10pa,gauge_only,0.8308571646682856
K3,gnn,equal_av,equal_drop,0.9330960604480538
K3,gnn,equal_av,fixed_drop_10pa,0.9093243756627046
K3,gnn,equal_av,gauge_only,0.8936787865789717
K3,gnn,equal_drop,fixed_drop_10pa,0.8856729370450414
K3,gnn,equal_drop,gauge_only,0.9855996351968188
K3,gnn,fixed_drop_10pa,gauge_only,0.7982576477151411
K1,gnn,equal_av,equal_drop,0.9298509614660553
K1,gnn,equal_av,fixed_drop_10pa,0.9213130410096355
K1,gnn,equal_av,gauge_only,0.891891952357907
K1,gnn,equal_drop,fixed_drop_10pa,0.8894365528088444
K1,gnn,equal_drop,gauge_only,0.9881128806741474
K1,gnn,fixed_drop_10pa,gauge_only,0.8092050787991222
C3,gnn,equal_av,equal_drop,0.9080695573714159
C3,gnn,equal_av,fixed_drop_10pa,0.9074356980544384
C3,gnn,equal_av,gauge_only,0.8926756349570903
C3,gnn,equal_drop,fixed_drop_10pa,0.8570159000337316
C3,gnn,equal_drop,gauge_only,0.9918398421324905
C3,gnn,fixed_drop_10pa,gauge_only,0.7987391501855635
K2,gnn,equal_av,equal_drop,0.9249765167104488
K2,gnn,equal_av,fixed_drop_10pa,0.9055506068931809
K2,gnn,equal_av,gauge_only,0.8972793939637935
K2,gnn,equal_drop,fixed_drop_10pa,0.8762486439456705
K2,gnn,equal_drop,gauge_only,0.9920874759664409
K2,gnn,fixed_drop_10pa,gauge_only,0.8095280887237286
B2,gnn,equal_av,equal_drop,0.9401033200277167
B2,gnn,equal_av,fixed_drop_10pa,0.90617698844237
B2,gnn,equal_av,gauge_only,0.9024246489528028
B2,gnn,equal_drop,fixed_drop_10pa,0.8817630337951542
B2,gnn,equal_drop,gauge_only,0.9878092308520846
B2,gnn,fixed_drop_10pa,gauge_only,0.7981175109648171
F2,gnn,equal_av,equal_drop,0.9006338409255721
F2,gnn,equal_av,fixed_drop_10pa,0.8616862104532598
F2,gnn,equal_av,gauge_only,0.8992760312405293
F2,gnn,equal_drop,fixed_drop_10pa,0.8788351875922839
F2,gnn,equal_drop,gauge_only,0.9979142230756903
F2,gnn,fixed_drop_10pa,gauge_only,0.8891146089412054
F3,gnn,equal_av,equal_drop,0.8952511368200241
F3,gnn,equal_av,fixed_drop_10pa,0.886279049704682
F3,gnn,equal_av,gauge_only,0.9033742366636088
F3,gnn,equal_drop,fixed_drop_10pa,0.8422293175510958
F3,gnn,equal_drop,gauge_only,0.9955371020351299
F3,gnn,fixed_drop_10pa,gauge_only,0.8799037221565584
F1,gnn,equal_av,equal_drop,0.8870318997675456
F1,gnn,equal_av,fixed_drop_10pa,0.8879731661802287
F1,gnn,equal_av,gauge_only,0.8954284574518726
F1,gnn,equal_drop,fixed_drop_10pa,0.8316558378694979
F1,gnn,equal_drop,gauge_only,0.9955434306142992
F1,gnn,fixed_drop_10pa,gauge_only,0.8656356984397592
B4,gnn,equal_av,equal_drop,0.9350079209179802
B4,gnn,equal_av,fixed_drop_10pa,0.9276722698568135
B4,gnn,equal_av,gauge_only,0.8897920190395461
B4,gnn,equal_drop,fixed_drop_10pa,0.890128201503762
B4,gnn,equal_drop,gauge_only,0.987267586972993
B4,gnn,fixed_drop_10pa,gauge_only,0.8084267020899684
F4,gnn,equal_av,equal_drop,0.8267553521779917
F4,gnn,equal_av,fixed_drop_10pa,0.8274438508912774
F4,gnn,equal_av,gauge_only,0.8468568241438525
F4,gnn,equal_drop,fixed_drop_10pa,0.8305126840026789
