edge_id,source_node,target_node,selected_for_radius_correction,snr,tile_id,original_radius_m,corrected_radius_m,radius_ratio,radius_percent_change,original_poiseuille_conductance,corrected_poiseuille_conductance,original_delta,selection_strategy,p_original_flow_nl_s,p_original_flow_residual_nl_s,observed_flow_nl_s,p_corrected_flow_nl_s,p_corrected_flow_residual_nl_s,g_original_flow_nl_s,g_original_flow_residual_nl_s,fixed_weight_delta,g_fixed_flow_nl_s,g_fixed_flow_residual_nl_s,retrained_delta,g_retrained_flow_nl_s,g_retrained_flow_residual_nl_s
0,21,32,False,,-1,4.674999945564196e-05,4.674999945564196e-05,1.0,0.0,2.3814438083441424e-11,2.3814438083441424e-11,-0.4966840744018554,low_snr_20pct,-0.0017776504704689,-0.0017776504704689,0.0,0.002183768463843,0.002183768463843,-0.1478120684623718,-0.1478120684623718,-0.496717095375061,-0.174947515130043,-0.174947515130043,-0.4502946436405182,-0.1642493456602096,-0.1642493456602096
1,21,30,False,8.837466120534977,-1,4.868925316259265e-05,4.868925316259265e-05,1.0,0.0,5.394885377235867e-12,5.394885377235867e-12,-0.4649043083190918,low_snr_20pct,0.0022897348266433,0.0225183469740748,-0.0202286121474314,-0.0016218976286113,0.01860671451882,0.1132025569677352,0.1334311813116073,-0.4659534096717834,0.1294929236173629,0.1497215330600738,0.0001728977076709,0.1066370829939842,0.1268656998872757
2,30,113,False,,-1,5.40678774996195e-05,5.40678774996195e-05,1.0,0.0,2.554402642758176e-11,2.554402642758176e-11,-0.4963243007659912,low_snr_20pct,0.0028107625801913,0.0028107625801913,0.0,-0.0010515461936326,-0.0010515461936326,0.0967844426631927,0.0967844426631927,-0.4963661134243011,0.1140343770384788,0.1140343770384788,-0.4470894932746887,0.0960704609751701,0.0960704609751701
3,32,68,True,2.214292890638699,-1,2.5339853891637176e-05,2.52529166537131e-05,0.9965691499921092,-0.3430850007890784,6.568638591683204e-13,6.478957382573364e-13,-0.0137469954788684,low_snr_20pct,-0.0003488552044776,0.0054464095423976,-0.0057952643233588,-5.917077279630167e-06,0.0057893472460792,-0.0589143261313438,-0.0531190633773803,0.0008336242171935,-0.0593560487031936,-0.0535607859492301,0.2625029981136322,-0.057307131588459,-0.0515118688344955
4,32,87,False,,-1,3.98419433622621e-05,3.98419433622621e-05,1.0,0.0,8.41821837311919e-12,8.41821837311919e-12,-0.4959754049777984,low_snr_20pct,-0.0009187371449755,-0.0009187371449755,0.0,0.0027496351770033,0.0027496351770033,-0.0832522884011268,-0.0832522884011268,-0.4960845410823822,-0.121744692325592,-0.121744692325592,-0.4836373031139374,-0.1234956830739975,-0.1234956830739975
5,68,90,True,2.1899173119673683,-1,2.126474100805353e-05,2.104193671549397e-05,0.9895223603957752,-1.0477639604224875,3.806011140365942e-13,3.648988587313795e-13,-0.0421316660940647,low_snr_20pct,0.0001559137384129,-0.0115918699630943,0.0117477837015072,0.0005476456580363,-0.0112001380434708,0.0465017557144165,0.0347539708018302,0.0271576102823019,0.0423115342855453,0.0305637512356042,0.4782128930091858,0.0496836453676223,0.0379358604550361
6,87,100,False,,-1,2.534487794036977e-05,2.534487794036977e-05,1.0,0.0,5.157853708833614e-13,5.157853708833614e-13,0.449922114610672,low_snr_20pct,-0.0003647006233521,-0.0018382613953173,0.0014735608778443,0.0004494333524725,-0.0010241275253717,-0.1152579113841056,-0.1167314797639846,0.4554959833621979,-0.1077969893813133,-0.1092705503106117,0.4632017016410827,-0.1131650134921073,-0.1146385744214057
7,87,90,True,1.880476319885539,-1,3.506170105538331e-05,3.100718460899696e-05,0.8843605323089756,-11.56394676910244,4.006588276294937e-12,2.4507111438124528e-12,-0.4915618300437927,low_snr_20pct,-4.929725135575128e-05,0.0146898739359053,-0.0147391711872611,0.0028552083047579,0.017594379492019,0.129263237118721,0.1440024077892303,-0.4790352582931518,0.0683990642428398,0.0831382349133491,-0.4551952183246612,0.0624413304030895,0.0771805047988891
8,90,246,True,2.9935298726480704,-1,4.00330827687867e-05,3.536951031737462e-05,0.8835070364591505,-11.649296354084948,7.403330225160002e-12,4.510941263380481e-12,-0.4954240918159485,low_snr_20pct,0.0006022569955798,-1.469054604490233,1.4696569699060302,0.0039450762806276,-1.4657118936254026,0.6424362063407898,-0.8272206783294678,-0.4931889772415161,0.5619490742683411,-0.9077078700065612,-0.4782038927078247,0.5389753580093384,-0.9306815266609192
9,100,178,False,,-1,3.48972826031968e-05,3.48972826031968e-05,1.0,0.0,6.049624449732404e-12,6.049624449732404e-12,-0.4948764741420746,low_snr_20pct,0.0005391325004604,0.0005391325004604,0.0,0.0023875044516131,0.0023875044516131,-0.1171493753790855,-0.1171493753790855,-0.4950282573699951,-0.1080996841192245,-0.1080996841192245,-0.4807957708835602,-0.1478899717330932,-0.1478899717330932
