edge_id,source_node,target_node,selected_for_radius_correction,snr,tile_id,original_radius_m,corrected_radius_m,radius_ratio,radius_percent_change,original_poiseuille_conductance,corrected_poiseuille_conductance,original_delta,selection_strategy,p_original_flow_nl_s,p_original_flow_residual_nl_s,observed_flow_nl_s,p_corrected_flow_nl_s,p_corrected_flow_residual_nl_s,g_original_flow_nl_s,g_original_flow_residual_nl_s,fixed_weight_delta,g_fixed_flow_nl_s,g_fixed_flow_residual_nl_s,retrained_delta,g_retrained_flow_nl_s,g_retrained_flow_residual_nl_s
0,21,32,False,,-1,4.674999945564196e-05,4.674999945564196e-05,1.0,0.0,2.3814438083441424e-11,2.3814438083441424e-11,-0.4966840744018554,targeted_166,-0.0017776504704689,-0.0017776504704689,0.0,-0.002879042329586,-0.002879042329586,-0.1478120684623718,-0.1478120684623718,-0.4966948330402374,-0.1370263248682022,-0.1370263248682022,-0.4622565805912018,-0.139956459403038,-0.139956459403038
1,21,30,False,8.837466120534977,-1,4.868925316259265e-05,4.868925316259265e-05,1.0,0.0,5.394885377235867e-12,5.394885377235867e-12,-0.4649043083190918,targeted_166,0.0022897348266433,0.0225183469740748,-0.0202286121474314,0.0033979330190081,0.0236265451664395,0.1132025569677352,0.1334311813116073,-0.4653080105781555,0.1065681204199791,0.1267967373132705,-0.3984642922878265,0.1050228998064994,0.1252515166997909
2,30,113,False,,-1,5.40678774996195e-05,5.40678774996195e-05,1.0,0.0,2.554402642758176e-11,2.554402642758176e-11,-0.4963243007659912,targeted_166,0.0028107625801913,0.0028107625801913,0.0,0.0039258003518469,0.0039258003518469,0.0967844426631927,0.0967844426631927,-0.4963375926017761,0.0906538069248199,0.0906538069248199,-0.4601398706436157,0.0882232636213302,0.0882232636213302
3,32,68,False,2.214292890638699,-1,2.5339853891637176e-05,2.5339853891637176e-05,1.0,0.0,6.568638591683204e-13,6.568638591683204e-13,-0.0137469954788684,targeted_166,-0.0003488552044776,0.0054464095423976,-0.0057952651703917,-0.0004307764724274,0.0053644886979643,-0.0589143261313438,-0.0531190633773803,-0.0144046051427721,-0.0581763349473476,-0.0523810721933841,-0.1956980675458908,-0.0612793304026126,-0.0554840676486492
4,32,87,False,,-1,3.98419433622621e-05,3.98419433622621e-05,1.0,0.0,8.41821837311919e-12,8.41821837311919e-12,-0.4959754049777984,targeted_166,-0.0009187371449755,-0.0009187371449755,0.0,-0.0019314087614939,-0.0019314087614939,-0.0832522884011268,-0.0832522884011268,-0.4960180521011352,-0.0708947703242302,-0.0708947703242302,-0.47793909907341,-0.0751150473952293,-0.0751150473952293
5,68,90,False,2.1899173119673683,-1,2.126474100805353e-05,2.126474100805353e-05,1.0,0.0,3.806011140365942e-13,3.806011140365942e-13,-0.0421316660940647,targeted_166,0.0001559137384129,-0.0115918699630943,0.0117477837015072,8.077146704594908e-05,-0.0116670122344612,0.0465017557144165,0.0347539708018302,-0.0401196330785751,0.0478496439754962,0.03610185906291,0.2632280588150024,0.0733994022011756,0.0616516172885894
6,87,100,False,,-1,2.534487794036977e-05,2.534487794036977e-05,1.0,0.0,5.157853708833614e-13,5.157853708833614e-13,0.449922114610672,targeted_166,-0.0003647006233521,-0.0018382613953173,0.0014735608778443,-0.0005618590297099,-0.0020354199075542,-0.1152579113841056,-0.1167314797639846,0.4497231841087341,-0.1104528829455375,-0.1119264438748359,0.4288181662559509,-0.1052292436361312,-0.1067028045654296
7,87,90,False,1.880476319885539,-1,3.506170105538331e-05,3.506170105538331e-05,1.0,0.0,4.006588276294937e-12,4.006588276294937e-12,-0.4915618300437927,targeted_166,-4.929725135575128e-05,0.0146898739359053,-0.0147391711872611,-0.0008580310877392,0.0138811400995218,0.129263237118721,0.1440024077892303,-0.4917275607585907,0.1343883126974105,0.1491274833679199,-0.4740121364593506,0.1225924715399742,0.1373316496610641
8,90,246,False,2.9935298726480704,-1,4.00330827687867e-05,4.00330827687867e-05,1.0,0.0,7.403330225160002e-12,7.403330225160002e-12,-0.4954240918159485,targeted_166,0.0006022569955798,-1.469054604490233,1.4696569699060302,-0.0002748746057106,-1.4699318445117409,0.6424362063407898,-0.8272206783294678,-0.4954794645309448,0.643709659576416,-0.8259473443031311,-0.4778609275817871,0.646865725517273,-0.8227912783622742
9,100,178,False,,-1,3.48972826031968e-05,3.48972826031968e-05,1.0,0.0,6.049624449732404e-12,6.049624449732404e-12,-0.4948764741420746,targeted_166,0.0005391325004604,0.0005391325004604,0.0,0.0001941683932888,0.0001941683932888,-0.1171493753790855,-0.1171493753790855,-0.4949448108673095,-0.1106182634830474,-0.1106182634830474,-0.474958598613739,-0.1261140704154968,-0.1261140704154968
