edge_id,graph_source_node,graph_target_node,source_node,target_node,source_index,target_index,snr,tile_id,original_radius_m,length_m,original_poiseuille_conductance,selection_strategy,selected_for_radius_correction
3,32,68,32,68,2,3,2.214292890638699,-1,2.5339853891637176e-05,7.042598008411005e-05,6.568638591683203e-13,low_snr_20pct,True
5,68,90,68,90,3,5,2.1899173119673683,-1,2.1264741008053534e-05,6.027846393408254e-05,3.8060111403659416e-13,low_snr_20pct,True
7,87,90,87,90,4,5,1.880476319885539,-1,3.506170105538331e-05,4.232033097650856e-05,4.006588276294937e-12,low_snr_20pct,True
8,90,246,90,246,5,15,2.9935298726480704,-1,4.00330827687867e-05,3.892609674949199e-05,7.403330225160002e-12,low_snr_20pct,True
10,100,163,100,163,6,10,4.098512169275709,-1,2.3603863155585714e-05,7.783164619468153e-05,4.474741767406278e-13,low_snr_20pct,True
15,162,163,162,163,9,10,2.8685548622991583,-1,2.5992008886532858e-05,6.793082866352051e-05,7.538489186642418e-13,low_snr_20pct,True
17,178,347,178,347,11,20,0.06580874180148308,-1,2.0373077859403566e-05,9.122796473093331e-05,2.1188022968856223e-13,low_snr_20pct,True
22,238,246,238,246,14,15,1.5872488008812335,-1,4.188739330857061e-05,7.562611426692456e-05,4.567235370979592e-12,low_snr_20pct,True
23,238,304,238,304,14,17,4.638783450874943,-1,2.2915621229913086e-05,0.0001167344453278929,2.65044842782064e-13,low_snr_20pct,True
24,238,282,238,282,14,16,1.9619705516324653,-1,5.601793964160606e-05,7.301283767446876e-05,1.513216745749325e-11,low_snr_20pct,True
25,246,304,246,304,15,17,3.0472425565752417,-1,3.0736318876734003e-05,5.463622437673621e-05,1.832814762035602e-12,low_snr_20pct,True
70,675,769,675,769,42,50,0.08742971328868729,-1,1.790143141988665e-05,5.445542046800256e-05,2.1159322695557682e-13,low_snr_20pct,True
77,731,751,731,751,47,48,0.31401587826126004,-1,1.1343073310854379e-05,7.250872295117006e-05,2.561678014258768e-14,low_snr_20pct,True
79,731,838,731,838,47,56,1.084315537668275,-1,1.5642401194781996e-05,5.359476926969364e-05,1.2533810305093544e-13,low_snr_20pct,True
87,813,859,813,859,53,57,1.8830766212696364,-1,2.5181507226079702e-05,5.8876034017885104e-05,7.662670974231946e-13,low_snr_20pct,True
91,838,865,838,865,56,59,5.3041840927057615,-1,1.0895259947574232e-05,5.871683242730796e-05,2.6926481542809838e-14,low_snr_20pct,True
97,970,975,970,975,61,62,2.007992691813682,-1,1.8379962057224475e-05,0.0002046231529675424,6.257711128036858e-14,low_snr_20pct,True
101,980,996,980,996,63,65,1.7435615901221948,-1,1.9338298443472013e-05,7.531473238486797e-05,2.0834588986357489e-13,low_snr_20pct,True
103,984,997,984,997,64,66,0.1410175116090461,-1,3.2270723750116304e-05,3.906791243935004e-05,3.114629969877595e-12,low_snr_20pct,True
105,996,1029,996,1029,65,68,0.26832104600597984,-1,2.730368942138739e-05,5.511575363925658e-05,1.1313615944913704e-12,low_snr_20pct,True
