edge_id,graph_source_node,graph_target_node,source_node,target_node,source_index,target_index,snr,tile_id,original_radius_m,length_m,original_poiseuille_conductance,selection_strategy,selected_for_radius_correction
1587,14247,24587,14247,24587,1062,1881,0.32698004058017366,-1,1.4719684259034693e-05,7.095598266460001e-05,7.423296371695926e-14,targeted_166,True
1588,14247,14331,14247,14331,1062,1067,,-1,2.0082627088413574e-05,9.418509580427781e-05,1.9377232641353133e-13,targeted_166,True
1591,14277,14663,14277,14663,1065,1099,1.9671861963708437,-1,5.462850822368637e-05,0.00020191851945128292,4.948721944592299e-12,targeted_166,True
1593,14291,14603,14291,14603,1066,1095,10.074255251686564,-1,4.2620475142030045e-05,6.753313937224448e-05,5.4821138487323786e-12,targeted_166,True
1594,14331,14352,14331,14352,1067,1069,,-1,3.0765851988689974e-05,0.00014969598851166666,6.715176999597733e-13,targeted_166,True
1595,14331,25043,14331,25043,1067,1912,4.119499646872513,-1,3.957260196330026e-05,9.213484008796513e-05,2.9863890330462023e-12,targeted_166,True
1596,14351,14706,14351,14706,1068,1101,1.361852361824528,-1,6.314674101304263e-05,0.00010339166328776628,1.725480620518368e-11,targeted_166,True
1597,14351,14352,14351,14352,1068,1069,16.932555511642853,-1,6.0505917645059526e-05,8.115664240904152e-05,1.852930703892567e-11,targeted_166,True
1598,14351,14784,14351,14784,1068,1106,50.446043426335585,-1,5.866462379344739e-05,0.00014062385889701545,9.450134502952371e-12,targeted_166,True
1617,14479,14642,14479,14642,1082,1097,,-1,2.44204857153818e-05,2.6099092792719603e-05,1.5289159824103797e-12,targeted_166,True
1625,14564,14592,14564,14592,1088,1092,24.595166927160687,-1,2.0504638087004423e-05,6.770596519345418e-05,2.9293640048871653e-13,targeted_166,True
1632,14592,14594,14592,14594,1092,1093,,-1,2.1993244445184246e-05,1.6767418856034055e-05,1.5656072833262145e-12,targeted_166,True
1633,14592,14736,14592,14736,1092,1104,,-1,1.6565074474783614e-05,4.215872468193993e-05,2.0039087775571058e-13,targeted_166,True
1635,14594,35182,14594,35182,1093,2643,19.68038870984856,-1,1.7555903468746692e-05,8.83696848177351e-05,1.206094319901867e-13,targeted_166,True
1636,14603,14647,14603,14647,1095,1098,,-1,1.195862569147721e-05,0.00014257762813940644,1.6094057398036843e-14,targeted_166,True
1637,14603,14632,14603,14632,1095,1096,,-1,1.3537332051782869e-05,9.424608288099989e-05,3.9981663462226605e-14,targeted_166,True
1638,14632,14647,14632,14647,1096,1098,,-1,1.9722836441360414e-05,6.669734284514561e-05,2.5454279099192053e-13,targeted_166,True
1639,14632,14642,14632,14642,1096,1097,,-1,2.38221855397569e-05,1.351017999695614e-05,2.674589390367322e-12,targeted_166,True
1640,14642,14714,14642,14714,1097,1102,24.61212365578975,-1,2.1625906811095774e-05,6.927565846126527e-05,3.542488816218962e-13,targeted_166,True
1641,14647,14815,14647,14815,1098,1112,,-1,2.991714427480474e-05,1.8336195353185758e-05,4.901885440584077e-12,targeted_166,True
1642,14663,14724,14663,14724,1099,1103,0.1982468902138745,-1,2.60864198935451e-05,0.0001600610848981887,3.2461157898642866e-13,targeted_166,True
1643,14663,14764,14663,14764,1099,1105,24.425562213867245,-1,5.6518045312259346e-05,6.75808623782359e-05,1.694012634377473e-11,targeted_166,True
1644,14702,25048,14702,25048,1100,1913,,-1,6.62827878841199e-05,2.557873449404724e-05,8.46673280409893e-11,targeted_166,True
1645,14702,14784,14702,14784,1100,1106,5.649451586774236,-1,3.145412483718246e-05,0.00015156921290326864,7.245882220910212e-13,targeted_166,True
1646,14702,25042,14702,25042,1100,1911,,-1,6.231437873793766e-05,4.140193050261587e-05,4.086244297646001e-11,targeted_166,True
1647,14706,25043,14706,25043,1101,1912,2.4311299808070914,-1,7.805341010680422e-05,6.72599344397895e-05,6.191600536612874e-11,targeted_166,True
1648,14706,25048,14706,25048,1101,1913,,-1,7.569408626295626e-05,3.888795981765725e-05,9.471624782317375e-11,targeted_166,True
1649,14714,14815,14714,14815,1102,1112,0.23052445623234932,-1,1.7589300114195794e-05,9.38147641136311e-05,1.1447611613893577e-13,targeted_166,True
1650,14714,14736,14714,14736,1102,1104,,-1,1.5804946087882854e-05,3.54173025698401e-05,1.9767349217178052e-13,targeted_166,True
1651,14724,14813,14724,14813,1103,1111,3.94530222145309,-1,2.388236862316262e-05,7.119396468624473e-05,5.12694020118847e-13,targeted_166,True
1652,14724,14815,14724,14815,1103,1112,,-1,2.7682190193445422e-05,1.693415288173128e-05,3.89072161605635e-12,targeted_166,True
1653,14736,45068,14736,45068,1104,3330,3.1622776601683795e-05,-1,1.820559918996878e-05,7.119137444533408e-05,1.731348011193792e-13,targeted_166,True
1654,14764,14794,14764,14794,1105,1107,0.729632181212224,-1,3.728938099811785e-05,9.299741213908419e-05,2.332714959482118e-12,targeted_166,True
1655,14764,14798,14764,14798,1105,1109,24.929394621566242,-1,5.530270573217422e-05,8.993398660095409e-05,1.1669534069687759e-11,targeted_166,True
1656,14784,14805,14784,14805,1106,1110,11.216987752398985,-1,6.991442205617204e-05,6.212116568349302e-05,4.315382862567366e-11,targeted_166,True
1657,14794,14795,14794,14795,1107,1108,,-1,3.4030803362838924e-05,2.0413172023836523e-05,7.371742425707144e-12,targeted_166,True
1658,14794,14813,14794,14813,1107,1111,0.1798465890375434,-1,3.5665543691720814e-05,6.535550346598029e-05,2.7778262156226455e-12,targeted_166,True
1659,14795,45110,14795,45110,1108,3333,,-1,2.156787559215445e-05,0.0001362465845886618,1.781950747677735e-13,targeted_166,True
1660,14795,14798,14795,14798,1108,1109,0.3640205382100776,-1,5.285307270241901e-05,8.339183841599151e-05,1.0499031928202983e-11,targeted_166,True
1661,14798,45144,14798,45144,1109,3335,9.342026207497295,-1,5.0395512516843155e-05,0.00012724717089440674,5.687365918111568e-12,targeted_166,True
1662,14805,25042,14805,25042,1110,1911,1.4658798735853618,-1,3.951255712308921e-05,0.00016813742695376277,1.6265521466195305e-12,targeted_166,True
1663,14805,45140,14805,45140,1110,3334,5.661864928974657,-1,6.431216752389446e-05,6.513785774586722e-05,2.946666309735327e-11,targeted_166,True
1664,14813,45073,14813,45073,1111,3331,17.46777362957722,-1,2.6978164896718226e-05,9.398439578944817e-05,6.323910384930969e-13,targeted_166,True
2792,24471,24486,24471,24486,1874,1875,,-1,6.418402335839346e-05,2.6641335352906026e-05,7.147326158671319e-11,targeted_166,True
2793,24486,24555,24486,24555,1875,1880,,-1,5.287692692945711e-05,2.791091537801549e-05,3.1425528477527385e-11,targeted_166,True
