model_name,model_label,representative_label,selection_display_label,selection_category,harmonic_number,alpha,representative_D0,lambda_q,lambda_k,lambda_b,complex_flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,arterial_pressure_phase_difference_deg,folded_arterial_phase_difference_deg,selection_score,selection_score_formula,pareto_selection_strategy,profile_run_dir
full_ideal,Full ideal admittance,F1,Flow-Prioritized,flow_prioritized,1,0.0,0.0316227766017,1.0,0.1,100.0,0.0320531281973474,0.6383772761920591,0.255462314911227,0.255462314911227,0.18363416519602532,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/F1/alpha_0/D0_0p0316227766017
full_ideal,Full ideal admittance,F1,Flow-Prioritized,flow_prioritized,1,1.0,0.0158489319246,1.0,0.1,100.0,0.031779152913433,0.6360061035964434,0.2133418194460129,0.2133418194460129,0.1828358905841856,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/F1/alpha_1/D0_0p0158489319246
full_ideal,Full ideal admittance,F1,Flow-Prioritized,flow_prioritized,1,2.0,0.0063095734448,1.0,0.1,100.0,0.0316183047001313,0.6341337520674188,0.172632472664867,0.172632472664867,0.1822471665419532,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/F1/alpha_2/D0_0p0063095734448
full_ideal,Full ideal admittance,B1,Balanced,balanced,1,0.0,0.0316227766017,0.1,0.1,100.0,0.1381355003773224,0.4135371101800267,0.0145206736674952,0.0145206736674952,0.27583630527867453,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,min_distance_to_origin,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/B1/alpha_0/D0_0p0316227766017
full_ideal,Full ideal admittance,B1,Balanced,balanced,1,1.0,0.01,0.1,0.1,100.0,0.1372289258764054,0.4124507183190856,0.0198068041784887,0.0198068041784887,0.2748398220977455,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,min_distance_to_origin,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/B1/alpha_1/D0_0p01
full_ideal,Full ideal admittance,B1,Balanced,balanced,1,2.0,0.00398107170553,0.1,0.1,100.0,0.1367851270632754,0.4113365107602694,0.0168954086451828,0.0168954086451828,0.27406081891177236,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,min_distance_to_origin,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/B1/alpha_2/D0_0p00398107170553
full_ideal,Full ideal admittance,K1,Kirchhoff-Prioritized,conservation_prioritized,1,0.0,0.001,0.1,100.0,100.0,0.4231783522982865,0.004740713247791,0.0940759346756606,0.0940759346756606,0.10935012301041487,0.25*complex_flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,min_flow_rmse,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/K1/alpha_0/D0_0p001
full_ideal,Full ideal admittance,K1,Kirchhoff-Prioritized,conservation_prioritized,1,1.0,0.00125892541179,0.1,100.0,100.0,0.422667943161518,0.0048608014603616,0.0825423754792589,0.0825423754792589,0.10931258688565071,0.25*complex_flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,min_flow_rmse,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/K1/alpha_1/D0_0p00125892541179
full_ideal,Full ideal admittance,K1,Kirchhoff-Prioritized,conservation_prioritized,1,2.0,0.00063095734448,0.1,100.0,100.0,0.4220397006059426,0.0049805625599323,0.0804661568610949,0.0804661568610949,0.10924534707143488,0.25*complex_flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,min_flow_rmse,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/K1/alpha_2/D0_0p00063095734448
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,F1,Flow-Prioritized,flow_prioritized,1,0.0,0.0316227766017,1.0,0.1,100.0,0.0320616396816008,0.6382622248914859,0.2658260164880136,0.2658260164880136,0.18361178598407207,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H1/F1/alpha_0/D0_0p0316227766017
