artifact_name,bundle_type,source_path,destination_path,size_bytes,description
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.csv,5159,DC Step 0 Poiseuille baseline summary table
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.yaml,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.yaml,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/summary.yaml,5968,DC Step 0 Poiseuille baseline summary YAML
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/poiseuille_summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/poiseuille_summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/poiseuille_summary.csv,5159,DC Step 0 Poiseuille-only baseline summary
dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/figures,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/figures,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/00_ideal_models/poiseuille_only_baseline/default_partitioned/figures,4078724,DC Step 0 Poiseuille baseline figures
dc/01_boundary_parameter_calibration/boundary_weight_summary.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/01_boundary_parameter_calibration/boundary_weight_summary.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/01_boundary_parameter_calibration/boundary_weight_summary.csv,12077,DC Step 1 boundary-weight summary table
dc/01_boundary_parameter_calibration/boundary_weight_summary.yaml,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/01_boundary_parameter_calibration/boundary_weight_summary.yaml,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/01_boundary_parameter_calibration/boundary_weight_summary.yaml,27933,DC Step 1 boundary-weight summary YAML
dc/01_boundary_parameter_calibration/figures,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/01_boundary_parameter_calibration/figures,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/01_boundary_parameter_calibration/figures,4478001,DC Step 1 boundary-parameter calibration figures
dc/02_physics_weight_sweep/launcher_manifest.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/launcher_manifest.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/02_physics_weight_sweep/launcher_manifest.csv,445,DC Step 2 launcher manifest
dc/02_physics_weight_sweep/physics_weight_all_runs.csv,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/physics_weight_all_runs.csv,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/02_physics_weight_sweep/physics_weight_all_runs.csv,94151,DC Step 2 all-runs summary
dc/02_physics_weight_sweep/physics_weight_analysis.yaml,repo,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/physics_weight_analysis.yaml,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/publish/dc/repo_bundle/dc/02_physics_weight_sweep/physics_weight_analysis.yaml,422,DC Step 2 analysis YAML
