plot_label,run_name,selection_category,selection_rank_within_regime,selection_score,selection_score_formula,selection_score_regime,lambda_q,lambda_k,lambda_delta,flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,delta_rms
F1,q_100__k_0p1__delta_10,flow_prioritized,1,0.28166726846986,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,10.0,0.1067613750290668,0.8063849487922394,0.4719745542834836
F2,q_100__k_0p1__delta_1,flow_prioritized,2,0.2827636196168419,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,1.0,0.1148011097268715,0.7866511492867528,0.4759288502212534
F3,q_100__k_0p1__delta_0p1,flow_prioritized,3,0.2881623937729329,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,0.1,0.1460623064617542,0.7144626557064688,0.444907102423571
F4,q_10__k_0p1__delta_1,flow_prioritized,4,0.2989576202673377,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,10.0,0.1,1.0,0.1861817259695547,0.6372853031606869,0.3161782605305275
B1,q_1__k_1__delta_1,balanced,1,0.3578236637691266,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1.0,1.0,1.0,0.3529523148193825,0.3626950127188707,0.4251463715181716
B2,q_0p1__k_100__delta_100,balanced,2,0.3579539146601722,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,0.1,100.0,100.0,0.3534298851938812,0.3624779441264633,0.4320992072282953
B3,q_10__k_10__delta_10,balanced,3,0.3580339025703911,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,10.0,10.0,10.0,0.3529947503782316,0.3630730547625506,0.4302639188271541
B4,q_10__k_100__delta_100,balanced,4,0.3582410624713248,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,10.0,100.0,100.0,0.3555049268270678,0.3609771981155819,0.4320876532220951
K1,q_10__k_100__delta_10,conservation_prioritized,1,0.358677137037473,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,10.0,100.0,10.0,0.3552258144435644,0.3598275779021092,0.4302160848249931
K2,q_1__k_100__delta_0p1,conservation_prioritized,2,0.3604029178548275,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1.0,100.0,0.1,0.3533289890829227,0.3627608941121291,0.4225653485340804
K3,q_10__k_100__delta_0p1,conservation_prioritized,3,0.363152886474393,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,10.0,100.0,0.1,0.3495107838865832,0.367700254003663,0.4243032315742653
K4,q_10__k_100__delta_1,conservation_prioritized,4,0.3631531066175171,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,10.0,100.0,1.0,0.3495105265819397,0.3677006332960429,0.4243008282352585
C1,q_0p1__k_0p1__delta_10,correction_regularized,1,0.3587411101001172,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,0.1,10.0,0.3514276202367894,0.3660545999634449,0.4238731770956285
C2,q_0p1__k_1__delta_100,correction_regularized,2,0.3592606701634958,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,1.0,100.0,0.3462123799604087,0.372308960366583,0.4297886885171315
C3,q_1__k_10__delta_100,correction_regularized,3,0.3596480394952799,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1.0,10.0,100.0,0.3461003237070818,0.3731957552834779,0.4223688434847312
C4,q_10__k_10__delta_100,correction_regularized,4,0.3599426582164347,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,10.0,10.0,100.0,0.3525799452908257,0.3673053711420437,0.4292218686095899
