run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_0p1__k_0p1__delta_0p1,gnn,0.1,0.1,100.0,0.1,2,balanced,0.35273068829626975,0.10227585781551589,10.394541298074584,0.36571729317631463,0.08018134359404075,0.2795949642598814,14.566443537478158,10.777240635632708,-2.6216769218444824,8.927008628845215,1.5383656782800652,7.8498194217681885,-0.017324397340416908,0.03332185745239258,0.034648794680833817,nan,nan,0.033991954891286355,0.034648794680833817,0.037608330070066,0.42937746710508085,0.4151260471778363,0.431021340246901,-0.48575207591056824,0.4907524585723877,0.0,1.1338821234475716,1.1788499355316162,0.6152343153953552,1.633544921875,0.6170122027397156,1.631996488571167,True,True,2436.092288243999,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_0p1,2,11.548685550689697,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9958690078948769,0.011768149002809983,0.7498437931718602,0.25779336372582673,0.5038185784488435,0.5038185784488435,0.3592239907362922,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,2,False,nan,balanced,
q_0p1__k_0p1__delta_1,gnn,0.1,0.1,100.0,1.0,2,correction_regularized,0.33472152837689445,0.09870176183386603,9.863833416008074,0.39370567680905916,0.0848750512784147,0.2865744791534336,15.48884631663583,11.602024016239953,-2.707859516143799,9.04623031616211,1.5511746825840171,7.972085237503052,-0.01934213750064373,0.03809690475463867,0.03868427500128746,nan,nan,0.03839166177316055,0.03868427500128746,0.02816034766426245,0.4200733817075368,0.4047726286226404,0.42101621251417465,-0.4781697690486908,0.48619771003723145,0.0,1.1198165630087162,1.1039215326309204,0.6199169754981995,1.6261215209960938,0.6232563555240631,1.6198760271072388,True,True,587.6346049010026,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_1,2,11.754089832305908,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.8871133027996402,0.1144788335806861,0.6939546854949016,0.3076374508854246,0.5007960681901631,0.5007960681901631,0.3642136025929768,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,2,False,True,1,0,False,nan,correction_regularized,
q_0p1__k_0p1__delta_10,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.3514276202367894,0.10072411647533677,10.35614147858654,0.36605459996344497,0.07955433409370644,0.2771763030142046,14.632526093572018,10.787180653457305,-2.4502148628234863,9.480690956115723,1.800749155387635,8.44220495223999,-0.01782832480967045,0.034789085388183594,0.0356566496193409,nan,nan,0.035225669538363154,0.0356566496193409,0.010116167275726392,0.4237524435573076,0.40799934881576816,0.4238731770956285,-0.4859466254711151,0.4777572453022003,0.0,1.1017357229094158,1.0584499835968018,0.6151146292686462,1.6124540567398071,0.6168320059776307,1.609328269958496,True,True,587.9166404480056,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_10,2,11.930905818939209,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9879998964965491,0.013005984365992197,0.7442514184639097,0.2567544623986314,0.5005029404312706,0.5005029404312706,0.3587411101001172,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1,True,False,0,3,True,1,correction_regularized,C1
q_0p1__k_0p1__delta_100,gnn,0.1,0.1,100.0,100.0,2,correction_regularized,0.321813514067586,0.0914217003425995,9.483450046298126,0.4052794728966307,0.08563154976660495,0.2929919924298673,16.102952304919427,11.943089609338303,-2.198183536529541,8.956585884094238,1.474196317946808,7.767087697982788,-0.01880914531648159,0.039041996002197266,0.03761829063296318,nan,nan,0.038336723356126604,0.03904194012284279,0.0002743271030000551,0.27975802441643355,0.2695738486317698,0.2797581589172083,-0.36585408449172974,0.37678587436676025,0.0,1.0393893656421105,1.0723227262496948,0.6936039924621582,1.457592248916626,0.7030036926269532,1.3888394713401795,True,True,589.6916189510084,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_100,2,11.15476942062378,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.8091629595369356,0.15695190151192795,0.6461101950306837,0.3200046660181799,0.4830574305244318,0.4830574305244318,0.3635464934821083,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1,True,False,0,3,False,nan,correction_regularized,
q_0p1__k_100__delta_0p1,gnn,0.1,100.0,100.0,0.1,2,conservation_prioritized,0.3449326996206896,0.10031053757380395,10.164744124140704,0.37869713531855603,0.08191866740395248,0.2836843986716439,15.12047084761825,11.159740683591943,-2.573179244995117,9.347552299499512,1.707136916390801,8.26680850982666,-0.01869828812777996,0.03646659851074219,0.03739657625555992,nan,nan,0.03693491654047623,0.03739657625555992,0.007436642833591395,0.4299867540084185,0.4133252648510936,0.4300510577586488,-0.4949014484882355,0.4809974730014801,0.0,1.1012397442272794,1.0830050706863403,0.6096310019493103,1.6176872253417969,0.6099087953567505,1.6134330749511718,True,True,587.2735206069774,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_0p1,2,11.920731544494629,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9487776521329139,0.059401070204542515,0.7264335066508211,0.28174521568663535,0.5040893611687282,0.5040893611687282,0.37025602639408944,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,0,False,nan,conservation_prioritized,
q_0p1__k_100__delta_1,gnn,0.1,100.0,100.0,1.0,2,conservation_prioritized,0.3449312245296366,0.10031012342580918,10.16470065501432,0.37869929511095146,0.08191893606285104,0.28368624181533714,15.120566257409429,11.159804330028146,-2.573167562484741,9.347650527954102,1.707167913411608,8.26689863204956,-0.018698520958423615,0.036467552185058594,0.03739704191684723,nan,nan,0.03693540122923411,0.03739704191684723,0.007430599616821823,0.4299855697767308,0.4133237954806402,0.4300497692440812,-0.49490126967430115,0.48099595308303833,0.0,1.101232863255661,1.0829870700836182,0.6096311211585999,1.6176847219467163,0.6099089086055756,1.613430345058441,True,True,578.4015728259983,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_1,2,11.920818090438843,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.948768744190052,0.059408996126896284,0.7264288071742631,0.28174893314268523,0.5040888701584741,0.5040888701584741,0.37025727746562276,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,0,False,nan,conservation_prioritized,
q_0p1__k_100__delta_10,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.35295868933993346,0.10283964382938124,10.401260209535943,0.36705827862596174,0.08071105831119504,0.2792740173775299,14.651386007202838,10.81675783416114,-2.701444149017334,8.400552749633789,1.351764635086569,7.293013095855713,-0.017199572175741196,0.03323554992675781,0.03439914435148239,nan,nan,0.03382255353623091,0.03439914435148239,0.06429340777722929,0.4142763321584246,0.40445759309799484,0.4192356397901395,-0.47013595700263977,0.4751235842704773,0.0,1.1563344810445555,1.3204561471939087,0.6249173283576965,1.608212947845459,0.6267510116100311,1.6051137566566467,True,True,587.8351372210018,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_10,2,11.101996898651123,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9972458857935189,0.016689245388707995,0.7521067256923162,0.2618284054899107,0.5069675655911134,0.5069675655911134,0.3635333813044547,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,3,False,True,4,0,False,nan,conservation_prioritized,
q_0p1__k_100__delta_100,gnn,0.1,100.0,100.0,100.0,2,balanced,0.3534298851938812,0.10068125297282866,10.415145774148986,0.3624779441264633,0.07895612229413858,0.27148651030170157,14.418325040843616,10.681780987252818,-2.2847514152526855,9.288277626037598,1.8620007055482812,8.354472637176514,-0.015362869948148727,0.030257225036621094,0.030725739896297455,nan,nan,0.030492544206275337,0.030725739896297455,0.057105713958506596,0.4283090733577883,0.41510527493740024,0.4320992072282953,-0.48644930124282837,0.49709534645080566,0.1782885491847992,1.1550866704972786,1.2403113842010498,0.6148055195808411,1.6439393758773804,0.6186057388782501,1.6432523012161255,True,True,578.2307971559931,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_100,2,11.573029041290283,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,1.0,0.0,0.75,0.25,0.5,0.5,0.35795391466017223,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,0,True,2,balanced,B2
q_0p1__k_10__delta_0p1,gnn,0.1,10.0,100.0,0.1,2,conservation_prioritized,0.33877351737608463,0.09771716537840082,9.983240568231952,0.3856349527560421,0.0825584166908725,0.2867733882392504,15.330795660739582,11.364189664826824,-2.2886033058166504,10.048205375671387,2.08110930614909,9.07876205444336,-0.0171531792730093,0.03417015075683594,0.0343063585460186,nan,nan,0.034238611419662265,0.0343063585460186,-0.004048840174954846,0.4270034641478209,0.40964636493167417,0.42702265923602095,-0.49727147817611694,0.4796730577945709,0.14210280776023865,1.0876569015340305,1.0587342977523804,0.6081878542900085,1.6155461072921753,0.6085530281066894,1.6086309790611266,True,True,589.4669547140365,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_0p1,2,12.336808681488037,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9115829017491706,0.0848612035166656,0.7049024771910444,0.29154162807479184,0.4982220526329181,0.4982220526329181,0.37391959391105273,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,0,False,nan,conservation_prioritized,
q_0p1__k_10__delta_1,gnn,0.1,10.0,100.0,1.0,2,conservation_prioritized,0.3475476896399578,0.09921174048256358,10.241804676713054,0.37111615311948865,0.07995453944380115,0.2788747802563024,14.80996054958883,10.936338424693544,-2.2938015460968018,9.939020156860352,2.0353387829416065,8.965268611907959,-0.017463400959968567,0.034491539001464844,0.034926801919937134,nan,nan,0.03470997123669598,0.034926801919937134,-0.00014364989134652627,0.4342507583265847,0.4172829634803419,0.43425078208623547,-0.49522629380226135,0.4920158386230469,0.0023295541759580374,1.0957074513955967,1.0099592208862305,0.6094329357147217,1.6356099843978882,0.6103422105312347,1.632252073287964,True,True,587.9587003510096,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_1,2,12.232821702957153,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9645693428411822,0.031580675798917095,0.731322176080616,0.2648278425594834,0.49807500932004967,0.49807500932004967,0.36522403724960595,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,2,False,True,1,3,False,nan,conservation_prioritized,
