run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_range_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,selected_representative,selection_rank_within_regime,selection_category,plot_label
poiseuille__q_0p1__k_0p1,poiseuille_baseline,0.1,0.1,100.0,nan,0,,0.21460137267609633,0.06993019669137387,6.324039571605282,0.5986182920209557,0.11690727095307693,0.36556275991332443,22.932482302007173,17.640547773853847,-2.134706735610962,7.925695419311523,10.060402154922485,1.302658275418952,6.99521279335022,-0.003036231268197298,0.006440639495849609,0.006072462536394596,0.006440639495849609,0.006072462536394596,0.006259258677008556,0.006440639495849609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.8023003679991234,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_1,poiseuille_baseline,0.1,1.0,100.0,nan,0,,0.45561628649280095,0.1087046806484915,13.426453844716082,0.18955271317102815,0.04893045194055165,0.17851369118809485,7.458604914245548,5.58588625995425,-2.4136412143707275,8.62335205078125,11.036993265151978,0.9780028484635613,6.455033779144287,-0.004995382856577635,0.010561943054199219,0.00999076571315527,0.010561943054199219,0.00999076571315527,0.010280321994356646,0.010561943054199219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.6988900469150394,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_10,poiseuille_baseline,0.1,10.0,100.0,nan,0,,0.5851601374239319,0.1270874721013203,17.24395244377262,0.03853960353919951,0.016731396318179007,0.061586723744335076,1.141235977247801,1.1357149062775982,-2.2989554405212402,6.310632705688477,8.609588146209717,0.8330415165888534,5.5661749839782715,-0.00755649758502841,0.015472412109375,0.01511299517005682,0.015472412109375,0.01511299517005682,0.015293759503348006,0.015472412109375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.751883803983219,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_10,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_0p1__k_100,poiseuille_baseline,0.1,100.0,100.0,nan,0,,0.6305446257336863,0.1303624272394769,18.581377719430765,0.00867394274276068,0.005650338024581003,0.01608150224585107,0.12449827139267983,0.2556104672725005,-1.7172318696975708,4.27882719039917,5.996059060096741,0.9075168496649464,3.838146924972534,-0.008898511528968811,0.018023967742919922,0.017797023057937622,0.018023967742919922,0.017797023057937622,0.017910854850098322,0.018023967742919922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.639046289026737,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_0p1__k_100,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_0p1,poiseuille_baseline,100.0,0.1,100.0,nan,0,,0.04043841796714581,0.017611495078511723,1.191670641470363,1.8639866787218693,0.5601785709823675,2.63450505985294,35.018776073370006,54.92940408621728,-1.7236980199813843,10.006423950195312,11.730121970176697,2.2358063860548736,7.977479457855225,-0.20721319317817688,0.3836851119995117,0.41442638635635376,0.3836851119995117,0.41442638635635376,0.3993516588662577,0.41442638635635376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.5395859939744696,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_1,poiseuille_baseline,100.0,1.0,100.0,nan,0,,0.05060554577515654,0.02478033589128845,1.4912834435025009,1.2913538325723923,0.37058398546012783,1.5833716065713488,34.75294357846437,38.05461557069339,-2.7854621410369873,8.196998596191406,10.982460737228394,1.1278020196592757,7.001799583435059,-0.5527074337005615,1.1008186340332031,1.105414867401123,1.1008186340332031,1.105414867401123,1.1031191445410984,1.105414867401123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.5591253860038705,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_10,poiseuille_baseline,100.0,10.0,100.0,nan,0,,0.08030206345652871,0.0399210226311655,2.366403442102548,0.9329691951297135,0.20705751103959416,0.7121598693789549,32.456912157918794,27.49345931721635,-3.4679176807403564,7.993158340454102,11.461076021194458,0.3469366820394929,6.553406715393066,-1.0884932279586792,2.170511245727539,2.1769864559173584,2.170511245727539,2.1769864559173584,2.1737512618831683,2.1769864559173584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.7250749729864765,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_10,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_100__k_100,poiseuille_baseline,100.0,100.0,100.0,nan,0,,0.2073423128401041,0.06602008265157153,6.110123970400096,0.5948876321578718,0.11215654005025563,0.3407058218451305,22.928242637831886,17.530609797651096,-3.854027032852173,8.292003631591797,12.14603066444397,0.08887709201703457,6.517459869384766,-1.428017497062683,2.8240556716918945,2.856034994125366,2.8240556716918945,2.856034994125366,2.8400903440281473,2.856034994125366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.725770195014775,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_100__k_100,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_10__k_0p1,poiseuille_baseline,10.0,0.1,100.0,nan,0,,0.05214057903122203,0.025252933336772882,1.5365189931825127,1.3368295593272008,0.3820220037884373,1.6172046015706953,34.7529054145479,39.39472953156253,-2.2463788986206055,8.312281608581543,10.558660507202148,1.4918878472493253,7.135212182998657,-0.0724344402551651,0.14786291122436523,0.1448688805103302,0.14786291122436523,0.1448688805103302,0.1463735513268378,0.14786291122436523,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,4.206361916003516,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_10__k_0p1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
poiseuille__q_10__k_1,poiseuille_baseline,10.0,1.0,100.0,nan,0,,0.08705222730457508,0.041735502346640696,2.5653225019274597,0.9466487557861898,0.21585413117890906,0.7832575896465218,32.458990356643014,27.89657921265291,-2.4034385681152344,7.684664726257324,10.088103294372559,1.0679196172088254,6.8116559982299805,-0.18062889575958252,0.37691497802734375,0.36125779151916504,0.37691497802734375,0.36125779151916504,0.3691694005430688,0.37691497802734375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,True,3.6737215220055077,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/poiseuille/poiseuille__q_10__k_1,nan,nan,nan,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,nan,,,False,nan,,
