run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_100__k_0p1__delta_10,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.10676137502906688,0.040803517351582594,3.1461269421694382,0.8063849487922394,0.14303060465589065,0.4197774953703695,29.518738148270884,23.76317664009541,-1.0563937425613403,8.105475425720215,2.0113976910702354,7.1655802726745605,-0.025708436965942383,0.07152652740478516,0.051416873931884766,nan,nan,0.062288558728091026,0.07152646034955978,-0.024306647223326427,0.4713482436499085,0.45902081063363437,0.4719745542834836,-0.4999993145465851,0.4999999701976776,0.6900139451026917,1.0885440501890524,0.8423722982406616,0.6065310835838318,1.6487212181091309,0.6065773963928223,1.6487209796905518,True,True,421.7301287910086,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_10,2,9.161869168281555,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.0,1.0,0.25,0.75,0.5,0.5,0.28166726846986,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,1,flow_prioritized,F1
q_100__k_0p1__delta_1,gnn,100.0,0.1,100.0,1.0,2,flow_prioritized,0.11480110972687159,0.04220060012207181,3.3830480752456213,0.7866511492867528,0.13810714697342721,0.4086110993290447,29.102007262360452,23.18164574206531,-1.1406872272491455,7.847981929779053,1.9586212146394186,7.338282585144043,-0.023751184344291687,0.0678415298461914,0.047502368688583374,nan,nan,0.05856179740550012,0.06784167885780334,-0.013872043109431987,0.47572664093246997,0.4680236816998551,0.4759288502212534,-0.49988484382629395,0.49998605251312256,0.7015064358711243,1.1010617533906089,0.8650232553482056,0.6066005229949951,1.6486982107162476,0.6068684101104737,1.6486283540725708,True,True,479.40044040300563,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_1,2,8.988669157028198,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.0,1.0,0.25,0.75,0.5,0.5,0.28276361961684193,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,2,flow_prioritized,F2
q_100__k_0p1__delta_0p1,gnn,100.0,0.1,100.0,0.1,2,flow_prioritized,0.14606230646175425,0.049295181442894416,4.3042772488610455,0.7144626557064688,0.12705423404668564,0.37994491586127277,26.85896643983554,21.05433926530138,-1.2764796018600464,7.814478874206543,1.9014003102310144,7.425880432128906,-0.022581566125154495,0.07353019714355469,0.04516313225030899,nan,nan,0.061017999832881614,0.0735301598906517,-0.06305948262090824,0.44041552134151596,0.4309175910981153,0.444907102423571,-0.49789196252822876,0.49644970893859863,0.0621214434504509,1.0351068514588273,0.7308008670806885,0.6078106164932251,1.6428782939910889,0.6094862282276153,1.634305441379547,True,True,367.2471226750058,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_0p1,2,9.09095847606659,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.0,1.0,0.25,0.75,0.5,0.5,0.2881623937729329,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,3,flow_prioritized,F3
q_10__k_0p1__delta_1,gnn,10.0,0.1,100.0,1.0,2,flow_prioritized,0.1861817259695547,0.05962106982335636,5.486547396499405,0.6372853031606869,0.11723287044765394,0.35672966452538296,24.287688180080202,18.78001722604808,-2.2560620307922363,8.960114479064941,1.678719172592845,8.000159740447998,-0.030703173950314522,0.06816577911376953,0.061406347900629044,nan,nan,0.0648744101298481,0.06816625595092773,-0.11139194811083952,0.2959062796362747,0.28893839943404653,0.3161782605305275,-0.46527600288391113,0.48858168721199036,0.0,0.9374381394504038,0.7937185168266296,0.6279617547988892,1.630002737045288,0.6523946523666382,1.5802496194839477,True,True,515.5104881759908,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_10__k_0p1__delta_1,2,11.216176509857178,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.0,1.0,0.25,0.75,0.5,0.5,0.29895762026733774,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,0,True,4,flow_prioritized,F4
q_1__k_1__delta_1,gnn,1.0,1.0,100.0,1.0,2,balanced,0.35295231481938255,0.1004671182866935,10.401072360223932,0.3626950127188707,0.0787561757669884,0.27387013555417455,14.501906620001392,10.688177732767626,-2.3938024044036865,9.629831314086914,1.8863563430713275,8.627508640289307,-0.017100144177675247,0.033616065979003906,0.034200288355350494,nan,nan,0.03390927857957617,0.034200288355350494,0.010478967329298669,0.42501720960306594,0.40852127590853715,0.4251463715181716,-0.48656165599823,0.4822820723056793,0.0,1.1027208490389477,1.0576962232589722,0.6147364377975464,1.6197665929794312,0.615794163942337,1.6163612842559814,True,True,427.6348487759824,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,2,12.0236337184906,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9972073906343742,0.0006771014152233654,0.7480748183295866,0.2498096737200111,0.4989422460247988,0.4989422460247988,0.35782366376912667,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,3,True,1,balanced,B1
q_0p1__k_100__delta_100,gnn,0.1,100.0,100.0,100.0,2,balanced,0.3534298851938812,0.10068125297282866,10.415145774148986,0.3624779441264633,0.07895612229413858,0.27148651030170157,14.418325040843616,10.681780987252818,-2.2847514152526855,9.288277626037598,1.8620007055482812,8.354472637176514,-0.015362869948148727,0.030257225036621094,0.030725739896297455,nan,nan,0.030492544206275337,0.030725739896297455,0.057105713958506596,0.4283090733577883,0.41510527493740024,0.4320992072282953,-0.48644930124282837,0.49709534645080566,0.1782885491847992,1.1550866704972786,1.2403113842010498,0.6148055195808411,1.6439393758773804,0.6186057388782501,1.6432523012161255,True,True,578.2307971559931,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_100,2,11.573029041290283,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,1.0,0.0,0.75,0.25,0.5,0.5,0.35795391466017223,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,0,True,2,balanced,B2
q_10__k_10__delta_10,gnn,10.0,10.0,100.0,10.0,2,balanced,0.3529947503782316,0.10091798423429879,10.402322884160744,0.3630730547625506,0.07926119234944924,0.2755430554405616,14.423371351435232,10.699318168703096,-2.3840768337249756,9.292191505432129,1.7985535697332489,8.317498683929443,-0.016546811908483505,0.03245258331298828,0.03309362381696701,nan,nan,0.03277473019868945,0.03309362381696701,0.03795853028105583,0.42858626882274276,0.41376064831102355,0.43026391882715415,-0.4877246022224426,0.4903635084629059,0.0,1.1338027803530177,1.1839826107025146,0.6140219569206238,1.6329095363616943,0.6155416190624237,1.6314224123954773,True,True,587.8122045139899,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_10__k_10__delta_10,2,11.676268339157104,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9974636551766626,0.002064425442758508,0.7486138477431866,0.25091423287623454,0.49976404030971056,0.49976404030971056,0.3580339025703911,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,1,0,True,3,balanced,B3
q_10__k_100__delta_100,gnn,10.0,100.0,100.0,100.0,2,balanced,0.35550492682706786,0.10206708562402861,10.476294709206392,0.3609771981155819,0.07906652608662568,0.27710345004922443,14.419497713913376,10.637555840687389,-2.5936989784240723,8.940694808959961,1.5928950064848308,7.880968809127808,-0.017599139362573624,0.03453779220581055,0.03519827872514725,nan,nan,0.03486967881659392,0.03519827872514725,0.04242474967897306,0.42999986125771233,0.41624915666486545,0.43208765322209514,-0.4873913526535034,0.48867329955101013,0.0,1.1389647922932056,1.2376196384429932,0.6142266392707825,1.6301519870758057,0.6152297258377075,1.6282510876655578,True,True,1373.1618479120007,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_10__k_100__delta_100,2,11.534393787384033,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,1.0,0.0,0.75,0.25,0.5,0.5,0.35824106247132487,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,1,0,True,4,balanced,B4
q_10__k_100__delta_10,gnn,10.0,100.0,100.0,10.0,2,conservation_prioritized,0.35522581444356444,0.10146419783447613,10.468069609170035,0.35982757790210923,0.07870898374218495,0.2733534915349418,14.317750977876909,10.603677941251528,-2.4501287937164307,9.111804008483887,1.717744592705558,8.120478630065918,-0.016513032838702202,0.03247833251953125,0.033026065677404404,nan,nan,0.0327536646769681,0.033026065677404404,0.0473151683554614,0.4276063078178779,0.4135946020038952,0.4302160848249931,-0.47997409105300903,0.49387770891189575,0.0,1.14386729332097,1.205754041671753,0.6187994480133057,1.6386581659317017,0.6199736893177032,1.6379318952560424,True,True,424.3440227910178,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_10__k_100__delta_10,2,11.561932802200317,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,1.0,0.0,0.75,0.25,0.5,0.5,0.35867713703747306,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,1,True,1,conservation_prioritized,K1
q_1__k_100__delta_0p1,gnn,1.0,100.0,100.0,0.1,2,conservation_prioritized,0.35332898908292276,0.10079353020538818,10.41217248935418,0.3627608941121291,0.07887214293012436,0.27638396400079407,14.5181930713556,10.690119176723938,-2.397724151611328,9.498154640197754,1.8390477686591968,8.468394756317139,-0.016985716298222542,0.03331279754638672,0.033971432596445084,nan,nan,0.03364352952882483,0.033971432596445084,0.021314424039932913,0.4220274506588088,0.40616899056039235,0.42256534853408045,-0.4846494197845459,0.48015546798706055,0.0,1.1127526986708198,1.1340739727020264,0.6159130930900574,1.6163257360458374,0.6167241752147674,1.6143231868743897,True,True,428.2065549760009,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_100__delta_0p1,2,11.895878791809082,0.1878219673586133,0.35341475077723744,0.3625105044153244,0.6350077986138019,0.9994820928029341,0.000918870396644423,0.7498412872013617,0.2505596759982168,0.5002004815997892,0.5002004815997892,0.36040291785482753,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,2,False,True,1,0,True,2,conservation_prioritized,K2
