representative_label,constraint_left,constraint_right,delta_pearson
C1,equal_av,equal_drop,0.9912080265376214
C1,equal_av,fixed_drop_10pa,0.9878635991227455
C1,equal_av,gauge_only,0.9559586517902345
C1,equal_drop,fixed_drop_10pa,0.976601051454477
C1,equal_drop,gauge_only,0.9492334653164225
C1,fixed_drop_10pa,gauge_only,0.9498032167206758
F1,equal_av,equal_drop,0.7206920292195476
F1,equal_av,fixed_drop_10pa,0.7224225439066377
F1,equal_av,gauge_only,0.6828751647450159
F1,equal_drop,fixed_drop_10pa,0.7606398256508969
F1,equal_drop,gauge_only,0.7099173514769381
F1,fixed_drop_10pa,gauge_only,0.628529675134395
K1,equal_av,equal_drop,0.9790776684069653
K1,equal_av,fixed_drop_10pa,0.9763800216689437
K1,equal_av,gauge_only,0.9826386947973765
K1,equal_drop,fixed_drop_10pa,0.9477049560969397
K1,equal_drop,gauge_only,0.9759012516853451
K1,fixed_drop_10pa,gauge_only,0.9649395273383928
B1,equal_av,equal_drop,0.9717023090213082
B1,equal_av,fixed_drop_10pa,0.964514286447258
B1,equal_av,gauge_only,0.9965980007860958
B1,equal_drop,fixed_drop_10pa,0.9986664406133442
B1,equal_drop,gauge_only,0.9731702064512989
B1,fixed_drop_10pa,gauge_only,0.9675796892972627
