parent_step2_run_name,representative_label,constraint_left,constraint_right,delta_pearson,delta_spearman,delta_rmse,delta_mae,conductance_ratio_pearson,hotspot_jaccard_top5,hotspot_jaccard_top10
q_0p1__k_0p1__delta_10,C1,equal_av,equal_drop,0.9912080265376214,0.980077108188422,0.05764330151108859,0.030601668534110126,0.9912585852929514,0.02711323763955343,0.1860036832412523
q_0p1__k_0p1__delta_10,C1,equal_av,fixed_drop_10pa,0.9878635991227455,0.9812964710507205,0.06594187209997565,0.025421682859066277,0.9881860039697755,0.47706422018348627,0.6880733944954128
q_0p1__k_0p1__delta_10,C1,equal_av,gauge_only,0.9559586517902345,0.9577765656098591,0.14290870340161826,0.07200034587151333,0.9588147131811826,0.0,0.0
q_0p1__k_0p1__delta_10,C1,equal_drop,fixed_drop_10pa,0.976601051454477,0.9824143606508523,0.09323169430359779,0.0396914522205768,0.9789889285290695,0.03205128205128205,0.21739130434782608
q_0p1__k_0p1__delta_10,C1,equal_drop,gauge_only,0.9492334653164225,0.9435421336405598,0.1509514937054556,0.06772657978473691,0.9510497106464002,0.009404388714733543,0.054009819967266774
q_0p1__k_0p1__delta_10,C1,fixed_drop_10pa,gauge_only,0.9498032167206758,0.9562982399661507,0.1509930040741975,0.07470142174676529,0.9477694433663706,0.0,0.007036747458952306
q_100__k_0p1__delta_10,F1,equal_av,equal_drop,0.7206920292195476,0.8043645684657631,0.3618137598983014,0.1587820638749748,0.7173792317603385,0.23846153846153847,0.23965351299326276
q_100__k_0p1__delta_10,F1,equal_av,fixed_drop_10pa,0.7224225439066377,0.7629496191495709,0.35272732441944654,0.18188008146185297,0.7221660554698358,0.10843373493975904,0.1448888888888889
q_100__k_0p1__delta_10,F1,equal_av,gauge_only,0.6828751647450159,0.8648137869453645,0.39671446663921267,0.2551236494574186,0.6484144387281695,0.10843373493975904,0.1520572450805009
q_100__k_0p1__delta_10,F1,equal_drop,fixed_drop_10pa,0.7606398256508969,0.8254663125907642,0.3354937384897299,0.17052528684675677,0.7676482524457579,0.13380281690140844,0.28286852589641437
q_100__k_0p1__delta_10,F1,equal_drop,gauge_only,0.7099173514769381,0.8092963780959342,0.3598324350719727,0.22665315091986177,0.687645456405573,0.05057096247960848,0.12
q_100__k_0p1__delta_10,F1,fixed_drop_10pa,gauge_only,0.628529675134395,0.7654153668925809,0.42116722743583984,0.2788528389039532,0.6068721304481431,0.24806201550387597,0.2777777777777778
q_10__k_100__delta_10,K1,equal_av,equal_drop,0.9790776684069653,0.9779426077292265,0.09611183063298773,0.04643661314978597,0.9793280484199232,0.12195121951219512,0.35864978902953587
q_10__k_100__delta_10,K1,equal_av,fixed_drop_10pa,0.9763800216689437,0.9732069304900025,0.0927365957503335,0.04290655650955087,0.9735413473241589,0.025477707006369428,0.09430756159728122
q_10__k_100__delta_10,K1,equal_av,gauge_only,0.9826386947973765,0.9260392843484102,0.0845711407060864,0.05714051924824085,0.9829246918311298,0.10273972602739725,0.2048643592142189
q_10__k_100__delta_10,K1,equal_drop,fixed_drop_10pa,0.9477049560969397,0.9609466393756586,0.13882076502767388,0.0552745140920333,0.945604395419929,0.025477707006369428,0.08600337268128162
q_10__k_100__delta_10,K1,equal_drop,gauge_only,0.9759012516853451,0.9079990678412563,0.10688369673553076,0.06533255753092218,0.9761859226895377,0.0,0.06622516556291391
q_10__k_100__delta_10,K1,fixed_drop_10pa,gauge_only,0.9649395273383928,0.9172621016169132,0.11247280274596407,0.0726890208364444,0.9579758311676233,0.05228758169934641,0.11130284728213978
q_1__k_1__delta_1,B1,equal_av,equal_drop,0.9717023090213082,0.9922396461867986,0.11445458740800572,0.052478012027182816,0.9719287957361118,0.0,0.0
q_1__k_1__delta_1,B1,equal_av,fixed_drop_10pa,0.964514286447258,0.9893132776120529,0.1300918050335294,0.06345487010098412,0.963895173869297,0.0,0.0
q_1__k_1__delta_1,B1,equal_av,gauge_only,0.9965980007860958,0.9963249148053519,0.038841870619734056,0.022552107463617268,0.9966186177563745,0.0,0.0
q_1__k_1__delta_1,B1,equal_drop,fixed_drop_10pa,0.9986664406133442,0.9970747252072241,0.02501941330881694,0.012479062685878844,0.9986286046444706,0.49767441860465117,0.7242302543507363
q_1__k_1__delta_1,B1,equal_drop,gauge_only,0.9731702064512989,0.9897402110834947,0.10542555307274044,0.04183125177427776,0.974838356339333,0.7311827956989247,0.8913362701908958
q_1__k_1__delta_1,B1,fixed_drop_10pa,gauge_only,0.9675796892972627,0.988365600653409,0.11830016366081801,0.04848554624036301,0.9684813744823555,0.5555555555555556,0.7988826815642458
