run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,parent_step2_run_name,representative_label,selection_category,selection_rank_within_regime,pressure_constraint_type,alpha_pa,constraint_description,pressure_constraint_display,gauge_node_id,arterial_node_ids,venous_node_ids,number_of_constraint_equations,gauge_residual_pa,equal_drop_residual_pa,fixed_drop_residual_pa,av_drop_1_pa,av_drop_2_pa,mean_av_drop_pa
q_0p1__k_0p1__delta_10__constraint_equal_av,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.3514281486878805,0.10072421425090516,10.356157051392858,0.3660537679562372,0.0795542025463034,0.2771757134792733,14.632493133825974,10.787156135224079,-2.4502153396606445,9.48067569732666,1.8007450661904967,8.44219160079956,-0.01782824844121933,0.034789085388183594,0.03565649688243866,0.034789085388183594,0.0356564968824386,0.035225514121859265,0.03565649688243866,0.010117177819840536,0.4237524064525923,0.40799934037120067,0.42387316412035636,-0.48594656586647034,0.4777573347091675,0.0,1.1017367707070476,1.0584551095962524,0.615114688873291,1.6124541759490967,0.6168320655822754,1.6093283891677856,True,True,594.9602504240174,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_0p1__k_0p1__delta_10__constraint_equal_av,2.0,11.930891036987305,q_0p1__k_0p1__delta_10,C1,correction_regularized,1.0,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,,,2.0,0.0,0.0008674114942550659,,8.459586143493652,8.460453554987907,8.46001984924078
q_0p1__k_0p1__delta_10__constraint_equal_drop,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.3315589563967894,0.09692000933910148,9.770636293823673,0.38642941130364156,0.08188275932592633,0.26544690382400526,15.439930584060235,11.387601385033303,-6.08592414855957,10.000753402709961,-0.5214757297973531,7.3297624588012695,-2.672058582305908,5.341981887817383,5.344117164611816,5.341981887817381,5.344117164611816,0.002135557821020484,0.002135557821020484,0.013668949548085643,0.43293161369216404,0.4172381375791046,0.4331473448098816,-0.4899613559246063,0.49278271198272705,0.0,1.1095693873070582,1.096909761428833,0.6126500964164734,1.6368647813796997,0.6137667894363403,1.6313410639762878,True,True,599.4200426939933,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_0p1__k_0p1__delta_10__constraint_equal_drop,1.0,16.08667755126953,q_0p1__k_0p1__delta_10,C1,correction_regularized,1.0,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,,,1.0,0.0,0.00213527679443537,,10.00075340270996,10.002888679504395,10.001821041107178
q_0p1__k_0p1__delta_10__constraint_fixed_drop_10pa,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.3428480428237143,0.09916586911449143,10.103311841984773,0.3687593143541622,0.07913824865636314,0.26272040234498895,14.840507295277305,10.866885273346213,-1.6813660860061646,13.686927795410156,2.2624657515147564,10.004088640213013,-0.00860770046710968,7.365678310394287,0.01721540093421936,7.365678310394287,0.0172154009342193,0.012511754278703496,0.01721540093421936,0.008840979303659718,0.42242770640162297,0.4056533748063193,0.4225202125943633,-0.4845677316188812,0.4811352789402008,0.0,1.1000658210287704,1.0105533599853516,0.6159633994102478,1.6179102659225464,0.6177362024784088,1.6138045191764832,True,True,584.4931034010078,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_0p1__k_0p1__delta_10__constraint_fixed_drop_10pa,2.0,15.36829388141632,q_0p1__k_0p1__delta_10,C1,correction_regularized,1.0,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,,,2.0,0.0,7.348462909460068,0.004088640213012695,13.686927795410156,6.3384648859500885,10.012696340680122
q_0p1__k_0p1__delta_10__constraint_gauge_only,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.3225424389609265,0.09586115139018686,9.504930569990632,0.40212675013024185,0.08542611356093076,0.2777965899848638,15.828635277492786,11.850182731417085,-7.108367919921875,7.983896732330322,-1.3034472166632105,5.876343131065369,-3.152573585510254,4.215107202529907,6.305147171020508,4.215107202529907,6.305147171020508,,0.0,0.07583761150998025,0.43029591558740055,0.4210975125894783,0.43692781816993553,-0.49107348918914795,0.49612751603126526,0.14365583658218384,1.1767686394212926,1.362105131149292,0.6119691133499146,1.6423490047454834,0.6177935659885406,1.6414750576019288,True,True,609.6660400630208,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_0p1__k_0p1__delta_10__constraint_gauge_only,0.0,15.092264652252197,q_0p1__k_0p1__delta_10,C1,correction_regularized,1.0,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,,,0.0,0.0,2.0900399684906006,,7.983896732330322,10.073936700820923,9.028916716575623
q_100__k_0p1__delta_10__constraint_equal_av,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.12180142440675137,0.04454623772913096,3.589338773656332,0.7708638067738245,0.13596192887108888,0.39724551908560235,28.50537514365037,22.716412097297642,-1.3936551809310913,8.028660774230957,1.8288345373078019,6.985323429107666,-0.023687535896897316,0.0678558349609375,0.04737507179379463,0.0678558349609375,0.0473750717937946,0.05851847571358698,0.06785592436790466,-0.0345819549817694,0.48462359432917407,0.4810946241373819,0.4858558837668743,-0.49999991059303284,0.4999999403953552,0.8190712332725525,1.0844545101671417,0.6515846252441406,0.6065307259559631,1.6487212181091309,0.6065323352813721,1.6487202644348145,True,True,584.4373594479985,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_100__k_0p1__delta_10__constraint_equal_av,2.0,9.422315955162048,q_100__k_0p1__delta_10,F1,flow_prioritized,1.0,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,,,2.0,0.0,0.020480763167142868,,7.019251346588135,6.998770583420992,7.009010965004563
q_100__k_0p1__delta_10__constraint_equal_drop,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.11915440193593399,0.043551633394629946,3.5113342639757557,0.7663645824975448,0.13126518922189442,0.381825642067555,28.18462824238921,22.58382546930964,-7.1869001388549805,11.265984535217285,-0.5171504148054784,7.801789283752441,-3.4639010429382324,6.9283905029296875,6.927802085876465,6.928390502929686,6.927802085876465,0.0005881355609744787,0.0005881355609744787,-0.08142192482702491,0.4751245228286261,0.4766761238146988,0.4820506633494756,-0.49997997283935547,0.4999995231628418,0.7114458680152893,1.0335882544924817,0.6136170625686646,0.6065427660942078,1.648720383644104,0.6065869271755219,1.6486467719078064,True,True,591.6173426829628,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_100__k_0p1__delta_10__constraint_equal_drop,1.0,18.452884674072266,q_100__k_0p1__delta_10,F1,flow_prioritized,1.0,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,,,1.0,0.0,0.0005884170532208799,,11.265984535217283,11.265396118164062,11.265690326690674
q_100__k_0p1__delta_10__constraint_fixed_drop_10pa,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.13768278180014554,0.04450339613256231,4.05734292178552,0.7198865816242928,0.12139322137321011,0.3563469194744521,27.153914533561974,21.214175717929972,-0.4665108025074005,13.496222496032715,3.028309424890337,9.97890329360962,-0.0022430643439292908,7.034638404846191,0.0044861286878585815,7.034638404846193,0.0044861286878585,0.015251018891951207,0.02109648659825325,0.020179769523088205,0.4456530399339839,0.4320730090095604,0.44610968953880437,-0.4990818500518799,0.4985932409763336,0.252834290266037,1.1224211948242668,1.1327491998672485,0.6070878505706787,1.646403431892395,0.608161324262619,1.644286870956421,True,True,416.4625829780125,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_100__k_0p1__delta_10__constraint_fixed_drop_10pa,2.0,13.962733298540115,q_100__k_0p1__delta_10,F1,flow_prioritized,1.0,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,,,2.0,0.0,7.030152276158335,0.02109670639038086,13.496222496032717,6.466070219874382,9.981146357953548
q_100__k_0p1__delta_10__constraint_gauge_only,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.1736399806473858,0.054252435477329955,5.116957525170375,0.6456111873789988,0.11308410694331746,0.3432380546236277,24.59197429027782,19.02537083496781,-7.259071350097656,12.120339393615723,-0.5499183806843353,7.921251654624939,-3.3075075149536133,8.398175477981567,6.615015029907227,8.39817547798157,6.615015029907227,,0.0,-0.21358450016922367,0.33098767748652186,0.3693367086773956,0.39391773425483106,-0.48441678285598755,0.4841115474700928,0.0,0.8580715505579537,0.665993332862854,0.6160563826560974,1.6227326393127441,0.6188623785972596,1.5856166005134582,True,True,1503.0179012340013,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_100__k_0p1__delta_10__constraint_gauge_only,0.0,19.37941074371338,q_100__k_0p1__delta_10,F1,flow_prioritized,1.0,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,,,0.0,0.0,1.7831604480743426,,12.120339393615724,10.337178945541382,11.228759169578552
q_10__k_100__delta_10__constraint_equal_av,gnn,10.0,100.0,100.0,10.0,2,conservation_prioritized,0.35522588895574886,0.10146420595711773,10.468071804952833,0.3598274481383366,0.07870896041469341,0.27335343596958045,14.31774577370648,10.603674117272107,-2.4501283168792725,9.11180591583252,1.7177455502210246,8.120481014251709,-0.016513017937541008,0.032479286193847656,0.033026035875082016,0.032479286193847656,0.033026035875082,0.032753635701009746,0.033026035875082016,0.04731507656273045,0.42760628830133746,0.41359456782986015,0.43021605533148743,-0.4799741804599762,0.49387767910957336,0.0,1.1438671783142753,1.2057538032531738,0.6187993884086609,1.6386581659317017,0.6199735760688782,1.6379318952560424,True,True,584.1179538739962,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_10__k_100__delta_10__constraint_equal_av,2.0,11.561934232711792,q_10__k_100__delta_10,K1,conservation_prioritized,1.0,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,,,2.0,0.0,0.0005467496812343597,,8.136720657348633,8.137267407029867,8.13699403218925
q_10__k_100__delta_10__constraint_equal_drop,gnn,10.0,100.0,100.0,10.0,2,conservation_prioritized,0.3371887710321946,0.09607777370834632,9.936540034751005,0.3751771615715745,0.07917392363603695,0.25509783630091326,15.079848827981301,11.05601136914566,-5.94130802154541,10.240549087524414,-0.30554789348834466,7.645367622375488,-2.596036672592163,5.190362930297852,5.192073345184326,5.190362930297852,5.192073345184326,0.001710350625216961,0.001710350625216961,0.006595312427854986,0.415787811809064,0.40051920532778035,0.41584011662535886,-0.4711765646934509,0.47994402050971985,0.0,1.0949899849174816,1.0026816129684448,0.6242673397064209,1.6159839630126953,0.6263448297977448,1.6065313220024109,True,True,627.47474908398,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/gnn/q_10__k_100__delta_10__constraint_equal_drop,1.0,16.181857109069824,q_10__k_100__delta_10,K1,conservation_prioritized,1.0,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,,,1.0,0.0,0.0017104148864746094,,10.240549087524414,10.242259502410889,10.241404294967651
