run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,parent_step2_run_name,representative_label,selection_category,selection_rank_within_regime,pressure_constraint_type,alpha_pa,constraint_description,pressure_constraint_display,gauge_node_id,arterial_node_ids,venous_node_ids,number_of_constraint_equations,gauge_residual_pa,equal_drop_residual_pa,fixed_drop_residual_pa,av_drop_1_pa,av_drop_2_pa,mean_av_drop_pa
poiseuille__q_0p1__k_0p1__constraint_equal_av,poiseuille_baseline,0.1,0.1,100.0,,0,,0.21460137267609633,0.06993019669137387,6.324039571605282,0.5986182920209557,0.11690727095307693,0.36556275991332443,22.932482302007173,17.640547773853847,-2.134706735610962,7.925695419311523,1.302658275418952,6.99521279335022,-0.003036231268197298,0.006440639495849609,0.006072462536394596,,,0.006259258677008556,0.006440639495849609,,,,,,,,,,,,,,True,True,3.760314638959244,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_0p1__k_0p1__constraint_equal_av,,10.060402154922485,,,,,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,14277|14352,7135|12346,2.0,0.0,,,,,
poiseuille__q_0p1__k_0p1__constraint_equal_drop,poiseuille_baseline,0.1,0.1,100.0,,0,,0.20579481835708927,0.06538749789593101,6.064521203626569,0.5931537505546312,0.11033656033267283,0.3376519699146816,22.924698597770465,17.47951443076394,-5.702037334442139,8.735174179077148,-0.9030224670605429,6.138193845748901,-2.597076177597046,5.193960666656494,5.194152355194092,,,0.00019168853759765625,0.00019168853759765625,,,,,,,,,,,,,,True,True,3.6874696040176786,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_0p1__k_0p1__constraint_equal_drop,,14.437211513519287,,,,,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,14277|14352,7135|12346,1.0,0.0,,,,,
poiseuille__q_0p1__k_0p1__constraint_fixed_drop_10pa,poiseuille_baseline,0.1,0.1,100.0,,0,,0.2086640371298287,0.06694515658416483,6.149073566140036,0.5946194571541534,0.11170725237298645,0.34624462043157683,22.92116149660295,17.522707008798992,-0.778343915939331,14.233818054199219,2.503701686653261,9.996819496154785,-0.0005839062505401671,8.473997116088867,0.0011678125010803342,,,0.0023957661349875026,0.0031805038452148438,,,,,,,,,,,,,,True,True,3.7344920019968413,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_0p1__k_0p1__constraint_fixed_drop_10pa,,15.01216197013855,,,,,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,14277|14352,7135|12346,2.0,0.0,,,,,
poiseuille__q_0p1__k_0p1__constraint_gauge_only,poiseuille_baseline,0.1,0.1,100.0,,0,,0.2057619415211126,0.06518586779846826,6.063552363543615,0.5931367147771696,0.11022773702231388,0.33659316924384464,22.925104523063844,17.479012407270535,-6.2691826820373535,8.106962203979492,-1.242765728006199,5.783351540565491,-2.9053897857666016,4.647221326828003,5.810779571533203,,,,,,,,,,,,,,,,,,True,True,3.7397025499994925,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_0p1__k_0p1__constraint_gauge_only,,14.376144886016846,,,,,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,14277|14352,7135|12346,0.0,0.0,,,,,
poiseuille__q_100__k_0p1__constraint_equal_av,poiseuille_baseline,100.0,0.1,100.0,,0,,0.04043841796714581,0.017611495078511723,1.191670641470363,1.8639866787218693,0.5601785709823675,2.63450505985294,35.018776073370006,54.92940408621728,-1.7236980199813843,10.006423950195312,2.2358063860548736,7.977479457855225,-0.20721319317817688,0.3836851119995117,0.41442638635635376,,,0.3993516588662577,0.41442638635635376,,,,,,,,,,,,,,True,True,3.6106408830091823,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_100__k_0p1__constraint_equal_av,,11.730121970176697,,,,,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,14277|14352,7135|12346,2.0,0.0,,,,,
poiseuille__q_100__k_0p1__constraint_equal_drop,poiseuille_baseline,100.0,0.1,100.0,,0,,0.039506381820927465,0.017470485597771198,1.1642046779616038,1.7232584347048232,0.5337257856532498,2.2803551798580908,35.01883505396819,50.78231512351255,-3.420387029647827,9.280230522155762,1.1636014740339762,7.533554792404175,-1.5770286321640015,3.124145984649658,3.154057264328003,,,0.029911279678344727,0.029911279678344727,,,,,,,,,,,,,,True,True,3.697210885002278,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_100__k_0p1__constraint_equal_drop,,12.700617551803589,,,,,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,14277|14352,7135|12346,1.0,0.0,,,,,
poiseuille__q_100__k_0p1__constraint_fixed_drop_10pa,poiseuille_baseline,100.0,0.1,100.0,,0,,0.039943618665837954,0.01749889570501269,1.177089512177232,1.795269731026532,0.5475730829337373,2.417400426970449,35.01935200156403,52.90439981412835,-0.7297507524490356,12.191873550415039,2.9985056909465158,9.753098487854004,-0.060488611459732056,4.87755012512207,0.12097722291946411,,,0.19441687833787114,0.2469015121459961,,,,,,,,,,,,,,True,True,3.6659474259940907,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_100__k_0p1__constraint_fixed_drop_10pa,,12.921624302864075,,,,,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,14277|14352,7135|12346,2.0,0.0,,,,,
poiseuille__q_100__k_0p1__constraint_gauge_only,poiseuille_baseline,100.0,0.1,100.0,,0,,0.03946319127993617,0.017470961599793316,1.1629319056258915,1.7238116056639834,0.535370635679493,2.2701007306585903,35.018668520514495,50.79861639405881,-4.02003812789917,8.70760726928711,0.8102821836853317,7.135993719100952,-1.9328230619430542,2.4625306129455566,3.8656461238861084,,,,,,,,,,,,,,,,,,True,True,3.7265980539959855,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_100__k_0p1__constraint_gauge_only,,12.72764539718628,,,,,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,14277|14352,7135|12346,0.0,0.0,,,,,
poiseuille__q_10__k_100__constraint_equal_av,poiseuille_baseline,10.0,100.0,100.0,,0,,0.45350683739920294,0.10646829768382278,13.364290963948607,0.18873209069145486,0.04828205822414948,0.171646105261072,7.457677704547638,5.561703520722645,-2.880014419555664,8.150676727294922,0.6336831581361391,6.343386173248291,-0.42917218804359436,0.8970823287963867,0.8583443760871887,,,0.8779270392803874,0.8970823287963867,,,,,,,,,,,,,,True,True,3.648845624004025,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_10__k_100__constraint_equal_av,,11.030691146850586,,,,,equal_av,,Equal arterial and equal venous pressures with gauge.,Equal A/V,7135,14277|14352,7135|12346,2.0,0.0,,,,,
poiseuille__q_10__k_100__constraint_equal_drop,poiseuille_baseline,10.0,100.0,100.0,,0,,0.44813335386810055,0.10104903302500826,13.205940986666072,0.18590607235516599,0.04680818641667117,0.1632629619062291,7.452252356876521,5.478424222151953,-6.312205791473389,8.576872825622559,-1.4675012110384038,5.602011799812317,-2.988741636276245,5.949722051620483,5.97748327255249,,,0.027761220932006836,0.027761220932006836,,,,,,,,,,,,,,True,True,3.748083341983147,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_10__k_100__constraint_equal_drop,,14.889078617095947,,,,,equal_drop,,Equal arterial-venous drops with gauge.,Equal drop,7135,14277|14352,7135|12346,1.0,0.0,,,,,
poiseuille__q_10__k_100__constraint_fixed_drop_10pa,poiseuille_baseline,10.0,100.0,100.0,,0,,0.45005522461512115,0.10327512181164636,13.262576163338558,0.18697720624427308,0.04737640035753753,0.17502602692913788,7.451671224512069,5.509989225752489,-0.9071904420852661,14.350025177001953,2.1955642321742106,9.583950757980347,-0.11303161829710007,9.532148838043213,0.22606323659420013,,,0.3348145447292974,0.4160492420196533,,,,,,,,,,,,,,True,True,3.6510777460061945,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_10__k_100__constraint_fixed_drop_10pa,,15.25721561908722,,,,,fixed_drop_10pa,10.0,Mean arterial minus venous pressure equals 10 Pa with equal venous pressure.,"Fixed drop, 10 Pa",7135,14277|14352,7135|12346,2.0,0.0,,,,,
poiseuille__q_10__k_100__constraint_gauge_only,poiseuille_baseline,10.0,100.0,100.0,,0,,0.4481117122370299,0.1008381653724404,13.205303234308861,0.18589704633533619,0.0467705180149674,0.16132717110448605,7.4522827145373505,5.478158236404211,-6.891534805297852,7.934879302978516,-1.8191207998710368,5.241275429725647,-3.3030288219451904,5.387207746505737,6.606057643890381,,,,,,,,,,,,,,,,,,True,True,3.740022324000165,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/Somites21_demo/PerTileFlow/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/03_pressure_constraint_sensitivity/poiseuille/poiseuille__q_10__k_100__constraint_gauge_only,,14.826414108276367,,,,,gauge_only,,Gauge only: P[V_reference] = 0.,Gauge only,7135,14277|14352,7135|12346,0.0,0.0,,,,,
