representative_label,model_family,constraint_left,constraint_right,pressure_pearson_aligned
C1,gnn,equal_av,equal_drop,0.9299551438594083
C1,gnn,equal_av,fixed_drop_10pa,0.9194177352195737
C1,gnn,equal_av,gauge_only,0.8947919483459478
C1,gnn,equal_drop,fixed_drop_10pa,0.8869728413162721
C1,gnn,equal_drop,gauge_only,0.9897506412670555
C1,gnn,fixed_drop_10pa,gauge_only,0.8129540936857882
F1,gnn,equal_av,equal_drop,0.893749094742469
F1,gnn,equal_av,fixed_drop_10pa,0.8997527734826755
F1,gnn,equal_av,gauge_only,0.8929624425399456
F1,gnn,equal_drop,fixed_drop_10pa,0.825606604270907
F1,gnn,equal_drop,gauge_only,0.9880681390729354
F1,gnn,fixed_drop_10pa,gauge_only,0.8784545086550127
K1,gnn,equal_av,equal_drop,0.9375679724340799
K1,gnn,equal_av,fixed_drop_10pa,0.894644145696588
K1,gnn,equal_av,gauge_only,0.9149225773618258
K1,gnn,equal_drop,fixed_drop_10pa,0.881871681913731
K1,gnn,equal_drop,gauge_only,0.9956609012563759
K1,gnn,fixed_drop_10pa,gauge_only,0.8391871322848327
B1,gnn,equal_av,equal_drop,0.9221262782271704
B1,gnn,equal_av,fixed_drop_10pa,0.8955220795606096
B1,gnn,equal_av,gauge_only,0.9054977577346534
B1,gnn,equal_drop,fixed_drop_10pa,0.8611713179023445
B1,gnn,equal_drop,gauge_only,0.9942219265955043
B1,gnn,fixed_drop_10pa,gauge_only,0.8045531685690078
,poiseuille_baseline,equal_av,equal_drop,0.9088953925324694
,poiseuille_baseline,equal_av,fixed_drop_10pa,0.8569794872259453
,poiseuille_baseline,equal_av,gauge_only,0.899610536945755
,poiseuille_baseline,equal_drop,fixed_drop_10pa,0.8519050070035559
,poiseuille_baseline,equal_drop,gauge_only,0.9973890894550272
,poiseuille_baseline,fixed_drop_10pa,gauge_only,0.812679778142224
,poiseuille_baseline,equal_av,equal_drop,0.9112448442628402
,poiseuille_baseline,equal_av,fixed_drop_10pa,0.8584975283755424
,poiseuille_baseline,equal_av,gauge_only,0.9020321138512205
,poiseuille_baseline,equal_drop,fixed_drop_10pa,0.8525311491563333
,poiseuille_baseline,equal_drop,gauge_only,0.9973969294141611
,poiseuille_baseline,fixed_drop_10pa,gauge_only,0.8134278385844
,poiseuille_baseline,equal_av,equal_drop,0.9180210348057051
,poiseuille_baseline,equal_av,fixed_drop_10pa,0.836966792088897
,poiseuille_baseline,equal_av,gauge_only,0.9105258474126648
,poiseuille_baseline,equal_drop,fixed_drop_10pa,0.8352341128995233
,poiseuille_baseline,equal_drop,gauge_only,0.9975074484020185
,poiseuille_baseline,fixed_drop_10pa,gauge_only,0.7950228059690085
,poiseuille_baseline,equal_av,equal_drop,0.9789507533620991
,poiseuille_baseline,equal_av,fixed_drop_10pa,0.9581213169622858
,poiseuille_baseline,equal_av,gauge_only,0.970023846007609
,poiseuille_baseline,equal_drop,fixed_drop_10pa,0.9474649035359397
,poiseuille_baseline,equal_drop,gauge_only,0.9961185530672239
,poiseuille_baseline,fixed_drop_10pa,gauge_only,0.916351679018678
