plot_label,run_name,selection_category,selection_rank_within_regime,selection_score,selection_score_formula,selection_score_regime,lambda_q,lambda_k,lambda_delta,flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,delta_rms
F1,q_10__k_0p1__delta_0p1,flow_prioritized,1,0.458385748205582,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,10.0,0.1,0.1,0.458451068385279,0.4581897876664911,0.4271249473002579
F2,q_100__k_10__delta_0p1,flow_prioritized,2,0.4569470679007575,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,10.0,0.1,0.454857301360666,0.463216367521032,0.4516024436540722
F3,q_100__k_0p1__delta_0p1,flow_prioritized,3,0.4478082793365725,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,0.1,0.4351695888776961,0.4857243507132016,0.4345003708137989
F4,q_100__k_0p1__delta_10,flow_prioritized,4,0.447566474386407,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,100.0,0.1,10.0,0.4307941858490536,0.4978833399984672,0.3899181675188297
B1,q_10__k_10__delta_0p1,balanced,1,0.4587893112295252,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,10.0,10.0,0.1,0.4551438878254024,0.462434734633648,0.4411167000968031
B2,q_100__k_100__delta_0p1,balanced,2,0.4595331334542032,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,100.0,100.0,0.1,0.4526625087636649,0.4664037581447415,0.4396772574115594
B3,q_10__k_10__delta_1,balanced,3,0.4611979934075922,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,10.0,10.0,1.0,0.4477782479942738,0.4746177388209107,0.4334198701411582
B4,q_100__k_1__delta_100,balanced,4,0.4615123830602075,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,100.0,1.0,100.0,0.4504261559362235,0.4725986101841914,0.4112339860489691
K1,q_0p1__k_10__delta_0p1,conservation_prioritized,1,0.458498306082189,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,10.0,0.1,0.4563310197165284,0.4592207348707425,0.4565251792425462
K2,q_1__k_10__delta_1,conservation_prioritized,2,0.4601020095349748,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1.0,10.0,1.0,0.4561548543664835,0.4614177279244719,0.4508450113107811
K3,q_0p1__k_10__delta_1,conservation_prioritized,3,0.4619038467981821,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,10.0,1.0,0.4527634528717518,0.4649506447736589,0.4446951727592004
K4,q_0p1__k_100__delta_0p1,conservation_prioritized,4,0.4644060619967525,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,0.1,100.0,0.1,0.4512928049169707,0.4687771476900132,0.4422463071253384
C1,q_0p1__k_1__delta_100,correction_regularized,1,0.4583173645667422,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,1.0,100.0,0.4596572709547534,0.4569774581787311,0.4327616482605137
C2,q_10__k_10__delta_100,correction_regularized,2,0.4610813872541178,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,10.0,10.0,100.0,0.4492800982733489,0.4728826762348867,0.430662753547843
C3,q_0p1__k_0p1__delta_100,correction_regularized,3,0.4652740504760784,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,0.1,0.1,100.0,0.4294218912424355,0.5011262097097212,0.3052744012897097
C4,q_1__k_0p1__delta_100,correction_regularized,4,0.4686875802154291,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1.0,0.1,100.0,0.4188089724404771,0.5185661879903811,0.2711149520070329
