run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_0p1__k_0p1__delta_0p1,gnn,0.1,0.1,100.0,0.1,2,balanced,0.4565316356363982,0.08204558061663607,12.033494427226014,0.46479620738757516,0.08310917169154335,0.2449588356592467,13.008330523867073,12.251336237843503,-1.6940819025039673,5.957920551300049,2.814967513351979,5.596510410308838,-0.008557090535759926,0.018507003784179688,0.01711418107151985,nan,nan,0.017824160384704215,0.01850692369043827,0.017126393966332448,0.43473507579790677,0.4198208485739231,0.43507229226796945,-0.4866708517074585,0.4907868802547455,0.0,1.1145005778582093,1.065711498260498,0.6146693229675293,1.6336010694503784,0.6159358084201813,1.6322731733322144,True,True,2440.900382200998,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_0p1,2,7.652002453804016,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9635749672584671,0.06967931085378952,0.7401010531572978,0.29315322495495894,0.5166271390561283,0.5166271390561283,0.46066392151198665,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,3,False,True,7,0,False,nan,balanced,
q_0p1__k_0p1__delta_1,gnn,0.1,0.1,100.0,1.0,2,correction_regularized,0.45619005364926335,0.080022792951669,12.02449083444564,0.46227925052875535,0.08130839983033454,0.23948012626770496,12.948067965035115,12.18499300120897,-1.8705247640609741,6.426222801208496,3.0768629544538126,6.201661586761475,-0.006697469856590033,0.015240669250488281,0.013394939713180065,nan,nan,0.014347373337720432,0.015240401029586792,0.0008606022366669057,0.42089833007216393,0.4032616207546768,0.4208992098991726,-0.48989278078079224,0.47844740748405457,0.0,1.090642836675601,1.0339092016220093,0.61269211769104,1.6135672330856323,0.613590556383133,1.610178005695343,True,True,595.2974446519511,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_1,2,8.29674756526947,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9553429274033621,0.03390663596414665,0.7249838545435583,0.2642657088239505,0.4946247816837544,0.4946247816837544,0.4592346520890094,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,2,False,True,1,1,False,nan,correction_regularized,
q_0p1__k_0p1__delta_10,gnn,0.1,0.1,100.0,10.0,2,correction_regularized,0.4527315647186619,0.07916807766014286,11.93333021374736,0.4665245532543072,0.08124787974325133,0.23648617379678072,13.043013717684016,12.296892862471822,-1.9684698581695557,6.852795124053955,3.256892376113594,6.5510053634643555,-0.00625647883862257,0.014684677124023438,0.01251295767724514,nan,nan,0.013642246025421047,0.014684947207570076,-0.030399425513243254,0.44458316038484297,0.43353603332910434,0.4456212647184968,-0.48992952704429626,0.48950886726379395,0.0,1.069581045230958,0.8201199173927307,0.6126695871353149,1.6315146684646606,0.6137998402118683,1.627765941619873,True,True,598.9515048919711,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_10,2,8.82126498222351,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.8719942152714467,0.09424371869050309,0.6775565911262108,0.288681342835739,0.4831189669809749,0.4831189669809749,0.4596280589864845,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,2,False,True,1,5,False,nan,correction_regularized,
q_0p1__k_0p1__delta_100,gnn,0.1,0.1,100.0,100.0,2,correction_regularized,0.4294218912424355,0.07489662998603769,11.318921914340857,0.5011262097097212,0.08514712897238065,0.24312502152571552,13.860227202067144,13.208941026557072,-1.9185682535171509,6.095165729522705,2.663522958190119,5.436843395233154,-0.00794490147382021,0.01894664764404297,0.01588980294764042,nan,nan,0.017485112696036358,0.018946567550301552,0.0045325012889353405,0.3052407517269866,0.29352975434409484,0.30527440128970973,-0.3987762928009033,0.3457934260368347,0.0,1.0512011145412377,1.0604411363601685,0.6711408495903015,1.4131107330322266,0.6795036971569062,1.3941797614097595,True,True,593.3984459789999,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_0p1__delta_100,2,8.013733983039856,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.3102369555421065,0.5860256110519937,0.3791841194195783,0.5170784471745219,0.4481312832970501,0.4481312832970501,0.4652740504760784,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,correction_regularized,1,True,False,0,3,True,3,correction_regularized,C3
q_0p1__k_100__delta_0p1,gnn,0.1,100.0,100.0,0.1,2,conservation_prioritized,0.4512928049169707,0.07880854580343497,11.895406646782206,0.4687771476900132,0.08145363274187761,0.23551888792081824,13.099810299010972,12.356267899102267,-2.0025620460510254,6.6936140060424805,3.2409975655444,6.549158573150635,-0.006274285260587931,0.014584541320800781,0.012548570521175861,nan,nan,0.013604834111922549,0.014584800228476524,-0.031247820479432007,0.4411409863992262,0.4294179050927806,0.44224630712533847,-0.49423718452453613,0.4884308874607086,0.0,1.067057619740604,0.8164320588111877,0.6100360751152039,1.6297569274902344,0.6123027920722961,1.6258747935295106,True,True,598.0334288180165,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_0p1,2,8.696176052093506,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.8373204664336056,0.1262590979467508,0.6595551243118919,0.3040244400684645,0.4817897821901782,0.4817897821901782,0.46440606199675255,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,4,True,4,conservation_prioritized,K4
q_0p1__k_100__delta_1,gnn,0.1,100.0,100.0,1.0,2,conservation_prioritized,0.44283419545750896,0.07804020361685399,11.6724502909743,0.48326461893203365,0.0833556550123925,0.2419204336097565,13.477305209341761,12.738136078319311,-1.9808695316314697,6.6556901931762695,3.1840501661826974,6.441929817199707,-0.006737304385751486,0.015425682067871094,0.013474608771502972,nan,nan,0.014483101994993702,0.015425803139805794,-0.033655026529004844,0.4388539648871021,0.42759680318288734,0.4401425488495753,-0.491977721452713,0.48614826798439026,0.0,1.063665999178006,0.8108638525009155,0.6114159822463989,1.6260411739349365,0.614075881242752,1.621093738079071,True,True,594.8154516899958,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_1,2,8.63655972480774,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.6334701089451503,0.33216473232335897,0.5581437647897025,0.4074910764788068,0.48281742063425465,0.48281742063425465,0.47315701306340247,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,1,False,nan,conservation_prioritized,
q_0p1__k_100__delta_10,gnn,0.1,100.0,100.0,10.0,2,conservation_prioritized,0.4369160559695986,0.07761896347995235,11.516456942456312,0.49520541395645756,0.08563690266039928,0.2439143207072855,13.790728975449085,13.05287766283788,-1.732313632965088,6.0351881980896,2.8350488060978605,5.7307703495025635,-0.007721306290477514,0.01645517349243164,0.015442612580955029,nan,nan,0.015957023385535226,0.016455361619591713,0.025345090938169966,0.386094940608258,0.3705017312188409,0.3869259319274938,-0.4468442499637604,0.46668073534965515,0.0,1.103000536683665,1.0377795696258545,0.6396435499191284,1.5946922302246094,0.6489151418209076,1.5876795768737793,True,True,592.7406858709874,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_10,2,7.7675018310546875,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.4908444378985241,0.5018753003991554,0.4936021535236819,0.4991175847739976,0.4963598691488398,0.4963598691488398,0.48063307445974285,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,2,False,True,1,0,False,nan,conservation_prioritized,
q_0p1__k_100__delta_100,gnn,0.1,100.0,100.0,100.0,2,balanced,0.44404362822219773,0.0788025718756775,11.704329138567632,0.48178169215428496,0.08384106424128554,0.24410313587087612,13.435973687803138,12.6990483356021,-1.9448517560958862,6.533866882324219,3.0795528828563326,6.2260582447052,-0.007061935495585203,0.015752315521240234,0.014123870991170406,nan,nan,0.014960250418252581,0.015752285718917847,-0.018620567974707656,0.44549892190786233,0.4343745129425818,0.44588789507315707,-0.4891646206378937,0.48556455969810486,0.0,1.0817173666734838,0.8833178877830505,0.6131383776664734,1.6250922679901123,0.6136058688163757,1.6220792055130004,True,True,588.3455480809789,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_100__delta_100,2,8.478718638420105,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.6626171339522304,0.31108838478102413,0.5747349466594288,0.3989705720738257,0.4868527593666273,0.4868527593666273,0.46291266018824134,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,2,False,True,1,2,False,nan,balanced,
q_0p1__k_10__delta_0p1,gnn,0.1,10.0,100.0,0.1,2,conservation_prioritized,0.45633101971652845,0.0793859730418576,12.028206490169033,0.45922073487074255,0.08019333306067494,0.2334734700492828,12.863128964757387,12.104375080667767,-2.115222692489624,6.811243534088135,3.2709459387765474,6.612297773361206,-0.00543633196502924,0.013011455535888672,0.01087266393005848,nan,nan,0.011989863024483256,0.013011488132178783,-0.01805245349706038,0.45616811397243967,0.4441023630935086,0.4565251792425462,-0.4978485703468323,0.49836665391921997,0.32396334409713745,1.0876984183305833,0.8590908646583557,0.6078369617462158,1.6460305452346802,0.6089461922645569,1.645390772819519,True,True,593.9897047529812,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_0p1,2,8.926466226577759,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9587401741190843,0.0,0.7190551305893133,0.23968504352977107,0.47937008705954215,0.47937008705954215,0.458498306082189,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,4,True,1,conservation_prioritized,K1
q_0p1__k_10__delta_1,gnn,0.1,10.0,100.0,1.0,2,conservation_prioritized,0.4527634528717518,0.07912912901008881,11.934170738001427,0.4649506447736589,0.08117944318628388,0.23771551540359115,13.00847016910689,12.255406977480645,-1.9871726036071777,6.622504234313965,3.170625923505253,6.4100258350372314,-0.005972488783299923,0.013675212860107422,0.011944977566599846,nan,nan,0.012839496075258304,0.013675629161298275,-0.004725809594985247,0.4446700612802775,0.43110293214893414,0.44469517275920045,-0.49336111545562744,0.4982779920101166,0.2301599532365799,1.0966553310278615,0.8865349888801575,0.6105707287788391,1.64588463306427,0.6152693569660187,1.6455042958259583,True,True,591.5053635959921,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_1,2,8.609676837921143,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.8727627117291894,0.07187427831372839,0.6725406033753242,0.2720963866675936,0.4723184950214589,0.4723184950214589,0.4619038467981821,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,8,True,3,conservation_prioritized,K3
