run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,flow_rmse_p05,flow_rmse_p95,kirchhoff_rms_p05,kirchhoff_rms_p95,flow_rmse_rank_scaled,kirchhoff_rms_rank_scaled,score_flow_prioritized,score_conservation_prioritized,score_balanced,score_correction_regularized,selection_score,selection_score_formula,selection_score_regime,pareto_rank,is_pareto_front,dominated,n_dominating_runs,n_dominated_runs,selected_representative,selection_rank_within_regime,selection_category,plot_label
q_10__k_0p1__delta_0p1,gnn,10.0,0.1,100.0,0.1,2,flow_prioritized,0.458451068385279,0.08041886764653108,12.084087817659723,0.4581897876664911,0.08087161535516058,0.23778305171216774,12.85557771346646,12.077200846794948,-1.8834571838378906,6.2412333488464355,3.019193409691642,6.098677635192871,-0.006065350025892258,0.014378547668457031,0.012130700051784515,nan,nan,0.013302120957938132,0.014378419145941734,0.0269125906393526,0.4262762403316957,0.41263620114467875,0.42712494730025796,-0.47815343737602234,0.48673591017723083,0.0,1.1211687270705235,1.122434139251709,0.6199271082878113,1.6269969940185547,0.6242422163486481,1.6220183372497559,True,True,432.21192230199813,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_10__k_0p1__delta_0p1,2,8.124690532684326,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,1.0,0.0,0.75,0.25,0.5,0.5,0.45838574820558203,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,1,True,1,flow_prioritized,F1
q_100__k_10__delta_0p1,gnn,100.0,10.0,100.0,0.1,2,flow_prioritized,0.454857301360666,0.07955589179557498,11.989361467747202,0.46321636752103207,0.0811046190348841,0.2374547214130213,12.95395995332127,12.20969401034824,-1.992056965827942,6.646928310394287,3.16935326276573,6.380506277084351,-0.006659295409917831,0.015059947967529297,0.013318590819835663,nan,nan,0.014216112246389316,0.015060239471495152,-0.020312864085063966,0.45114538085520567,0.44063467311257604,0.45160244365407226,-0.4905838668346405,0.49016985297203064,0.0,1.082942277493916,0.8381878733634949,0.6122688055038452,1.6325935125350952,0.6135976850986481,1.6310776948928833,True,True,585.9213904479984,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_100__k_10__delta_0p1,2,8.638985276222229,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9232239329307864,0.04722556965218531,0.7042243421111362,0.2662251604718356,0.48522475129148585,0.48522475129148585,0.4569470679007575,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,5,True,2,flow_prioritized,F2
q_100__k_0p1__delta_0p1,gnn,100.0,0.1,100.0,0.1,2,flow_prioritized,0.43516958887769613,0.07714694604955012,11.470422669303597,0.4857243507132016,0.08349783444968584,0.24672076989924743,13.331913698011455,12.80297094707905,-1.8474493026733398,6.305054664611816,2.9379889815089673,5.953516006469727,-0.0066514164209365845,0.01621532440185547,0.013302832841873169,nan,nan,0.014830706810998285,0.0162152498960495,-0.002683894834614608,0.43449208156863256,0.41856005694759657,0.4345003708137989,-0.48540347814559937,0.4814264178276062,0.0,1.0933663547177883,0.9799983501434326,0.6154488325119019,1.6183812618255615,0.6164283096790314,1.6134823322296143,True,True,590.8003786910001,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_0p1,2,8.152503967285156,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.4487550208693575,0.36712408612201775,0.4283472871825225,0.38753181980885265,0.4079395534956876,0.4079395534956876,0.4478082793365725,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,5,True,3,flow_prioritized,F3
q_100__k_0p1__delta_10,gnn,100.0,0.1,100.0,10.0,2,flow_prioritized,0.4307941858490536,0.07559531802016675,11.35509355768871,0.4978833399984672,0.0855809826794627,0.2400628049755057,13.667979074927228,13.123463807559537,-1.6032720804214478,5.636296272277832,2.4952018217175898,5.020365476608276,-0.00677234074100852,0.014991283416748047,0.01354468148201704,nan,nan,0.014286236699777348,0.014991153962910175,0.08694719010619617,0.38010046500087163,0.3658993391802458,0.38991816751882974,-0.4798429310321808,0.47024285793304443,0.0,1.1672757487893937,1.3488125801086426,0.6188806295394897,1.6003828048706055,0.6246302187442779,1.5805334210395812,True,True,593.6843242490002,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_100__k_0p1__delta_10,2,7.23956835269928,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.3433089099193898,0.5399357770194169,0.39246562669439655,0.4907790602444101,0.4416223434694033,0.4416223434694033,0.447566474386407,0.75*flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,flow_prioritized,1,True,False,0,4,True,4,flow_prioritized,F4
q_10__k_10__delta_0p1,gnn,10.0,10.0,100.0,0.1,2,balanced,0.4551438878254024,0.0794249238072548,11.996915460410856,0.46243473463364804,0.08078606513483987,0.23354850226063018,12.926228663834305,12.18909133079601,-2.0457890033721924,6.702141284942627,3.2359533092713697,6.524209022521973,-0.005991485435515642,0.014011383056640625,0.011982970871031284,nan,nan,0.013036552348381972,0.014011131599545479,-0.015727111852645043,0.44083625197692666,0.42764073952704734,0.44111670009680315,-0.4926239550113678,0.48638665676116943,0.0,1.0825382763507445,0.9123326539993286,0.6110210418701172,1.6264288425445557,0.6121381223201752,1.6226976990699769,True,True,587.2829584720021,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_10__k_10__delta_0p1,2,8.74793028831482,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9301305945479057,0.03611648009212322,0.7066270659339601,0.2596200087060688,0.48312353732001445,0.48312353732001445,0.4587893112295252,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,5,True,1,balanced,B1
q_100__k_100__delta_0p1,gnn,100.0,100.0,100.0,0.1,2,balanced,0.4526625087636649,0.0790505721190056,11.931510001554473,0.4664037581447415,0.08109701193785926,0.23826687557638712,13.04997516299311,12.29370888317153,-1.9204946756362915,6.847293376922607,3.314524933886762,6.672645330429077,-0.006050212774425745,0.014859676361083984,0.01210042554885149,nan,nan,0.013550509458370039,0.014859754592180252,-0.03871982903144367,0.43796902347623134,0.4267144973086806,0.4396772574115594,-0.4908934533596039,0.47675615549087524,0.0,1.057706179687706,0.827810525894165,0.6120792627334595,1.6108406782150269,0.6124581754207611,1.6063286781311035,True,True,587.3856529910117,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_100__k_100__delta_0p1,2,8.767788052558899,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.8703299841492614,0.09252689777336642,0.6758792125552877,0.28697766936734015,0.48142844096131393,0.48142844096131393,0.4595331334542032,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,8,True,2,balanced,B2
q_10__k_10__delta_1,gnn,10.0,10.0,100.0,1.0,2,balanced,0.4477782479942738,0.07858539197257572,11.802768157262227,0.4746177388209107,0.08229202602436149,0.23476044784358333,13.23720300039355,12.51021718835007,-2.038454055786133,6.705699920654297,3.20314654930417,6.478896141052246,-0.006293616723269224,0.014720916748046875,0.012587233446538448,nan,nan,0.013695794913543153,0.014721112325787544,-0.027393149000831615,0.4325533484103379,0.42102929550646984,0.4334198701411582,-0.4894809424877167,0.475935161113739,0.0,1.0667535468443041,0.8611792325973511,0.612944483757019,1.6095186471939087,0.6144898056983947,1.6012303471565246,True,True,588.6553774390195,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_10__k_10__delta_1,2,8.74415397644043,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.7526205298141317,0.20926948684427638,0.616782769071668,0.3451072475867402,0.48094500832920406,0.48094500832920406,0.46119799340759227,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,2,True,3,balanced,B3
q_100__k_1__delta_100,gnn,100.0,1.0,100.0,100.0,2,balanced,0.45042615593622354,0.07984019867480774,11.872563069544356,0.4725986101841914,0.08304752261699408,0.24014519078808783,13.236176911457509,12.456995962697343,-1.7846972942352295,6.0123186111450195,2.906546233805228,5.861865282058716,-0.006804517470300198,0.015375614166259766,0.013609034940600395,nan,nan,0.014519310089131609,0.015375790186226368,0.034389935256439255,0.4097935134122789,0.39671414776115244,0.4112339860489691,-0.45652902126312256,0.47407451272010803,0.0,1.1218954966867687,1.157148838043213,0.6334786415100098,1.6065267324447632,0.6359634637832642,1.6016730427742005,True,True,584.1463263829999,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_100__k_1__delta_100,2,7.797015905380249,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.8164344442819742,0.18057227972742718,0.6574689031433375,0.33953782086606393,0.4985033620047007,0.4985033620047007,0.4615123830602075,0.5*flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,balanced,1,True,False,0,0,True,4,balanced,B4
q_0p1__k_10__delta_0p1,gnn,0.1,10.0,100.0,0.1,2,conservation_prioritized,0.45633101971652845,0.0793859730418576,12.028206490169033,0.45922073487074255,0.08019333306067494,0.2334734700492828,12.863128964757387,12.104375080667767,-2.115222692489624,6.811243534088135,3.2709459387765474,6.612297773361206,-0.00543633196502924,0.013011455535888672,0.01087266393005848,nan,nan,0.011989863024483256,0.013011488132178783,-0.01805245349706038,0.45616811397243967,0.4441023630935086,0.4565251792425462,-0.4978485703468323,0.49836665391921997,0.32396334409713745,1.0876984183305833,0.8590908646583557,0.6078369617462158,1.6460305452346802,0.6089461922645569,1.645390772819519,True,True,593.9897047529812,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_0p1__k_10__delta_0p1,2,8.926466226577759,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9587401741190843,0.0,0.7190551305893133,0.23968504352977107,0.47937008705954215,0.47937008705954215,0.458498306082189,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,4,True,1,conservation_prioritized,K1
q_1__k_10__delta_1,gnn,1.0,10.0,100.0,1.0,2,conservation_prioritized,0.45615485436648356,0.07987856770154025,12.023563033741134,0.46141772792447194,0.08107642987764634,0.2363690582781086,12.905938470697542,12.162284547624758,-1.9819655418395996,6.561386585235596,3.1294247636048715,6.3032567501068115,-0.006728491745889187,0.01521444320678711,0.013456983491778374,nan,nan,0.014362522495582066,0.01521425973623991,-0.012678012742078791,0.450666719668457,0.43903490698647596,0.4508450113107811,-0.4905402362346649,0.49407824873924255,0.0,1.0907010943331616,0.8738818168640137,0.6122955083847046,1.6389868259429932,0.6132229328155517,1.6380907535552978,True,True,598.5584878390073,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/02_physics_weight_sweep/gnn/q_1__k_10__delta_1,2,8.543352127075195,0.4165488539853304,0.45804306357944796,0.4598935877229199,0.5302533488138785,0.9544946335540735,0.021662100295959,0.7212865002395449,0.2548702336104876,0.48807836692501627,0.48807836692501627,0.4601020095349748,0.25*flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,conservation_prioritized,1,True,False,0,2,True,2,conservation_prioritized,K2
